dataset_stem,n_train,eps,method,route,precompute_mode,top_q,iterations,cg_iters,n_matvec,cg_n_matvec,n_precond,time_precompute,time_eigenspace,time_precond_build,time_solve,time_predict,time_total,rmse_train,rmse_test,cg_relres,status
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain100000000,100000000,1e-05,plain_cg,cg_baseline,original/default,,10715.0,10715.0,10716.0,10716.0,,1.0191082129999811,,,11.136322000999826,0.5074460200003159,12.15543061399967,0.1289180128857995,0.128888300648798,8.383178918437442e-08,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain100000000,100000000,1e-05,plain_cg,cg_baseline,original/default,,13573.0,13573.0,13574.0,13574.0,,0.9965947259997848,,,14.29477560100031,0.5320089279998683,15.291371010000148,0.0276472293410286,0.0276200912285854,9.983665441534927e-08,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain100000000,100000000,1e-05,eigenpro_pcg_q90,eigenpro_baseline,c1,90.0,1448.0,1448.0,1449.0,1449.0,1448.0,0.50731148199975,0.2899047830001109,0.0002749579998635,2.022475891999875,0.5222072440001284,2.8199671149995997,0.1288736516564569,0.1288441401277235,9.52243742966507e-08,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain100000000,100000000,1e-05,eigenpro_pcg_q90,eigenpro_baseline,c1,90.0,3220.0,3220.0,3221.0,3221.0,3220.0,0.5218501039998955,0.2967972870001176,0.0002714709999054,4.691422726999917,0.5288810000001831,5.510341588999836,0.0276408853803733,0.0276137547028249,9.645691106185839e-08,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain100000000,100000000,1e-05,eigenpro_pcg_q180,eigenpro_baseline,c1,180.0,203.0,203.0,204.0,204.0,203.0,0.5063258010000027,0.5594161280000662,0.0002874289998544,0.2850739900000008,0.5067905060000157,1.3511033479999242,0.1288738363949831,0.1288443037778688,9.664265306146209e-08,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain100000000,100000000,1e-05,eigenpro_pcg_q180,eigenpro_baseline,c1,180.0,1652.0,1652.0,1653.0,1653.0,1652.0,0.5221501229998466,0.5690801470000224,0.0002975490001517,2.552688585999931,0.5106829740002468,3.644216404999952,0.0276409061234096,0.0276137707208002,9.999777185445473e-08,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain300000000,300000000,1e-05,plain_cg,cg_baseline,original/default,,5770.0,5770.0,5771.0,5771.0,,4.690583958999923,,,6.099276954000061,1.669564261000005,10.789861515999974,0.3562631595159687,0.3562645910036608,7.219013572568629e-08,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain300000000,300000000,1e-05,plain_cg,cg_baseline,original/default,,20000.0,20000.0,20001.0,20001.0,,3.3961278709998624,,,20.93197433199998,1.678344509999988,24.32810257699998,0.1106035851507753,0.1106108564811601,4.442697270182557e-07,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain300000000,300000000,1e-05,eigenpro_pcg_q90,eigenpro_baseline,c1,90.0,53.0,53.0,54.0,54.0,53.0,1.7723625200001152,0.2912933949999114,0.0002959050000299,0.0755171379998955,1.6663810720001493,2.139468957999952,0.3561581606736787,0.3561593279895718,5.2320371210389766e-08,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain300000000,300000000,1e-05,eigenpro_pcg_q90,eigenpro_baseline,c1,90.0,2167.0,2167.0,2168.0,2168.0,2167.0,1.5499988770000073,0.2948312569999416,0.0002944070001831,3.126920761999827,1.678924993999999,4.972045302999959,0.1105758347234783,0.1105828713464475,9.786394715961629e-08,ok
