dataset_stem,n_train,kernel,kernel_family,kernel_label,kernel_nu,kernel_lengthscale,eps,reg_lambda,method,method_family,M,mtot,topk,q,btab_active_topk,btab_box_size,btab_eig_q,cg_iters,time_solve,time_total,rmse_test,rmse_train,Speedup,status,table1_source
synthetic_true_func_2d_n300000000,300000000,SE,SE,SE,1.5,0.1,1e-05,0.1,plain_cg,EFGP-CG,1225.0,35.0,,,,,,1748.0,3.600747427999977,8.427074531000017,4.046036458153767e-05,0.0200003353292642,1.0,ok,btab_group_c_se_matern_20260628_091803
synthetic_true_func_2d_n300000000,300000000,SE,SE,SE,1.5,0.1,1e-05,0.1,eigenpro_pcg_q90,EigenPro-PCG,1225.0,35.0,,90.0,,,,568.0,0.8132122429999527,6.693868361999989,0.0003902096843092,0.0200055031839329,1.258924447758662,ok,btab_group_c_se_matern_20260628_091803
synthetic_true_func_2d_n300000000,300000000,SE,SE,SE,1.5,0.1,1e-05,0.1,eigenpro_pcg_q180,EigenPro-PCG,1225.0,35.0,,180.0,,,,57.0,0.0806722209999861,2.1404689510000026,0.0003889420393738,0.0200053830921753,3.9370225515595467,ok,btab_group_c_se_matern_20260628_091803
synthetic_true_func_2d_n300000000,300000000,SE,SE,SE,1.5,0.1,1e-05,0.1,btab_auto_topk_2048,Active inverse,1225.0,35.0,2048.0,,2048.0,1225.0,,3.0,1.2768056679999518,2.7679095940000025,0.0003914950751588,0.020005528770133,3.04456278097644,ok,btab_group_c_se_matern_20260628_091803
synthetic_true_func_2d_n300000000,300000000,SE,SE,SE,1.5,0.1,1e-05,0.1,btab_auto_topk_4096,Active inverse,1225.0,35.0,4096.0,,4096.0,1225.0,,3.0,0.0510000430000445,1.5417700379999817,0.0003914950751434,0.0200055287701322,5.465844012594644,ok,btab_group_c_se_matern_20260628_091803
synthetic_true_func_2d_n300000000,300000000,SE,SE,SE,1.5,0.1,1e-05,0.1,btab_auto_topk_8192,Active inverse,1225.0,35.0,8192.0,,8192.0,1225.0,,3.0,0.0470258729999386,1.5380269409999985,0.0003914950750786,0.0200055287701313,5.4791462401308,ok,btab_group_c_se_matern_20260628_091803
synthetic_true_func_2d_n300000000,300000000,SE,SE,SE,1.5,0.1,1e-05,0.1,btab_auto_topk_16384,Active inverse,1225.0,35.0,16384.0,,16384.0,1225.0,,3.0,0.0469520409999404,1.5377928949999389,0.0003914950751634,0.0200055287701332,5.479980144530679,ok,btab_group_c_se_matern_20260628_091803
synthetic_true_func_2d_n300000000,300000000,SE,SE,SE,1.5,0.1,1e-05,0.1,btab_boxeig_topk_16384_q192,Box-EigenPro,1225.0,35.0,16384.0,192.0,16384.0,1225.0,192.0,40.0,1.5847127309999678,3.0756209999999555,0.0003895083183316,0.0200053859217887,2.739958704599864,ok,btab_group_c_se_matern_20260628_091803
synthetic_true_func_2d_n300000000,300000000,SE,SE,SE,1.5,0.1,1e-05,0.1,btab_boxeig_topk_16384_q256,Box-EigenPro,1225.0,35.0,16384.0,256.0,16384.0,1225.0,256.0,7.0,0.4815179380000245,1.9726823680000507,0.0003736479475446,0.0200050678669522,4.271886172705833,ok,btab_group_c_se_matern_20260628_091803
synthetic_true_func_2d_n300000000,300000000,SE,SE,SE,1.5,0.1,1e-05,0.1,btab_boxeig_topk_16384_q320,Box-EigenPro,1225.0,35.0,16384.0,320.0,16384.0,1225.0,320.0,1.0,0.5936384020000105,2.0852136429999746,0.000337755358919,0.0200041267552885,4.041348261502871,ok,btab_group_c_se_matern_20260628_091803
synthetic_true_func_2d_n300000000,300000000,SE,SE,SE,1.5,0.1,1e-05,0.1,btab_boxeig_topk_20480_q192,Box-EigenPro,1225.0,35.0,20480.0,192.0,20480.0,1225.0,192.0,40.0,0.4355399229999648,1.9261605379999764,0.0003895072934851,0.0200053859174438,4.375063430460602,ok,btab_group_c_se_matern_20260628_091803
synthetic_true_func_2d_n300000000,300000000,SE,SE,SE,1.5,0.1,1e-05,0.1,btab_boxeig_topk_20480_q256,Box-EigenPro,1225.0,35.0,20480.0,256.0,20480.0,1225.0,256.0,7.0,0.4720477509999909,1.9635682849999512,0.0003736479859114,0.0200050678695155,4.291714525731519,ok,btab_group_c_se_matern_20260628_091803
synthetic_true_func_2d_n300000000,300000000,SE,SE,SE,1.5,0.1,1e-05,0.1,btab_boxeig_topk_20480_q320,Box-EigenPro,1225.0,35.0,20480.0,320.0,20480.0,1225.0,320.0,1.0,0.5744041179999613,2.06574617199999,0.0003377554864926,0.020004126758519,4.079433690946255,ok,btab_group_c_se_matern_20260628_091803
synthetic_true_func_2d_n300000000,300000000,SE,SE,SE,1.5,0.1,1e-05,0.1,btab_boxeig_topk_32768_q192,Box-EigenPro,1225.0,35.0,32768.0,192.0,32768.0,1225.0,192.0,40.0,2.0154830280000624,3.506204619000073,0.0003895092015131,0.0200053859570453,2.403474824410937,ok,btab_group_c_se_matern_20260628_091803
synthetic_true_func_2d_n300000000,300000000,SE,SE,SE,1.5,0.1,1e-05,0.1,btab_boxeig_topk_32768_q256,Box-EigenPro,1225.0,35.0,32768.0,256.0,32768.0,1225.0,256.0,7.0,0.4742679010000756,1.965105076999976,0.0003736475731108,0.0200050678558086,4.288358230627135,ok,btab_group_c_se_matern_20260628_091803
synthetic_true_func_2d_n300000000,300000000,SE,SE,SE,1.5,0.1,1e-05,0.1,btab_boxeig_topk_32768_q320,Box-EigenPro,1225.0,35.0,32768.0,320.0,32768.0,1225.0,320.0,1.0,0.5841989719999674,2.075295917999938,0.0003377557509176,0.0200041267634732,4.060661642471495,ok,btab_group_c_se_matern_20260628_091803
synthetic_true_func_2d_n300000000,300000000,SE,SE,SE,1.5,0.1,1e-05,0.1,btab_boxeig_topk_36864_q192,Box-EigenPro,1225.0,35.0,36864.0,192.0,36864.0,1225.0,192.0,40.0,0.4368598240000665,1.928817032999973,0.0003895087922248,0.0200053859397857,4.369037802353405,ok,btab_group_c_se_matern_20260628_091803
synthetic_true_func_2d_n300000000,300000000,SE,SE,SE,1.5,0.1,1e-05,0.1,btab_boxeig_topk_36864_q256,Box-EigenPro,1225.0,35.0,36864.0,256.0,36864.0,1225.0,256.0,7.0,0.4732571749999579,1.9640903369999023,0.0003736478505926,0.0200050678653287,4.290573795028266,ok,btab_group_c_se_matern_20260628_091803
synthetic_true_func_2d_n300000000,300000000,SE,SE,SE,1.5,0.1,1e-05,0.1,btab_boxeig_topk_36864_q320,Box-EigenPro,1225.0,35.0,36864.0,320.0,36864.0,1225.0,320.0,1.0,0.5755541549999634,2.0666971980000426,0.0003377556441683,0.0200041267602633,4.077556469885843,ok,btab_group_c_se_matern_20260628_091803
synthetic_true_func_2d_n300000000,300000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,plain_cg,EFGP-CG,35721.0,189.0,,,,,,2793.0,2.962210144999972,6.068671885999947,0.0001199447049629,0.0199999773127632,1.0,ok,btab_group_c_se_matern_20260628_091803
synthetic_true_func_2d_n300000000,300000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,eigenpro_pcg_q90,EigenPro-PCG,35721.0,189.0,,90.0,,,,890.0,1.310387923999997,3.256830358000002,0.0001241364986953,0.0200000031263547,1.863367513476102,ok,btab_group_c_se_matern_20260628_091803
synthetic_true_func_2d_n300000000,300000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,eigenpro_pcg_q180,EigenPro-PCG,35721.0,189.0,,180.0,,,,360.0,0.5646054620000314,2.681072099000062,0.000123968949482,0.0200000083228846,2.2635243148676722,ok,btab_group_c_se_matern_20260628_091803
synthetic_true_func_2d_n300000000,300000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,btab_auto_topk_2048,Active inverse,35721.0,189.0,2048.0,,2048.0,2601.0,,513.0,1.0505071199999063,2.5734310269999696,0.000123390296296,0.0199999968332529,2.3582026572029897,ok,btab_group_c_se_matern_20260628_091803
synthetic_true_func_2d_n300000000,300000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,btab_auto_topk_4096,Active inverse,35721.0,189.0,4096.0,,4096.0,5329.0,,243.0,1.4766389909999589,2.999535268000045,0.0001231675191381,0.0199999976890073,2.0232040445539634,ok,btab_group_c_se_matern_20260628_091803
synthetic_true_func_2d_n300000000,300000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,btab_auto_topk_8192,Active inverse,35721.0,189.0,8192.0,,8192.0,10609.0,,135.0,4.5688035030000265,6.091043215000013,0.0001231168253311,0.019999996874321,0.9963271761157475,ok,btab_group_c_se_matern_20260628_091803
synthetic_true_func_2d_n300000000,300000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,btab_auto_topk_16384,Active inverse,35721.0,189.0,16384.0,,16384.0,21025.0,,63.0,5.523839297999984,7.046494283000016,0.0001366169037653,0.0200000633658796,0.8612327836043081,ok,btab_group_c_se_matern_20260628_091803
synthetic_true_func_2d_n300000000,300000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,btab_boxeig_topk_16384_q192,Box-EigenPro,35721.0,189.0,16384.0,192.0,16384.0,21025.0,192.0,409.0,1.1319389120000096,2.654577199999949,0.0001218575548898,0.0199999875995617,2.2861161792544835,ok,btab_group_c_se_matern_20260628_091803
synthetic_true_func_2d_n300000000,300000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,btab_boxeig_topk_16384_q256,Box-EigenPro,35721.0,189.0,16384.0,256.0,16384.0,21025.0,256.0,291.0,0.9961503649999486,2.518160696999985,0.0001217587860515,0.0199999878175939,2.4099621176797297,ok,btab_group_c_se_matern_20260628_091803
