dataset_stem,n_train,kernel,kernel_family,kernel_label,kernel_nu,kernel_lengthscale,eps,reg_lambda,method,method_family,M,mtot,topk,q,btab_active_topk,btab_box_size,btab_eig_q,cg_iters,time_solve,time_total,rmse_test,rmse_train,Speedup,status,table1_source,selection_note
synthetic_true_func_2d_n100000000,100000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,plain_cg,EFGP-CG,35721.0,189.0,,,,,,3440.0,3.608102234000171,4.605632978000131,0.0001956777313599,0.0199974760160189,1.0,ok,btab_group_c_se_matern_20260628_091803,EFGP-CG baseline; speedup uses time_total
synthetic_true_func_2d_n100000000,100000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,eigenpro_pcg_q180,EigenPro-PCG,35721.0,189.0,,180.0,,,,422.0,0.6424590080000598,1.73459683100009,0.0001978075849791,0.019997506635922,2.6551604936028452,ok,btab_group_c_se_matern_20260628_091803,selected by min time_total under 1.1x EFGP-CG train RMSE
synthetic_true_func_2d_n100000000,100000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,btab_auto_topk_2048,Active inverse,35721.0,189.0,2048.0,,2048.0,2601.0,,398.0,0.8325522550001097,1.3563784780001242,0.0001979169073027,0.0199974888025433,3.3955367566660173,ok,btab_group_c_se_matern_20260628_091803,selected by min time_total under 1.1x EFGP-CG train RMSE
synthetic_true_func_2d_n100000000,100000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,btab_boxeig_topk_32768_q320,Box-EigenPro,35721.0,189.0,32768.0,320.0,32768.0,35721.0,320.0,145.0,0.8713116209999043,1.3952909499998896,0.0001989086652708,0.0199975195133341,3.3008405723555327,ok,btab_group_c_se_matern_20260628_091803,selected by min time_total under 1.1x EFGP-CG train RMSE
synthetic_true_func_2d_n300000000,300000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,plain_cg,EFGP-CG,35721.0,189.0,,,,,,2793.0,2.962210144999972,6.068671885999947,0.0001199447049629,0.0199999773127632,1.0,ok,btab_group_c_se_matern_20260628_091803,EFGP-CG baseline; speedup uses time_total
synthetic_true_func_2d_n300000000,300000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,eigenpro_pcg_q180,EigenPro-PCG,35721.0,189.0,,180.0,,,,360.0,0.5646054620000314,2.681072099000062,0.000123968949482,0.0200000083228846,2.2635243148676722,ok,btab_group_c_se_matern_20260628_091803,selected by min time_total under 1.1x EFGP-CG train RMSE
synthetic_true_func_2d_n300000000,300000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,btab_auto_topk_2048,Active inverse,35721.0,189.0,2048.0,,2048.0,2601.0,,513.0,1.0505071199999063,2.5734310269999696,0.000123390296296,0.0199999968332529,2.3582026572029897,ok,btab_group_c_se_matern_20260628_091803,selected by min time_total under 1.1x EFGP-CG train RMSE
synthetic_true_func_2d_n300000000,300000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,btab_boxeig_topk_36864_q192,Box-EigenPro,35721.0,189.0,36864.0,192.0,36864.0,35721.0,192.0,253.0,0.7936677540000119,2.3153542770000968,0.0001234857228313,0.020000011045896,2.6210554239081114,ok,btab_group_c_se_matern_20260628_091803,selected by min time_total under 1.1x EFGP-CG train RMSE
synthetic_true_func_2d_n100000000,100000000,SE,SE,SE,1.5,0.1,1e-05,0.1,plain_cg,EFGP-CG,1225.0,35.0,,,,,,1519.0,1.5834892270000864,2.7622767710000744,5.378414205704292e-05,0.0199984951936483,1.0,ok,btab_group_c_se_matern_20260628_091803,EFGP-CG baseline; speedup uses time_total
synthetic_true_func_2d_n100000000,100000000,SE,SE,SE,1.5,0.1,1e-05,0.1,eigenpro_pcg_q180,EigenPro-PCG,1225.0,35.0,,180.0,,,,45.0,0.0635821050000231,1.1279055429999971,0.0003568930905302,0.0200029141434917,2.4490320028510415,ok,btab_group_c_se_matern_20260628_091803,selected by min time_total under 1.1x EFGP-CG train RMSE
