N,Kernel,reg_lambda,Method,method,top-k,|B|,q,Iter.,T_solve,T_total,RMSE,RMSE / RMSE_EFGP,Speedup
100000000,Matern-1.5,0.1,Active inverse,btab_auto_topk_2048,2048.0,2601.0,,398.0,0.8325522550001097,1.3563784780001242,0.0199974888025433,1.0000006394069125,3.3955367566660173
100000000,Matern-1.5,0.1,Active inverse,btab_auto_topk_4096,4096.0,5329.0,,176.0,1.2022383440000797,1.7260617590000038,0.0199974885906443,1.0000006288106253,2.668289795533394
100000000,Matern-1.5,0.1,Active inverse,btab_auto_topk_8192,8192.0,10609.0,,86.0,3.97742560100005,4.501297388000012,0.0199974883252847,1.0000006155409706,1.0231790039641164
100000000,Matern-1.5,0.1,Active inverse,btab_auto_topk_16384,16384.0,21025.0,,37.0,2.189495803,2.713076276000038,0.019997499716206,1.000001185158921,1.6975685566755758
100000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_16384_q192,16384.0,21025.0,192.0,464.0,1.1390602229998876,1.6628611289997934,0.0199974935121464,1.0000008749167888,2.76970391434335
100000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_16384_q256,16384.0,21025.0,256.0,327.0,2.4732220289999987,2.997207438000032,0.0199974926862099,1.0000008336147514,1.5366413814431756
100000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_16384_q320,16384.0,21025.0,320.0,189.0,0.9236331140000402,1.4471408130000327,0.0199974915181653,1.0000007752051503,3.1825741742797677
100000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_20480_q192,20480.0,25921.0,192.0,428.0,1.1007485789998557,1.624484536999944,0.0199974967946226,1.0000010390613137,2.835135006274479
100000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_20480_q256,20480.0,25921.0,256.0,291.0,2.4183858789999704,2.9430019300000367,0.0199974973742043,1.000001068044056,1.564943920373193
100000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_20480_q320,20480.0,25921.0,320.0,243.0,1.038875561000168,1.562546502000032,0.0199974959141154,1.000000995030397,2.9475173840298523
100000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_32768_q192,32768.0,35721.0,192.0,301.0,0.8837625339999704,1.4076321979998738,0.019997512492056,1.0000018240320463,3.2719008449397116
100000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_32768_q256,32768.0,35721.0,256.0,208.0,0.9754048249999414,1.49983650199988,0.0199975150030718,1.0000019495986827,3.070756693718939
100000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_32768_q320,32768.0,35721.0,320.0,145.0,0.8713116209999043,1.3952909499998896,0.0199975195133341,1.0000021751402608,3.3008405723555327
100000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_36864_q192,36864.0,35721.0,192.0,301.0,0.883536112999991,1.407261204999941,0.0199975125011378,1.0000018244861937,3.272763408553087
100000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_36864_q256,36864.0,35721.0,256.0,208.0,0.8892330210001091,1.4130914610000218,0.0199975150029357,1.0000019495918768,3.259260355830612
100000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_36864_q320,36864.0,35721.0,320.0,145.0,0.8940333640000517,1.418031967999923,0.0199975195133035,1.0000021751387307,3.2479049005476166
300000000,Matern-1.5,0.1,Active inverse,btab_auto_topk_2048,2048.0,2601.0,,513.0,1.0505071199999063,2.5734310269999696,0.0199999968332529,1.0000009760255921,2.3582026572029897
300000000,Matern-1.5,0.1,Active inverse,btab_auto_topk_4096,4096.0,5329.0,,243.0,1.4766389909999589,2.999535268000045,0.0199999976890073,1.0000010188133608,2.0232040445539634
300000000,Matern-1.5,0.1,Active inverse,btab_auto_topk_8192,8192.0,10609.0,,135.0,4.5688035030000265,6.091043215000013,0.019999996874321,1.0000009780789996,0.9963271761157475
300000000,Matern-1.5,0.1,Active inverse,btab_auto_topk_16384,16384.0,21025.0,,63.0,5.523839297999984,7.046494283000016,0.0200000633658796,1.0000043026607008,0.8612327836043081
300000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_16384_q192,16384.0,21025.0,192.0,409.0,1.1319389120000096,2.654577199999949,0.0199999875995617,1.0000005143405084,2.2861161792544835
300000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_16384_q256,16384.0,21025.0,256.0,291.0,0.9961503649999486,2.518160696999985,0.0199999878175939,1.000000525242131,2.4099621176797297
300000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_16384_q320,16384.0,21025.0,320.0,220.0,2.2676410170000736,3.791219440000077,0.0199999888074931,1.000000574737147,1.600717653526229
300000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_20480_q192,20480.0,25921.0,192.0,510.0,1.3038918739999872,2.8262166739999657,0.0199999953869464,1.0000009037101854,2.147277645705384
300000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_20480_q256,20480.0,25921.0,256.0,357.0,1.1251227100000278,2.647775820999982,0.0199999940287767,1.000000835801623,2.2919885580449177
300000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_20480_q320,20480.0,25921.0,320.0,227.0,1.0264255560000493,2.5487671480000245,0.0199999911410358,1.0000006914144144,2.3810224840515284
300000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_32768_q192,32768.0,35721.0,192.0,253.0,1.0576447459999372,2.580022025999938,0.020000011044299,1.0000016865787031,2.352178324387721
300000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_32768_q256,32768.0,35721.0,256.0,176.0,0.8847192409999707,2.4067460129999745,0.0200000112577979,1.0000016972536603,2.521525683732383
300000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_32768_q320,32768.0,35721.0,320.0,144.0,0.8936102639999035,2.416197972999953,0.0200000110042133,1.000001684574416,2.511661690728546
300000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_36864_q192,36864.0,35721.0,192.0,253.0,0.7936677540000119,2.3153542770000968,0.020000011045896,1.0000016866585533,2.6210554239081114
300000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_36864_q256,36864.0,35721.0,256.0,176.0,1.2711867559999064,2.793012337999926,0.0200000112569337,1.0000016972104504,2.172805255255592
300000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_36864_q320,36864.0,35721.0,320.0,142.0,0.8650952400000733,2.3868307730000424,0.0200000109436456,1.0000016815460275,2.542564791207273
100000000,SE,0.1,Active inverse,btab_auto_topk_2048,2048.0,1225.0,,3.0,0.0478898809999464,0.5552027759999874,0.0200030222860773,1.0002263716537252,4.975257492228637
100000000,SE,0.1,Active inverse,btab_auto_topk_4096,4096.0,1225.0,,3.0,0.048146341000006,0.5553086280000343,0.0200030222860778,1.00022637165375,4.974309116983329
100000000,SE,0.1,Active inverse,btab_auto_topk_8192,8192.0,1225.0,,3.0,0.0468444109999381,0.5540699529999529,0.0200030222860774,1.00022637165373,4.985429648447854
100000000,SE,0.1,Active inverse,btab_auto_topk_16384,16384.0,1225.0,,3.0,0.0470969529999365,0.5542787619999672,0.0200030222860776,1.00022637165374,4.9835515274536855
100000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_16384_q192,16384.0,1225.0,192.0,30.0,0.4067883179999398,0.9140461789999108,0.0200028985800745,1.000220185888166,3.0220319656304193
100000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_16384_q256,16384.0,1225.0,256.0,6.0,0.4680227369999556,0.9752334599999132,0.0200027399108478,1.00021225182987,2.832426166961417
100000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_16384_q320,16384.0,1225.0,320.0,1.0,0.5718843850000894,1.079118362000031,0.0200022136897209,1.000185938793724,2.5597532840424364
100000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_20480_q192,20480.0,1225.0,192.0,30.0,0.4050490680000393,0.9120707970000694,0.020002898580618,1.0002201859153432,3.028577145640005
100000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_20480_q256,20480.0,1225.0,256.0,6.0,0.4673080809999419,0.9741490029999796,0.020002739904781,1.0002122515265073,2.8355793235874533
100000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_20480_q320,20480.0,1225.0,320.0,1.0,1.752270545999977,2.259169185000019,0.0200022136923626,1.0001859389258188,1.222695842941064
100000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_32768_q192,32768.0,1225.0,192.0,30.0,0.4064473390000103,0.913872289999972,0.0200028985797905,1.000220185873965,3.022606989210887
100000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_32768_q256,32768.0,1225.0,256.0,6.0,0.4726080430000365,0.9796509280000693,0.0200027399061537,1.0002122515951473,2.8196541156135964
100000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_32768_q320,32768.0,1225.0,320.0,1.0,0.5711430159999509,1.078077817999997,0.0200022136935061,1.0001859389829981,2.5622239182367466
100000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_36864_q192,36864.0,1225.0,192.0,30.0,0.7025752849999662,1.210043517000031,0.0200028985794229,1.0002201858555837,2.2827912651012565
100000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_36864_q256,36864.0,1225.0,256.0,6.0,0.464996573999997,0.9718956489999756,0.0200027399076056,1.0002122516677479,2.842153654913773
