M,S_kind,active_mode,active_size,active_tau,active_topk,box_memory_bytes,box_radii,box_shape,box_size,btab_active_mode,btab_active_size_raw,btab_active_tau,btab_active_topk,btab_box_budget,btab_box_size,btab_diagnostic_mode,btab_diagnostic_power_iter,btab_diagnostic_tol,btab_eig_apply_batch_cols,btab_eig_backend,btab_eig_eig_residual_max,btab_eig_eig_residual_median,btab_eig_maxiter,btab_eig_n_ABB_matvec_cols,btab_eig_n_eig_matvec,btab_eig_ncv,btab_eig_ncv_actual,btab_eig_q,btab_eig_size_S,btab_eig_size_T,btab_eig_storage_bytes,btab_eig_theta_q1,btab_eig_theta_q1_over_sigma2,btab_eig_tol,btab_exact_apply_mode,btab_exact_box_max_size,btab_experiment_route,btab_inner_maxiter,btab_inner_precond,btab_inner_tol,btab_outer_gmres_restart,btab_outer_solver,btab_route_group,btab_solve_mode,cg_iters,cg_n_matvec,cg_relres,chol_memory_bytes,chunk_size,dataset_dim,dataset_stem,debug_finite_checks,device_name,diagnostic_mode,diagnostic_n_ASS_matvec,diagnostic_n_A_matvec,diagnostic_n_eig_matvec,diagnostic_n_matvec,diagnostic_n_power_iter,diagnostic_n_precond,dim,efgp_matrix_dim,eig_residual_max,eig_residual_median,eps,exact_apply_mode,gamma,has_nufft,inner_last_relres,inner_max_iters,inner_maxiter,inner_precond,inner_tol,inner_total_iters,inner_total_matvec,inner_total_precond,inverse_memory_bytes,is_warmup,iterations,kernel_family,kernel_lengthscale,kernel_nu,kernel_variance,local_fft_memory_bytes,maxiter,method,mtot,n_matvec,n_precond,n_test,n_train,non_v1_maxiter,nufft_backend,nufft_stage,outer_gmres_restart,outer_iters,outer_relres,outer_solver,outer_status,precond_apply_calls,profile_components,reg_lambda,repeat_idx,rho_max_T,rmse_test,rmse_train,run_seed,sigma2_equiv_reg_lambda,solve_mode,status,t_matvec_avg,t_matvec_total,t_precond_avg,t_precond_total,tail_energy,tail_size,theta_q1_over_sigma2,time_active_set,time_box_gather_avg,time_box_gather_total,time_box_scatter_avg,time_box_scatter_total,time_box_solve_avg,time_box_solve_total,time_build_Ag,time_build_box_matrix,time_build_inverse,time_build_local_fft,time_cholesky,time_diag_avg,time_diag_total,time_eig_setup,time_post_diagnostics,time_precompute,time_precond_build,time_predict,time_solve,time_symmetrize_regularize,time_total,time_total_with_diagnostics,tol,v1_maxiter,version
35721,expanded_box,topk,2048,,2048,0,"[25, 25]","[51, 51]",2601,topk,2048,,2048,80000,2601,cheap,30,0.01,,,,,,,,,,,,,,,,,inverse,20000,group_c,50,diag,0.001,50,auto,group_c,auto,513,514,9.413935203341665e-08,0,,2,synthetic_true_func_2d_n300000000,False,NVIDIA A100-SXM4-80GB,cheap,0,0,0,0,0,0,2,35721,,,1e-05,inverse,299999999.9996127,True,nan,0,50,diag,0.001,0,0,0,108243216,False,513.0,matern,0.1,1.5,1.0,0,5000,btab_auto_topk_2048,189,514,513,75000000,300000000,5000,cufinufft,binned_c1,50,513,9.413935203341665e-08,pcg,converged,513,True,0.1,0,16364.323522779092,0.00012318578935107042,0.019999996829244134,0,0.1,exact,ok,0.000642580130354975,0.33028618700245715,0.0003244090156057065,0.16642182500572744,18906336.020993832,33120,,0.001762380999934976,4.482293957286128e-05,0.022994168000877835,4.1688964919864914e-05,0.0213864390038907,0.00013756558674556528,0.07057114600047498,0.21044107299985626,0.18817842499993276,0.014033299999937299,0.0,0.006931226999768114,5.724558286069809e-05,0.02936698400753812,,0.00038519200006703613,1.5134950940000635,0.21319017700034237,1.5404457019999427,1.0304433019996395,0.0012981210002180887,2.543938395999703,2.54432358799977,1e-07,80000,v6_btab
35721,expanded_box,topk,4096,,4096,0,"[36, 36]","[73, 73]",5329,topk,4096,,4096,80000,5329,cheap,30,0.01,,,,,,,,,,,,,,,,,inverse,20000,group_c,50,diag,0.001,50,auto,group_c,auto,243,244,8.516378833902314e-08,0,,2,synthetic_true_func_2d_n300000000,False,NVIDIA A100-SXM4-80GB,cheap,0,0,0,0,0,0,2,35721,,,1e-05,inverse,299999999.9996127,True,nan,0,50,diag,0.001,0,0,0,454371856,False,243.0,matern,0.1,1.5,1.0,0,5000,btab_auto_topk_4096,189,244,243,75000000,300000000,5000,cufinufft,binned_c1,50,243,8.516378833902314e-08,pcg,converged,243,True,0.1,0,2951.5634013719923,0.00012330606624141746,0.01999999768901502,0,0.1,exact,ok,0.0006467150040959093,0.15779846099940187,0.000536505144025893,0.130370749998292,6372419.880379716,30392,,0.0019521120002536918,4.521844035001096e-05,0.010988081005052663,4.406453909637412e-05,0.01070768300041891,0.00034427613166375625,0.08365909999429277,0.8994883020000088,0.7755688100000953,0.0945394799996393,0.0,0.024562639000123454,5.9674679011359446e-05,0.014500946999760345,,0.00038504499980263063,1.5140614189999724,0.9025910079999448,1.5431508039996515,1.3443156470002577,0.0048173730001508375,2.85837706600023,2.8587621110000327,1e-07,80000,v6_btab
35721,expanded_box,topk,8192,,8192,0,"[51, 51]","[103, 103]",10609,topk,8192,,8192,80000,10609,cheap,30,0.01,,,,,,,,,,,,,,,,,inverse,20000,group_c,50,diag,0.001,50,auto,group_c,auto,135,136,8.646047168912656e-08,0,,2,synthetic_true_func_2d_n300000000,False,NVIDIA A100-SXM4-80GB,cheap,0,0,0,0,0,0,2,35721,,,1e-05,inverse,299999999.9996127,True,nan,0,50,diag,0.001,0,0,0,1800814096,False,135.0,matern,0.1,1.5,1.0,0,5000,btab_auto_topk_8192,189,136,135,75000000,300000000,5000,cufinufft,binned_c1,50,135,8.646047168912656e-08,pcg,converged,135,True,0.1,0,552.0105234307598,0.00012311888672773767,0.019999996874320948,0,0.1,exact,ok,0.000653451639707595,0.08886942300023293,0.0013714378296248873,0.1851441069993598,2044451.5589106625,25112,,0.0024642230000608834,4.520025927882266e-05,0.00610203500264106,4.886006666614169e-05,0.006596108999929129,0.0011739953851920965,0.15848937700093302,3.8870559880001565,3.110941005999848,0.6272557709999091,0.0,0.12981474300022455,5.8945474076473925e-05,0.00795763900032398,,0.0003246750002290355,1.5155654129998766,3.8907622749998154,1.54401831999985,4.25066975100026,0.019044468000174675,5.766235164000136,5.766559839000365,1e-07,80000,v6_btab
35721,expanded_box,topk,16384,,16384,0,"[72, 72]","[145, 145]",21025,topk,16384,,16384,80000,21025,cheap,30,0.01,,cupy,2.956323112059476e-14,2.1736578524778112e-15,960,418,418,,418,192,21025,14696,64591872,89456.59198378713,894565.9198378713,0.001,boxeig,20000,group_c,50,diag,0.001,50,auto,group_c,boxeig,409,410,9.878919775101767e-08,0,,2,synthetic_true_func_2d_n300000000,False,NVIDIA A100-SXM4-80GB,cheap,192,0,192,192,0,0,2,35721,2.956323112059476e-14,2.1736578524778112e-15,1e-05,boxeig,299999999.9996127,True,nan,0,0,,nan,0,0,0,0,False,409.0,matern,0.1,1.5,1.0,1336336,5000,btab_boxeig_topk_16384_q192,189,410,409,75000000,300000000,5000,cufinufft,binned_c1,50,409,9.878919775101767e-08,pcg,converged,409,True,0.1,0,102.54141764040138,0.00012125255478212682,0.019999987599055274,0,0.1,boxeig,ok,0.0006620005195056764,0.2714202129973273,0.00044611678971981,0.18246176699540229,482569.3279844036,14696,894565.9198378713,0.003186990999893169,4.677233497106882e-05,0.019129885003167146,4.04797041558713e-05,0.01655619899975136,0.0002559340048937528,0.10467700800154489,0.3624385800003438,0.0,0.0,0.0011272790002294641,0.0,5.913961613170796e-05,0.024188102997868555,0.3613113010001143,0.07911783300005482,1.5147865380004077,0.3663246460000664,1.5480504659999497,1.0851092419998167,0.0,2.5998957800002245,2.6790136130002793,1e-07,80000,v7_btab_boxeig
35721,expanded_box,topk,16384,,16384,0,"[72, 72]","[145, 145]",21025,topk,16384,,16384,80000,21025,cheap,30,0.01,,cupy,3.067641032254536e-14,3.90451870300157e-15,1280,546,546,,546,256,21025,14696,86122496,45062.59905896336,450625.9905896336,0.001,boxeig,20000,group_c,50,diag,0.001,50,auto,group_c,boxeig,291,292,9.407162206687912e-08,0,,2,synthetic_true_func_2d_n300000000,False,NVIDIA A100-SXM4-80GB,cheap,256,0,256,256,0,0,2,35721,3.067641032254536e-14,3.90451870300157e-15,1e-05,boxeig,299999999.9996127,True,nan,0,0,,nan,0,0,0,0,False,291.0,matern,0.1,1.5,1.0,1336336,5000,btab_boxeig_topk_16384_q256,189,292,291,75000000,300000000,5000,cufinufft,binned_c1,50,291,9.407162206687912e-08,pcg,converged,291,True,0.1,0,102.54141764040138,0.00012120934299534072,0.01999998781772925,0,0.1,boxeig,ok,0.0006818838767168479,0.19911009200131957,0.00045239062883973527,0.13164567299236296,482569.3279844036,14696,450625.9905896336,0.0032171240000025136,4.740166668165317e-05,0.013793885004361073,4.2810051549092826e-05,0.012457725000786013,0.00025831181443534105,0.07516873800068424,0.519836316999772,0.0,0.0,0.001159955999810336,0.0,5.9802240548847715e-05,0.017402451999714685,0.5186763609999616,0.10373601499986762,1.5157532139996874,0.5238594209999974,1.546847304000039,1.0475379680001424,0.0,2.56329118199983,2.6670271969996975,1e-07,80000,v7_btab_boxeig
35721,expanded_box,topk,16384,,16384,0,"[72, 72]","[145, 145]",21025,topk,16384,,16384,80000,21025,cheap,30,0.01,,cupy,6.594267895860914e-14,6.012126330211027e-15,1600,674,674,,674,320,21025,14696,107653120,26922.0612429135,269220.61242913496,0.001,boxeig,20000,group_c,50,diag,0.001,50,auto,group_c,boxeig,220,221,9.764624464478795e-08,0,,2,synthetic_true_func_2d_n300000000,False,NVIDIA A100-SXM4-80GB,cheap,320,0,320,320,0,0,2,35721,6.594267895860914e-14,6.012126330211027e-15,1e-05,boxeig,299999999.9996127,True,nan,0,0,,nan,0,0,0,0,False,220.0,matern,0.1,1.5,1.0,1336336,5000,btab_boxeig_topk_16384_q320,189,221,220,75000000,300000000,5000,cufinufft,binned_c1,50,220,9.764624464478795e-08,pcg,converged,220,True,0.1,0,102.54141764040138,0.00012147104166064371,0.019999988807477737,0,0.1,boxeig,ok,0.000671512076923346,0.14840416900005948,0.00045918534544233064,0.10102077599731274,482569.3279844036,14696,269220.61242913496,0.0031492500002059387,4.763981816143893e-05,0.010480759995516564,4.3113286359254165e-05,0.009484922999035916,0.00026520487728951345,0.05834507300369296,0.5976608930000111,0.0,0.0,0.0010383270000602352,0.0,5.845616361222545e-05,0.012860355994689598,0.5966225659999509,0.129826912000226,1.5122883650001313,0.6015915559996756,1.545223612999962,0.993276338999749,0.0,2.5055647039998803,2.6353916160001063,1e-07,80000,v7_btab_boxeig
35721,expanded_box,topk,20480,,20480,0,"[80, 80]","[161, 161]",25921,topk,20480,,20480,80000,25921,cheap,30,0.01,,cupy,3.617229377517087e-14,2.287205753962241e-15,960,418,418,,418,192,25921,9800,79632384,89456.62807430948,894566.2807430947,0.001,boxeig,20000,group_c,50,diag,0.001,50,auto,group_c,boxeig,510,511,9.381449610157072e-08,0,,2,synthetic_true_func_2d_n300000000,False,NVIDIA A100-SXM4-80GB,cheap,192,0,192,192,0,0,2,35721,3.617229377517087e-14,2.287205753962241e-15,1e-05,boxeig,299999999.9996127,True,nan,0,0,,nan,0,0,0,0,False,510.0,matern,0.1,1.5,1.0,1648656,5000,btab_boxeig_topk_20480_q192,189,511,510,75000000,300000000,5000,cufinufft,binned_c1,50,510,9.381449610157072e-08,pcg,converged,510,True,0.1,0,61.117451836374016,0.00012202156220847516,0.019999995381846745,0,0.1,boxeig,ok,0.0006707301115480508,0.34274308700105394,0.0004543359607833183,0.23171133999949234,245733.59308476458,9800,894566.2807430947,0.0035599480002019845,4.6717501973213145e-05,0.023825926006338705,4.120328429356353e-05,0.0210136749897174,0.0002638098647135028,0.13454303100388643,0.3936334179993537,0.0,0.0,0.001145598999755748,0.0,5.88839039227976e-05,0.030030791000626778,0.39248781899959795,0.08352841099986108,1.513490685999841,0.39793160199997146,1.5434236779997264,1.3021706120002818,0.0,2.8156612980001228,2.899189708999984,1e-07,80000,v7_btab_boxeig
35721,expanded_box,topk,20480,,20480,0,"[80, 80]","[161, 161]",25921,topk,20480,,20480,80000,25921,cheap,30,0.01,,cupy,4.033201372058457e-14,4.660742679531325e-15,1280,546,546,,546,256,25921,9800,106176512,45062.63596412847,450626.3596412847,0.001,boxeig,20000,group_c,50,diag,0.001,50,auto,group_c,boxeig,357,358,8.616877228447375e-08,0,,2,synthetic_true_func_2d_n300000000,False,NVIDIA A100-SXM4-80GB,cheap,256,0,256,256,0,0,2,35721,4.033201372058457e-14,4.660742679531325e-15,1e-05,boxeig,299999999.9996127,True,nan,0,0,,nan,0,0,0,0,False,357.0,matern,0.1,1.5,1.0,1648656,5000,btab_boxeig_topk_20480_q256,189,358,357,75000000,300000000,5000,cufinufft,binned_c1,50,357,8.616877228447375e-08,pcg,converged,357,True,0.1,0,61.117451836374016,0.00012174712989148475,0.01999999402900125,0,0.1,boxeig,ok,0.0006910302123000618,0.2473888160034221,0.0004694985265982608,0.16761097399557912,245733.59308476458,9800,450626.3596412847,0.0036397170001691848,4.762401400609126e-05,0.01700177300017458,4.196012323951609e-05,0.014979763996507245,0.0002741271400749616,0.09786338900676128,0.4982146410002315,0.0,0.0,0.0011128450000796875,0.0,6.137680671314479e-05,0.021911519996592688,0.4971017960001518,0.10855545300000813,1.5120259180002904,0.5026709359999586,1.5463068429999112,1.1588947649997863,0.0,2.6709206830000767,2.779476136000085,1e-07,80000,v7_btab_boxeig
35721,expanded_box,topk,20480,,20480,0,"[80, 80]","[161, 161]",25921,topk,20480,,20480,80000,25921,cheap,30,0.01,,cupy,1.729850312751512e-13,6.574615651287471e-15,1600,674,674,,674,320,25921,9800,132720640,26922.100695904217,269221.00695904216,0.001,boxeig,20000,group_c,50,diag,0.001,50,auto,group_c,boxeig,242,243,9.87091933974399e-08,0,,2,synthetic_true_func_2d_n300000000,False,NVIDIA A100-SXM4-80GB,cheap,320,0,320,320,0,0,2,35721,1.729850312751512e-13,6.574615651287471e-15,1e-05,boxeig,299999999.9996127,True,nan,0,0,,nan,0,0,0,0,False,242.0,matern,0.1,1.5,1.0,1648656,5000,btab_boxeig_topk_20480_q320,189,243,242,75000000,300000000,5000,cufinufft,binned_c1,50,242,9.87091933974399e-08,pcg,converged,242,True,0.1,0,61.117451836374016,0.00012109566852437016,0.01999999058784236,0,0.1,boxeig,ok,0.0006809695679133297,0.16547560500293912,0.00047782940495839406,0.11563471599993136,245733.59308476458,9800,269221.00695904216,0.0035429750000730564,4.695487601295535e-05,0.011363079995135195,4.16548471169012e-05,0.010080473002290091,0.0002843908925629981,0.06882259600024554,0.6126364169999761,0.0,0.0,0.0010924140001407068,0.0,6.02322768523017e-05,0.014576210998257011,0.6115440029998354,0.13334941899984187,1.512515212999915,0.6171142040002451,1.5316632799999752,1.0567526690001614,0.0,2.5692678820000765,2.7026173009999184,1e-07,80000,v7_btab_boxeig
35721,expanded_box,topk,32768,,32768,0,"[94, 94]","[189, 189]",35721,topk,32768,,32768,80000,35721,cheap,30,0.01,,cupy,2.402389286357748e-14,2.6264788001384524e-15,960,418,418,,418,192,35721,0,109737984,89456.65521530209,894566.5521530209,0.001,boxeig,20000,group_c,50,diag,0.001,50,auto,group_c,boxeig,253,254,8.997322397534675e-08,0,,2,synthetic_true_func_2d_n300000000,False,NVIDIA A100-SXM4-80GB,cheap,192,0,192,192,0,0,2,35721,2.402389286357748e-14,2.6264788001384524e-15,1e-05,boxeig,299999999.9996127,True,nan,0,0,,nan,0,0,0,0,False,253.0,matern,0.1,1.5,1.0,2274064,5000,btab_boxeig_topk_32768_q192,189,254,253,75000000,300000000,5000,cufinufft,binned_c1,50,253,8.997322397534675e-08,pcg,converged,253,True,0.1,0,0.0,0.00012274151666476018,0.02000001104668719,0,0.1,boxeig,ok,0.0006797944724608023,0.17266779600504378,0.0004365006877626663,0.11043467400395457,0.0,0,894566.5521530209,0.0046644020003441256,1.7673620538117817e-05,0.004471425996143807,3.1793011862915996e-05,0.008043632001317746,0.00028357581818508413,0.07174468200082629,0.3943534230002115,0.0,0.0,0.0009889759999168746,0.0,6.059196047759693e-05,0.015329766000832024,0.3933644470002946,0.08136847900004796,1.5156143520002843,0.39982363700028145,1.5463322129999142,0.8512441679999938,0.0,2.366858520000278,2.448226999000326,1e-07,80000,v7_btab_boxeig
