dataset_stem,n_train,eps,method,route,precompute_mode,top_q,iterations,cg_iters,n_matvec,cg_n_matvec,n_precond,time_precompute,time_eigenspace,time_precond_build,time_solve,time_predict,time_total,rmse_train,rmse_test,cg_relres,status
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain100000000,100000000,1e-05,plain_cg,cg_baseline,original/default,,12972.0,12972,12973,12973,,0.9894836090002171,,,14.124106268000103,0.5154860269999517,15.113590359000227,0.0276472501812963,0.0276201146326716,9.217177717014635e-08,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain100000000,100000000,1e-05,eigenpro_pcg_q90,eigenpro_baseline,c1,90.0,3255.0,3255,3256,3256,3255.0,0.518697916000292,0.2991330229997402,0.0003207700001439,4.762827580999783,0.5242274510001153,5.580979289999959,0.0276408775510002,0.0276137469274471,9.472332859946203e-08,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain100000000,100000000,1e-05,eigenpro_pcg_q180,eigenpro_baseline,c1,180.0,1644.0,1644,1645,1645,1644.0,0.5184441850001349,0.5794197109999004,0.0003063399999518,2.56105949699986,0.5229594730003555,3.6592297329998473,0.0276409114441013,0.0276137758095844,9.801338874762929e-08,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain300000000,300000000,1e-05,plain_cg,cg_baseline,original/default,,21821.0,21821,21822,21822,,3.3746031949999638,,,23.804845183,1.6866591579996566,27.179448869000225,0.1106034568062799,0.1106107301423948,8.923755273109675e-08,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain300000000,300000000,1e-05,eigenpro_pcg_q90,eigenpro_baseline,c1,90.0,2222.0,2222,2223,2223,2222.0,1.5350316540002495,0.3118396559998473,0.0003143750000162,3.2860965579998265,1.692824037000264,5.13328224299994,0.11057582011993,0.1105828590734093,9.19590220031845e-08,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain300000000,300000000,1e-05,eigenpro_pcg_q180,eigenpro_baseline,c1,180.0,973.0,973,974,974,973.0,1.5334913540000343,0.5883833900002173,0.0003065269997932,1.4819387610000376,1.6936540480000986,3.6041200320000826,0.1105758415107505,0.1105828770390369,9.722190910546989e-08,ok
synthetic_true_func_2d_n100000000,100000000,1e-05,plain_cg,cg_baseline,original/default,,2772.0,2772,2773,2773,,0.9904680930003452,,,2.9952733079999234,0.5260081070000524,3.9857427169999937,0.0200013088401497,0.0001993113064862,9.978782598990843e-08,ok
synthetic_true_func_2d_n100000000,100000000,1e-05,eigenpro_pcg_q90,eigenpro_baseline,c1,90.0,824.0,824,825,825,824.0,0.5206732930000726,0.3061322439998548,0.0003151010000692,1.2086020000001554,0.5106469109996397,2.035722638000152,0.0200013301250385,0.0002027208371059,9.605550114434169e-08,ok
synthetic_true_func_2d_n100000000,100000000,1e-05,eigenpro_pcg_q180,eigenpro_baseline,c1,180.0,422.0,422,423,423,422.0,0.5208847269996113,0.5926045280002654,0.0003091389999099,0.6533965779999562,0.515199111000129,1.7671949719997428,0.0200013314619553,0.0002027233431839,9.747286985244545e-08,ok
synthetic_true_func_2d_n300000000,300000000,1e-05,plain_cg,cg_baseline,original/default,,2506.0,2506,2507,2507,,2.9592066579998573,,,2.735821501999908,1.5457757590002077,5.695029628999691,0.0199999796268446,0.0001172933508414,9.721151143102747e-08,ok
synthetic_true_func_2d_n300000000,300000000,1e-05,eigenpro_pcg_q90,eigenpro_baseline,c1,90.0,890.0,890,891,891,890.0,1.511229683000238,0.3084626919999209,0.000331647999701,1.324368446000335,1.5438185670000166,3.144392469000195,0.0200000031292491,0.0001228181343332,9.510769357041192e-08,ok
synthetic_true_func_2d_n300000000,300000000,1e-05,eigenpro_pcg_q180,eigenpro_baseline,c1,180.0,324.0,324,325,325,324.0,1.5128064010000344,0.594423180999911,0.0003391289997125,0.4956434410000838,1.5435906319999049,2.6032121519997418,0.0200000095400463,0.0001225709037985,9.906603773509796e-08,ok
