dataset_stem,eps,method,precompute_mode,selector_tag,btab_active_size_raw,btab_box_size,tail_size,rho_max_T,tail_energy,cg_iters,outer_iters,time_precond_build,time_solve,time_total,time_post_diagnostics,time_total_with_diagnostics,rmse_train,rmse_test
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain100000000,1e-05,btab_auto_topk_2048,c1,topk_2048,2048.0,2601.0,33120.0,5454.774512433066,6302112.012771339,819,819.0,0.2133112040000924,1.513044106000052,2.032143959000223,0.0003288120001343,2.032472771000357,0.0276408171125921,0.0276136848025164
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain100000000,1e-05,btab_auto_topk_4096,c1,topk_4096,4096.0,5329.0,30392.0,983.8544680280286,2124139.962108435,389,389.0,0.9063595100001294,1.6103026290002165,2.1287975300001563,0.0003269129997534,2.1291244429999097,0.0276408150059246,0.0276136827916581
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain100000000,1e-05,btab_auto_topk_8192,c1,topk_8192,8192.0,10609.0,25112.0,184.0035079822119,681483.853611585,203,203.0,3.8455469349996743,4.384437997999612,4.9054840449998665,0.0002792340001178,4.905763278999984,0.0276408143887536,0.0276136824325237
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain300000000,1e-05,btab_auto_topk_2048,c1,topk_2048,2048.0,2601.0,33120.0,16364.323537297962,18906336.03831259,5000,5000.0,0.2129540989999441,8.18193581300011,9.717175357000087,0.0003741649998119,9.7175495219999,0.1188877504358651,0.1188872713284829
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain300000000,1e-05,btab_auto_topk_4096,c1,topk_4096,4096.0,5329.0,30392.0,2951.563404083863,6372419.886324823,5000,5000.0,0.9030623479998212,10.020492084000123,11.552324659000078,0.0003751119998014,11.55269977099988,0.1477030306141073,0.1476734930604558
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain300000000,1e-05,btab_auto_topk_8192,c1,topk_8192,8192.0,10609.0,25112.0,552.010523946594,2044451.5608346004,5000,5000.0,3.8589394059999904,17.10772777000011,18.638966883000197,0.000339237999924,18.63930612100012,0.1643647236329369,0.164336936521028
synthetic_true_func_2d_n100000000,1e-05,btab_auto_topk_2048,c1,topk_2048,2048.0,2601.0,33120.0,5454.774475023667,6302111.968147907,392,392.0,0.2123373039999023,0.837855564000165,1.3616479769998475,0.0003328459997646,1.3619808229996124,0.0200013133301406,0.0002025391425124
synthetic_true_func_2d_n100000000,1e-05,btab_auto_topk_4096,c1,topk_4096,4096.0,5329.0,30392.0,983.85446104064,2124139.946790332,182,182.0,0.9088215960000524,1.2404116540001269,1.763756612999714,0.0003419139998186,1.7640985269995326,0.0200013129365974,0.0002024961507365
synthetic_true_func_2d_n100000000,1e-05,btab_auto_topk_8192,c1,topk_8192,8192.0,10609.0,25112.0,184.0035066531191,681483.8486543928,86,86.0,3.853718649999792,4.0831732880001255,4.603611289000128,0.0002827159996741,4.603894004999802,0.0200013126043612,0.0002024147369011
synthetic_true_func_2d_n300000000,1e-05,btab_auto_topk_2048,c1,topk_2048,2048.0,2601.0,33120.0,16364.323522779092,18906336.020993832,513,513.0,0.2131901770003423,1.0304433019996395,2.543938395999703,0.000385192000067,2.54432358799977,0.0199999968292441,0.000123185789351
synthetic_true_func_2d_n300000000,1e-05,btab_auto_topk_4096,c1,topk_4096,4096.0,5329.0,30392.0,2951.5634013719923,6372419.880379716,243,243.0,0.9025910079999448,1.3443156470002575,2.85837706600023,0.0003850449998026,2.8587621110000327,0.019999997689015,0.0001233060662414
synthetic_true_func_2d_n300000000,1e-05,btab_auto_topk_8192,c1,topk_8192,8192.0,10609.0,25112.0,552.0105234307598,2044451.5589106623,135,135.0,3.890762274999816,4.25066975100026,5.766235164000136,0.000324675000229,5.766559839000365,0.0199999968743209,0.0001231188867277
