dataset_stem,n_train,eps,method,route,precompute_mode,top_q,iterations,cg_iters,n_matvec,cg_n_matvec,n_precond,time_precompute,time_eigenspace,time_precond_build,time_solve,time_predict,time_total,rmse_train,rmse_test,cg_relres,status
synthetic_true_func_2d_n1000000,1000000,1e-05,plain_cg,cg_baseline,original/default,,801.0,801.0,802.0,802.0,,0.0322936739999022,,,0.8432576879999942,0.0123165049999443,0.8755516619999071,0.0200037094396318,0.0003755119020863,8.78614426051436e-08,ok
synthetic_true_func_2d_n1000000,1000000,1e-05,eigenpro_pcg_q90,eigenpro_baseline,c1,90.0,114.0,114.0,115.0,115.0,114.0,0.0186117409998587,0.29803499500008,0.0002853759999652,0.1612813750000441,0.0124621009999827,0.4782134869999481,0.0200051293076203,0.0004191394233051,9.541218475690218e-08,ok
synthetic_true_func_2d_n1000000,1000000,1e-05,eigenpro_pcg_q180,eigenpro_baseline,c1,180.0,16.0,16.0,17.0,17.0,16.0,0.0179276709998248,0.5668107150002015,0.0003012089998719,0.0234856780000427,0.0124290189999101,0.6085252729999411,0.0200051296256169,0.0004191768081807,7.96261661070184e-08,ok
synthetic_true_func_2d_n10000000,10000000,1e-05,plain_cg,cg_baseline,original/default,,1430.0,1430.0,1431.0,1431.0,,0.2572529049998593,,,1.5275264490001064,0.0927497780000976,1.7847798749999129,0.0200050424452844,0.0001370329672592,9.760658373850953e-08,ok
synthetic_true_func_2d_n10000000,10000000,1e-05,eigenpro_pcg_q90,eigenpro_baseline,c1,90.0,239.0,239.0,240.0,240.0,239.0,0.0590228369999294,0.2978811770001357,0.0003029729998615,0.3387715149999621,0.0925987340001484,0.695978501999889,0.020008143317485,0.0003530804781471,7.778341444983435e-08,ok
synthetic_true_func_2d_n10000000,10000000,1e-05,eigenpro_pcg_q180,eigenpro_baseline,c1,180.0,31.0,31.0,32.0,32.0,31.0,0.0585324699998182,0.5700371200000518,0.0003020280000782,0.0446995079998941,0.0923856110000542,0.6735711259998425,0.0200081585617127,0.0003549242714812,9.372029776565885e-08,ok
synthetic_true_func_2d_n100000000,100000000,1e-05,plain_cg,cg_baseline,original/default,,1651.0,1651.0,1652.0,1652.0,,2.7875063090000367,,,1.7929000849999284,0.9136972080000304,4.580408247999912,0.0200023342573317,5.565340957995293e-05,9.920093579886658e-08,ok
synthetic_true_func_2d_n100000000,100000000,1e-05,eigenpro_pcg_q90,eigenpro_baseline,c1,90.0,279.0,279.0,280.0,280.0,279.0,0.4588159569998424,0.3008053400001245,0.0003137329999844,0.3958571890000257,0.9147122899998976,1.1557922189999772,0.0200067637504731,0.0004250034282394,9.436302615720157e-08,ok
synthetic_true_func_2d_n100000000,100000000,1e-05,eigenpro_pcg_q180,eigenpro_baseline,c1,180.0,45.0,45.0,46.0,46.0,45.0,0.458978745000195,0.5743037749998621,0.0003177930000219,0.064596948999906,0.914185745000168,1.0981972619999851,0.0200067528724965,0.0004245030314751,8.822004342074666e-08,ok
synthetic_true_func_2d_n3000000,3000000,1e-05,plain_cg,cg_baseline,original/default,,1061.0,1061.0,1062.0,1062.0,,0.0817395269998542,,,1.125126607999846,0.0293318260000887,1.206866638999827,0.0199989005496868,0.0002207491302194,9.375370165346819e-08,ok
synthetic_true_func_2d_n3000000,3000000,1e-05,eigenpro_pcg_q90,eigenpro_baseline,c1,90.0,157.0,157.0,158.0,158.0,157.0,0.0280777069999658,0.3012538079999558,0.0002849210000022,0.2243446500001482,0.0293242549998922,0.5539610860000721,0.0200012786460894,0.0003486889501643,8.867913688004828e-08,ok
synthetic_true_func_2d_n3000000,3000000,1e-05,eigenpro_pcg_q180,eigenpro_baseline,c1,180.0,20.0,20.0,21.0,21.0,20.0,0.0269355020000148,0.5730007629999818,0.000300998000057,0.0291987779999089,0.029468579999957,0.6294360409999626,0.020001292383956,0.0003494671222913,9.006275622676757e-08,ok
synthetic_true_func_2d_n30000000,30000000,1e-05,plain_cg,cg_baseline,original/default,,1535.0,1535.0,1536.0,1536.0,,0.7640887869999915,,,1.6230338220000249,0.2740471070001149,2.387123195999948,0.0200037468965463,7.846499132914028e-05,8.741111924349916e-08,ok
synthetic_true_func_2d_n30000000,30000000,1e-05,eigenpro_pcg_q90,eigenpro_baseline,c1,90.0,279.0,279.0,280.0,280.0,279.0,0.1480244560000301,0.2998120039999321,0.0002915079999183,0.4003897420000157,0.2746690550000039,0.8485177099998964,0.0200075118822098,0.0003363661271979,9.7143586965278e-08,ok
synthetic_true_func_2d_n30000000,30000000,1e-05,eigenpro_pcg_q180,eigenpro_baseline,c1,180.0,42.0,42.0,43.0,43.0,42.0,0.1472862299999633,0.5684321570001885,0.000299165999877,0.0601079289999688,0.2757883690001108,0.7761254819999976,0.020007523393289,0.0003352487957529,7.284733335916872e-08,ok
synthetic_true_func_2d_n300000000,300000000,1e-05,plain_cg,cg_baseline,original/default,,,,,,,,,,,,,,,,failed
synthetic_true_func_2d_n300000000,300000000,1e-05,eigenpro_pcg_q90,eigenpro_baseline,c1,90.0,,,,,,,,,,,,,,,failed
synthetic_true_func_2d_n300000000,300000000,1e-05,eigenpro_pcg_q180,eigenpro_baseline,c1,180.0,,,,,,,,,,,,,,,failed
