dataset_stem,eps,method,route,precompute_mode,selector_tag,S_kind,btab_active_size_raw,btab_box_size,active_size,box_size,tail_size,rho_max_T,tail_energy,btab_diagnostic_mode,time_post_diagnostics,time_total_with_diagnostics,diagnostic_n_matvec,diagnostic_n_A_matvec,diagnostic_n_ASS_matvec,diagnostic_n_precond,diagnostic_n_eig_matvec,diagnostic_n_power_iter
synthetic_true_func_2d_n1000000,1e-05,btab_auto_topk_1024,inverse,c1,topk_1024,expanded_box,1024.0,1225.0,1024.0,1225.0,0.0,0.0,0.0,cheap,2.560000007179042e-05,0.0876471780002248,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_true_func_2d_n1000000,1e-05,btab_boxeig_topk_128_q16,boxeig,c1,topk_128,expanded_box,128.0,169.0,128.0,169.0,1056.0,6198.49268544521,232201.1852476976,cheap,0.0070788010000342,1.7776132779999898,16.0,0.0,16.0,0.0,16.0,0.0
synthetic_true_func_2d_n1000000,1e-05,btab_boxeig_topk_128_q32,boxeig,c1,topk_128,expanded_box,128.0,169.0,128.0,169.0,1056.0,6198.492685445211,232201.1852476976,cheap,0.0132535069999448,1.381998348999787,32.0,0.0,32.0,0.0,32.0,0.0
synthetic_true_func_2d_n1000000,1e-05,btab_boxeig_topk_128_q64,boxeig,c1,topk_128,expanded_box,128.0,169.0,128.0,169.0,1056.0,6198.49268544521,232201.1852476976,cheap,0.0256030880000253,0.8166938159999972,64.0,0.0,64.0,0.0,64.0,0.0
synthetic_true_func_2d_n1000000,1e-05,btab_auto_topk_128,inverse,c1,topk_128,expanded_box,128.0,169.0,128.0,169.0,1056.0,6198.492685445211,232201.1852476976,cheap,8.830699994177849e-05,0.5606291099998089,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_true_func_2d_n1000000,1e-05,btab_boxeig_topk_256_q32,boxeig,c1,topk_256,expanded_box,256.0,361.0,256.0,361.0,864.0,139.96381743671242,4566.5864435256,cheap,0.0133643449998999,1.3667937339998844,32.0,0.0,32.0,0.0,32.0,0.0
synthetic_true_func_2d_n1000000,1e-05,btab_boxeig_topk_256_q64,boxeig,c1,topk_256,expanded_box,256.0,361.0,256.0,361.0,864.0,139.96381743671242,4566.5864435256,cheap,0.0255003689999284,0.8096174139998311,64.0,0.0,64.0,0.0,64.0,0.0
synthetic_true_func_2d_n1000000,1e-05,btab_boxeig_topk_256_q128,boxeig,c1,topk_256,expanded_box,256.0,361.0,256.0,361.0,864.0,139.96381743671242,4566.5864435256,cheap,0.050972553000065,0.5165242640000542,128.0,0.0,128.0,0.0,128.0,0.0
synthetic_true_func_2d_n1000000,1e-05,btab_auto_topk_256,inverse,c1,topk_256,expanded_box,256.0,361.0,256.0,361.0,864.0,139.96381743671242,4566.5864435256,cheap,7.696400007262127e-05,0.1485425270000178,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_true_func_2d_n1000000,1e-05,btab_boxeig_topk_512_q64,boxeig,c1,topk_512,expanded_box,512.0,625.0,512.0,625.0,600.0,0.829294688485552,24.837041279880182,cheap,0.0255913529999816,0.6162273589998222,64.0,0.0,64.0,0.0,64.0,0.0
synthetic_true_func_2d_n1000000,1e-05,btab_boxeig_topk_512_q128,boxeig,c1,topk_512,expanded_box,512.0,625.0,512.0,625.0,600.0,0.829294688485552,24.837041279880182,cheap,0.050256064999985,0.4526828429998204,128.0,0.0,128.0,0.0,128.0,0.0
synthetic_true_func_2d_n1000000,1e-05,btab_boxeig_topk_512_q256,boxeig,c1,topk_512,expanded_box,512.0,625.0,512.0,625.0,600.0,0.829294688485552,24.837041279880182,cheap,0.1133702839999841,0.617967685000167,256.0,0.0,256.0,0.0,256.0,0.0
synthetic_true_func_2d_n1000000,1e-05,btab_auto_topk_512,inverse,c1,topk_512,expanded_box,512.0,625.0,512.0,625.0,600.0,0.829294688485552,24.837041279880182,cheap,7.984800004123827e-05,0.0558181880001029,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_true_func_2d_n1000000,1e-05,btab_boxeig_topk_64_q16,boxeig,c1,topk_64,expanded_box,64.0,81.0,64.0,81.0,1144.0,36897.890262738125,1551387.9664721382,cheap,0.0071220540000922,1.8975133380001807,16.0,0.0,16.0,0.0,16.0,0.0
synthetic_true_func_2d_n1000000,1e-05,btab_boxeig_topk_64_q32,boxeig,c1,topk_64,expanded_box,64.0,81.0,64.0,81.0,1144.0,36897.890262738125,1551387.9664721382,cheap,0.0133153760000368,1.3031784740001058,32.0,0.0,32.0,0.0,32.0,0.0
synthetic_true_func_2d_n1000000,1e-05,btab_auto_topk_64,inverse,c1,topk_64,expanded_box,64.0,81.0,64.0,81.0,1144.0,36897.890262738125,1551387.9664721382,cheap,8.819999993647798e-05,1.0175353069998891,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_true_func_2d_n10000000,1e-05,btab_auto_topk_1024,inverse,c1,topk_1024,expanded_box,1024.0,1225.0,1024.0,1225.0,0.0,0.0,0.0,cheap,3.3166999855893664e-05,0.1239091769998594,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_true_func_2d_n10000000,1e-05,btab_boxeig_topk_128_q16,boxeig,c1,topk_128,expanded_box,128.0,169.0,128.0,169.0,1056.0,61985.223253621865,2322027.011071484,cheap,0.0071716649999871,3.331389338000008,16.0,0.0,16.0,0.0,16.0,0.0
synthetic_true_func_2d_n10000000,1e-05,btab_boxeig_topk_128_q32,boxeig,c1,topk_128,expanded_box,128.0,169.0,128.0,169.0,1056.0,61985.223253621865,2322027.011071484,cheap,0.0133185950001006,2.27086857900008,32.0,0.0,32.0,0.0,32.0,0.0
synthetic_true_func_2d_n10000000,1e-05,btab_boxeig_topk_128_q64,boxeig,c1,topk_128,expanded_box,128.0,169.0,128.0,169.0,1056.0,61985.223253621865,2322027.011071484,cheap,0.025789369999984,1.2043972579999718,64.0,0.0,64.0,0.0,64.0,0.0
synthetic_true_func_2d_n10000000,1e-05,btab_auto_topk_128,inverse,c1,topk_128,expanded_box,128.0,169.0,128.0,169.0,1056.0,61985.223253621865,2322027.011071484,cheap,0.0001234870001098,1.078603816000168,0.0,0.0,0.0,0.0,0.0,0.0
