N,Kernel,reg_lambda,Method,method,top-k,|B|,q,Iter.,T_solve,T_total,RMSE,RMSE / RMSE_EFGP,Speedup
1000000,SE,0.1,Active inverse,btab_auto_topk_64,64.0,81.0,,614.0,0.9993560949999392,1.0174471069999529,0.0200051225874654,1.0000706442891436,0.8605377674929569
1000000,SE,0.1,Active inverse,btab_auto_topk_128,128.0,169.0,,321.0,0.5417578709998452,0.5605408029998671,0.0200051178452532,1.0000704072225028,1.561976679153747
1000000,SE,0.1,Active inverse,btab_auto_topk_256,256.0,361.0,,73.0,0.1306418359999952,0.1484655629999451,0.0200051197336942,1.0000705016270435,5.897338374692526
1000000,SE,0.1,Active inverse,btab_auto_topk_512,512.0,625.0,,11.0,0.0376299019999351,0.0557383400000617,0.0200051177111628,1.0000704005192262,15.70824789541522
1000000,SE,0.1,Active inverse,btab_auto_topk_1024,1024.0,1225.0,,5.0,0.0696861810001792,0.087621578000153,0.0200051178839728,1.0000704091581238,9.992420611260599
1000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_64_q16,64.0,81.0,16.0,1112.0,1.8724490179999973,1.8903912840000885,0.0200051193330614,1.0000704815991182,0.46315896048104405
1000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_64_q32,64.0,81.0,32.0,736.0,1.2719471039999917,1.289863098000069,0.0200051187325942,1.0000704515813255,0.6787942560396129
1000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_128_q16,128.0,169.0,16.0,1050.0,1.7527529239998785,1.7705344769999556,0.0200051145626972,1.0000702431251383,0.4945126307189832
1000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_128_q32,128.0,169.0,32.0,786.0,1.3506048639999335,1.3687448419998418,0.0200051142559663,1.0000702277914373,0.6396748576751957
1000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_128_q64,128.0,169.0,64.0,387.0,0.7728910060000089,0.7910907279999719,0.0200051161216694,1.0000703210592938,1.1067651673954877
1000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_256_q32,256.0,361.0,32.0,759.0,1.3353568929999255,1.3534293889999844,0.0200051144441643,1.0000702371995924,0.6469134401217862
1000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_256_q64,256.0,361.0,64.0,377.0,0.7656635649998407,0.7841170449999026,0.0200051138424864,1.0000702071212761,1.1166083782810967
1000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_256_q128,256.0,361.0,128.0,115.0,0.4474670069998865,0.4655517109999891,0.0200051198564945,1.0000705077659198,1.8806754251192679
1000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_512_q64,512.0,625.0,64.0,258.0,0.5725454890000492,0.5906360059998406,0.0200051043396633,1.0000697320682301,1.4823878888280024
1000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_512_q128,512.0,625.0,128.0,77.0,0.3840997779998361,0.4024267779998354,0.0200051103459944,1.000070032329095,2.1756794275759286
1000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_512_q256,512.0,625.0,256.0,10.0,0.4868101370000204,0.5045974010001828,0.0200051188949215,1.0000704596961856,1.7351489727542015
3000000,SE,0.1,Active inverse,btab_auto_topk_64,64.0,81.0,,781.0,1.2830598450000252,1.3104799510001612,0.0200012324456237,1.0001166012067066,0.9209348361863482
3000000,SE,0.1,Active inverse,btab_auto_topk_128,128.0,169.0,,476.0,0.7862579529999039,0.8136365529999239,0.0200012272944301,1.0001163436328673,1.483299434557164
3000000,SE,0.1,Active inverse,btab_auto_topk_256,256.0,361.0,,100.0,0.1766144430000622,0.2038974580000285,0.0200012269537453,1.0001163265976907,5.9189881562901006
3000000,SE,0.1,Active inverse,btab_auto_topk_512,512.0,625.0,,16.0,0.0487764539998352,0.0758253120000063,0.0200012268355736,1.0001163206887809,15.916408481111514
3000000,SE,0.1,Active inverse,btab_auto_topk_1024,1024.0,1225.0,,5.0,0.0725304119998782,0.0998822099998051,0.0200012269271222,1.0001163252664624,12.082898836561405
3000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_64_q16,64.0,81.0,16.0,1430.0,2.378503563999857,2.4060195649999514,0.0200012252996766,1.000116243889709,0.5016030029663751
3000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_64_q32,64.0,81.0,32.0,978.0,1.6517608530000416,1.6784964720000062,0.0200012201652414,1.0001159871538357,0.7190164883467343
3000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_128_q16,128.0,169.0,16.0,1506.0,2.4979102320000948,2.524732739000001,0.020001213213551,1.000115639550207,0.47801758196308897
3000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_128_q32,128.0,169.0,32.0,1021.0,1.7536936260000855,1.7806716390000474,0.0200012050263995,1.0001152301701275,0.6777592300383658
3000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_128_q64,128.0,169.0,64.0,472.0,0.923186742000098,0.9502223930001036,0.0200012315706951,1.0001165574578716,1.2700886107192546
3000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_256_q32,256.0,361.0,32.0,1077.0,1.861162117999811,1.8881585399999492,0.0200012227779177,1.0001161177948323,0.6391765381099087
3000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_256_q64,256.0,361.0,64.0,542.0,1.0336979900000642,1.060979818000078,0.0200012232426451,1.0001161410324797,1.1375019755557105
