M,S_kind,active_mode,active_size,active_tau,active_topk,box_memory_bytes,box_radii,box_shape,box_size,btab_active_mode,btab_active_size_raw,btab_active_tau,btab_active_topk,btab_box_budget,btab_box_size,btab_diagnostic_mode,btab_diagnostic_power_iter,btab_diagnostic_tol,btab_eig_apply_batch_cols,btab_eig_backend,btab_eig_eig_residual_max,btab_eig_eig_residual_median,btab_eig_maxiter,btab_eig_n_ABB_matvec_cols,btab_eig_n_eig_matvec,btab_eig_ncv,btab_eig_ncv_actual,btab_eig_q,btab_eig_size_S,btab_eig_size_T,btab_eig_storage_bytes,btab_eig_theta_q1,btab_eig_theta_q1_over_sigma2,btab_eig_tol,btab_exact_apply_mode,btab_exact_box_max_size,btab_experiment_route,btab_inner_maxiter,btab_inner_precond,btab_inner_tol,btab_outer_gmres_restart,btab_outer_solver,btab_solve_mode,cg_iters,cg_n_matvec,cg_relres,chol_memory_bytes,chunk_size,dataset_dim,dataset_stem,debug_finite_checks,device_name,diagnostic_mode,diagnostic_n_ASS_matvec,diagnostic_n_A_matvec,diagnostic_n_eig_matvec,diagnostic_n_matvec,diagnostic_n_power_iter,diagnostic_n_precond,dim,efgp_matrix_dim,eig_residual_max,eig_residual_median,eps,exact_apply_mode,gamma,has_nufft,inner_last_relres,inner_max_iters,inner_maxiter,inner_precond,inner_tol,inner_total_iters,inner_total_matvec,inner_total_precond,inverse_memory_bytes,is_warmup,iterations,kernel_family,kernel_lengthscale,kernel_nu,kernel_variance,local_fft_memory_bytes,maxiter,method,mtot,n_matvec,n_precond,n_test,n_train,nufft_backend,nufft_stage,outer_gmres_restart,outer_iters,outer_relres,outer_solver,outer_status,precond_apply_calls,profile_components,reg_lambda,repeat_idx,rho_max_T,rmse_test,rmse_train,run_seed,sigma2_equiv_reg_lambda,solve_mode,status,t_matvec_avg,t_matvec_total,t_precond_avg,t_precond_total,tail_energy,tail_size,theta_q1_over_sigma2,time_active_set,time_box_gather_avg,time_box_gather_total,time_box_scatter_avg,time_box_scatter_total,time_box_solve_avg,time_box_solve_total,time_build_Ag,time_build_box_matrix,time_build_inverse,time_build_local_fft,time_cholesky,time_diag_avg,time_diag_total,time_eig_setup,time_post_diagnostics,time_precompute,time_precond_build,time_predict,time_solve,time_symmetrize_regularize,time_total,time_total_with_diagnostics,tol,version
1225,expanded_box,topk,64,,64,0,"[4, 4]","[9, 9]",81,topk,64,,64,80000,81,cheap,30,0.01,,,,,,,,,,,,,,,,,chol_solve,20000,group_b,50,diag,0.001,50,auto,auto,1152,1153,7.429879073068585e-08,104976,,2,synthetic_true_func_2d_n300000000,False,NVIDIA A100-SXM4-40GB,cheap,0,0,0,0,0,0,2,1225,,,1e-05,chol_solve,299999999.9993526,True,nan,0,50,diag,0.001,0,0,0,0,False,1152.0,SE,0.1,1.5,1.0,0,20000,btab_auto_topk_64,35,1153,1152,75000000,300000000,cufinufft,binned_c1,50,1152,7.429879073068585e-08,pcg,converged,1152,True,0.1,0,11069386.013594236,0.00045534737436352205,0.02000545778677236,0,0.1,exact,ok,0.0006302705125783157,0.726701901002798,0.0004165314765618433,0.4798442609992435,465418078.63455087,1144,,0.004639402999828235,4.594051823028325e-05,0.0529234770012863,4.185888802668261e-05,0.048221439006738365,0.00022893738715465715,0.26373587000216503,0.5962599720000981,0.37476184100000864,-0.5962599720000981,0.0,0.11977793500000189,5.622284027910022e-05,0.06476871200152345,,0.00017198199998347263,1.4930427019999115,1.0824118870000348,1.5234670819997973,3.0043156860001545,0.10172019600008753,4.497358388000066,4.4975303700000495,1e-07,v6_btab
1225,expanded_box,topk,128,,128,0,"[6, 6]","[13, 13]",169,topk,128,,128,80000,169,cheap,30,0.01,,,,,,,,,,,,,,,,,chol_solve,20000,group_b,50,diag,0.001,50,auto,auto,721,722,9.947676303792095e-08,456976,,2,synthetic_true_func_2d_n300000000,False,NVIDIA A100-SXM4-40GB,cheap,0,0,0,0,0,0,2,1225,,,1e-05,chol_solve,299999999.9993526,True,nan,0,50,diag,0.001,0,0,0,0,False,721.0,SE,0.1,1.5,1.0,0,20000,btab_auto_topk_128,35,722,721,75000000,300000000,cufinufft,binned_c1,50,721,9.947676303792095e-08,pcg,converged,721,True,0.1,0,1859557.598424082,0.0004508144404114915,0.020005354509778264,0,0.1,exact,ok,0.0006174357534627337,0.44578861400009373,0.0003911845478484544,0.28204405899873564,69660856.40216123,1056,,0.0005190100000618258,4.464602357415497e-05,0.03218978299696573,4.0030019416553083e-05,0.028861643999334774,0.00020858254091146386,0.15038801199716545,0.001924942999949053,0.0013301450001108606,-0.001924942999949053,0.0,0.0003603719999318855,5.4917697639369515e-05,0.03959565999798542,,0.0001645760000883456,1.4929484890001277,0.0033055420001346647,1.5145809999999074,1.166076713999928,0.00023442599990630697,2.6590252030000556,2.659189779000144,1e-07,v6_btab
1225,expanded_box,topk,256,,256,0,"[9, 9]","[19, 19]",361,topk,256,,256,80000,361,cheap,30,0.01,,,,,,,,,,,,,,,,,chol_solve,20000,group_b,50,diag,0.001,50,auto,auto,228,229,7.050586027358684e-08,2085136,,2,synthetic_true_func_2d_n300000000,False,NVIDIA A100-SXM4-40GB,cheap,0,0,0,0,0,0,2,1225,,,1e-05,chol_solve,299999999.9993526,True,nan,0,50,diag,0.001,0,0,0,0,False,228.0,SE,0.1,1.5,1.0,0,20000,btab_auto_topk_256,35,229,228,75000000,300000000,cufinufft,binned_c1,50,228,7.050586027358684e-08,pcg,converged,228,True,0.1,0,41989.683618032905,0.0004575685114684022,0.02000550799738552,0,0.1,exact,ok,0.0006284007161632288,0.1439037640013794,0.00042111268859762756,0.09601369300025908,1369995.926261714,864,,0.0006990350000251055,4.515836403079607e-05,0.010296106999021504,4.1160377180491646e-05,0.009384565997152094,0.00023498249560972048,0.05357600899901627,0.0042085860000042885,0.0034022239999558224,-0.0042085860000042885,0.0,0.0005825860000641114,5.6278609657798175e-05,0.012831523001977985,,0.00014109599987932597,1.49337525299984,0.0057383590001336415,1.5192877879999287,0.3869015360000958,0.0002237759999843547,1.8802767889999359,1.8804178849998152,1e-07,v6_btab
1225,expanded_box,topk,512,,512,0,"[12, 12]","[25, 25]",625,topk,512,,512,80000,625,cheap,30,0.01,,,,,,,,,,,,,,,,,chol_solve,20000,group_b,50,diag,0.001,50,auto,auto,79,80,9.427362696420089e-08,6250000,,2,synthetic_true_func_2d_n300000000,False,NVIDIA A100-SXM4-40GB,cheap,0,0,0,0,0,0,2,1225,,,1e-05,chol_solve,299999999.9993526,True,nan,0,50,diag,0.001,0,0,0,0,False,79.0,SE,0.1,1.5,1.0,0,20000,btab_auto_topk_512,35,80,79,75000000,300000000,cufinufft,binned_c1,50,79,9.427362696420089e-08,pcg,converged,79,True,0.1,0,248.79413980932114,0.0004584752204154619,0.020005528787291324,0,0.1,exact,ok,0.0006220334874882383,0.04976267899905906,0.00044639054430596923,0.03526485300017157,7451.295978545703,600,,0.000534388999994917,4.4473886067793545e-05,0.00351343699935569,4.1871531649017995e-05,0.0033078510002724215,0.00026076759494963314,0.02060064000102102,0.027686326999855737,0.012154834999819286,-0.027686326999855737,0.0,0.015248602999918148,5.6238759489593875e-05,0.004442861999677916,,0.00015248099998643738,1.493857473999924,0.02910237999981291,1.520524112999965,0.16274117400007526,0.00028288900011830265,1.6565986479999992,1.6567511289999857,1e-07,v6_btab
1225,expanded_box,topk,1024,,1024,0,"[17, 17]","[35, 35]",1225,topk,1024,,1024,80000,1225,cheap,30,0.01,,,,,,,,,,,,,,,,,chol_solve,20000,group_b,50,diag,0.001,50,auto,auto,3,4,2.390275116918372e-09,24010000,,2,synthetic_true_func_2d_n300000000,False,NVIDIA A100-SXM4-40GB,cheap,0,0,0,0,0,0,2,1225,,,1e-05,chol_solve,299999999.9993526,True,nan,0,50,diag,0.001,0,0,0,0,False,3.0,SE,0.1,1.5,1.0,0,20000,btab_auto_topk_1024,35,4,3,75000000,300000000,cufinufft,binned_c1,50,3,2.390275116918372e-09,pcg,converged,3,True,0.1,0,0.0,0.0004584732854462565,0.020005528770131783,0,0.1,exact,ok,0.0007025532501074849,0.0028102130004299397,0.0005853679999745509,0.0017561039999236527,0.0,0,,0.0005437949998849945,1.7373666651110398e-05,5.212099995333119e-05,3.606433332000355e-05,0.00010819299996001064,0.0004347903334291914,0.0013043710002875741,0.05149056799996288,0.047565978999955405,-0.05149056799996288,0.0,0.0034354829999756475,5.5225333426278667e-05,0.000165676000278836,,5.004800004826393e-05,1.4926496180000868,0.052837990000170976,1.5227557360001356,0.05997002699996301,0.0004891060000318248,1.5526196450000498,1.552669693000098,1e-07,v6_btab
1225,expanded_box,topk,64,,64,0,"[4, 4]","[9, 9]",81,topk,64,,64,80000,81,cheap,30,0.01,,cupy,1.21257140560433e-15,6.895231486468537e-16,80,66,66,,66,16,81,1144,20992,6745876.243187924,67458762.43187924,0.001,boxeig,20000,group_b,50,diag,0.001,50,auto,boxeig,1650,1651,9.953244874888722e-08,0,,2,synthetic_true_func_2d_n300000000,False,NVIDIA A100-SXM4-40GB,cheap,16,0,16,16,0,0,2,1225,1.21257140560433e-15,6.895231486468537e-16,1e-05,boxeig,299999999.9993526,True,nan,0,0,,nan,0,0,0,0,False,1650.0,SE,0.1,1.5,1.0,4624,20000,btab_boxeig_topk_64_q16,35,1651,1650,75000000,300000000,cufinufft,binned_c1,50,1650,9.953244874888722e-08,pcg,converged,1650,True,0.1,0,11069386.013594236,0.00044050715254412184,0.02000512517766693,0,0.1,boxeig,ok,0.0006225065923732078,1.027758384008166,0.00041093951151376107,0.6780501939977057,465418078.63455087,1144,67458762.43187924,0.0004779240000516438,4.525804908801299e-05,0.07467578099522143,3.9832902420488556e-05,0.06572428899380611,0.00022637780424151005,0.3735233769984916,1.183203648000017,0.0,0.0,0.0813719669999955,0.0,5.7521488486765354e-05,0.09491045600316284,1.1018316810000215,0.7191587639999852,1.493252418000111,1.4037944570000036,1.5231053820000398,4.12459454299983,0.0,5.617846960999941,6.337005724999926,1e-07,v7_btab_boxeig
1225,expanded_box,topk,64,,64,0,"[4, 4]","[9, 9]",81,topk,64,,64,80000,81,cheap,30,0.01,,cupy,1.752542622089073e-15,8.581594392074751e-16,160,80,80,,80,32,81,1144,41984,1971672.975219617,19716729.752196167,0.001,boxeig,20000,group_b,50,diag,0.001,50,auto,boxeig,1346,1347,9.674257962847886e-08,0,,2,synthetic_true_func_2d_n300000000,False,NVIDIA A100-SXM4-40GB,cheap,32,0,32,32,0,0,2,1225,1.752542622089073e-15,8.581594392074751e-16,1e-05,boxeig,299999999.9993526,True,nan,0,0,,nan,0,0,0,0,False,1346.0,SE,0.1,1.5,1.0,4624,20000,btab_boxeig_topk_64_q32,35,1347,1346,75000000,300000000,cufinufft,binned_c1,50,1346,9.674257962847886e-08,pcg,converged,1346,True,0.1,0,11069386.013594236,0.0004443501176856204,0.020005210722476074,0,0.1,boxeig,ok,0.0006210443674806807,0.8365467629964769,0.0004061681857395398,0.5467023780054205,465418078.63455087,1144,19716729.752196167,0.000496275999921636,4.4152817977908416e-05,0.05942969299826473,3.8821272654688994e-05,0.05225343299321139,0.00022574353565528698,0.3038507989920163,0.0609059769999476,0.0,0.0,0.001004281999939849,0.0,5.6410199110993633e-05,0.07592812800339743,0.05990169500000775,0.01601673599998321,1.4932364030000826,0.061770782999929,1.5236895919999824,2.2674235780000345,0.0,3.760659981000117,3.7766767170001003,1e-07,v7_btab_boxeig
1225,expanded_box,topk,128,,128,0,"[6, 6]","[13, 13]",169,topk,128,,128,80000,169,cheap,30,0.01,,cupy,1.2031837686902454e-15,7.625916457474978e-16,80,66,66,,66,16,169,1056,43520,6797264.4908867115,67972644.9088671,0.001,boxeig,20000,group_b,50,diag,0.001,50,auto,boxeig,2447,2448,9.494296924601443e-08,0,,2,synthetic_true_func_2d_n300000000,False,NVIDIA A100-SXM4-40GB,cheap,16,0,16,16,0,0,2,1225,1.2031837686902454e-15,7.625916457474978e-16,1e-05,boxeig,299999999.9993526,True,nan,0,0,,nan,0,0,0,0,False,2447.0,SE,0.1,1.5,1.0,10000,20000,btab_boxeig_topk_128_q16,35,2448,2447,75000000,300000000,cufinufft,binned_c1,50,2447,9.494296924601443e-08,pcg,converged,2447,True,0.1,0,1859557.598424082,0.0004494648964325982,0.020005325631148863,0,0.1,boxeig,ok,0.0006187319289197416,1.5146557619955274,0.0004063921544773971,0.9944416020061908,69660856.40216123,1056,67972644.9088671,0.0004884160000528937,4.486816142500069e-05,0.10979239100697669,3.89646252603308e-05,0.09534643801202947,0.0002245714356395577,0.5495263030099977,0.10520659200005866,0.0,0.0,0.047863573000086035,0.0,5.627070862292656e-05,0.1376944240003013,0.05734301899997263,0.00738798899988069,1.4935481290001462,0.1060621080000601,1.5247863399999915,4.1086368199999015,0.0,5.602184949000048,5.609572937999928,1e-07,v7_btab_boxeig
1225,expanded_box,topk,128,,128,0,"[6, 6]","[13, 13]",169,topk,128,,128,80000,169,cheap,30,0.01,,cupy,2.0383072703991726e-15,8.520528596420283e-16,160,98,98,,98,32,169,1056,87040,2653438.3549730717,26534383.549730714,0.001,boxeig,20000,group_b,50,diag,0.001,50,auto,boxeig,1710,1711,7.775861157538006e-08,0,,2,synthetic_true_func_2d_n300000000,False,NVIDIA A100-SXM4-40GB,cheap,32,0,32,32,0,0,2,1225,2.0383072703991726e-15,8.520528596420283e-16,1e-05,boxeig,299999999.9993526,True,nan,0,0,,nan,0,0,0,0,False,1710.0,SE,0.1,1.5,1.0,10000,20000,btab_boxeig_topk_128_q32,35,1711,1710,75000000,300000000,cufinufft,binned_c1,50,1710,7.775861157538006e-08,pcg,converged,1710,True,0.1,0,1859557.598424082,0.00044982126775183756,0.020005334205224466,0,0.1,boxeig,ok,0.0006187361876059273,1.0586576169937416,0.00040686693275123967,0.6957424550046198,69660856.40216123,1056,26534383.549730714,0.0004224890001296444,4.4745464330780876e-05,0.0765147440056353,3.904384385903711e-05,0.06676497299895345,0.00022569552806879457,0.3859393529976387,0.0737782129997413,0.0,0.0,0.0009821859998737636,0.0,5.566008187317004e-05,0.09517874000312077,0.07279602699986754,0.0156635030000416,1.4934096079998653,0.07453788299994812,1.5224267399999007,2.870316394000156,0.0,4.363726002000021,4.379389505000063,1e-07,v7_btab_boxeig
1225,expanded_box,topk,128,,128,0,"[6, 6]","[13, 13]",169,topk,128,,128,80000,169,cheap,30,0.01,,cupy,1.0758844879227288e-14,1.1574822750883228e-15,320,162,162,,162,64,169,1056,174080,415900.57019992796,4159005.701999279,0.001,boxeig,20000,group_b,50,diag,0.001,50,auto,boxeig,1137,1138,9.361428668613648e-08,0,,2,synthetic_true_func_2d_n300000000,False,NVIDIA A100-SXM4-40GB,cheap,64,0,64,64,0,0,2,1225,1.0758844879227288e-14,1.1574822750883228e-15,1e-05,boxeig,299999999.9993526,True,nan,0,0,,nan,0,0,0,0,False,1137.0,SE,0.1,1.5,1.0,10000,20000,btab_boxeig_topk_128_q64,35,1138,1137,75000000,300000000,cufinufft,binned_c1,50,1137,9.361428668613648e-08,pcg,converged,1137,True,0.1,0,1859557.598424082,0.00045283271041108474,0.020005400800048454,0,0.1,boxeig,ok,0.0006281318339160494,0.7148140269964642,0.00041263563060611324,0.4691667119991507,69660856.40216123,1056,4159005.701999279,0.00046164000013959594,4.503217765845207e-05,0.051201585997660004,3.930159366652622e-05,0.04468591199884031,0.0002299431697460536,0.26144538400126294,0.12321864700015794,0.0,0.0,0.0009827710000536172,0.0,5.639184520528181e-05,0.06411752799840542,0.12223587600010433,0.025872069999877567,1.4932791960000031,0.1241130369999155,1.5224780539999756,2.0093018620000294,0.0,3.5025810580000325,3.52845312799991,1e-07,v7_btab_boxeig
