dataset_stem,eps,method,precompute_mode,selector_tag,btab_active_size_raw,btab_box_size,tail_size,rho_max_T,tail_energy,cg_iters,outer_iters,time_precond_build,time_solve,time_total,time_post_diagnostics,time_total_with_diagnostics,rmse_train,rmse_test
synthetic_true_func_2d_n100000000,1e-05,btab_auto_topk_1024,c1,topk_1024,1024.0,1225.0,0.0,0.0,0.0,3,3.0,0.0430280269999912,0.0501511449999725,0.5578504780000912,3.348699988237058e-05,0.5578839649999736,0.0200068570525047,0.0004295666099211
synthetic_true_func_2d_n100000000,1e-05,btab_auto_topk_128,c1,topk_128,128.0,169.0,1056.0,619852.5245380028,23220285.04443669,971,971.0,0.0031251190000602,1.5832578980000562,2.0908583099999305,0.0001304279999203,2.090988737999851,0.0200068418547461,0.0004288545763395
synthetic_true_func_2d_n100000000,1e-05,btab_auto_topk_256,c1,topk_256,256.0,361.0,864.0,13996.56075134058,456665.2918695312,151,151.0,0.0057840040001337,0.2563228790002085,0.7638083760000427,0.0001053169999067,0.7639136929999495,0.020006851828447,0.000429318385382
synthetic_true_func_2d_n100000000,1e-05,btab_auto_topk_512,c1,topk_512,512.0,625.0,600.0,82.93137509464714,2483.7651711344733,52,52.0,0.0119640020000133,0.1011819519999335,0.6088360659998671,0.0001070229998276,0.6089430889996947,0.0200068579570121,0.0004296086819029
synthetic_true_func_2d_n100000000,1e-05,btab_auto_topk_64,c1,topk_64,64.0,81.0,1144.0,3689795.321874344,155139358.11874735,1063,1063.0,0.0025707699999202,1.7206990280001264,2.2282177409999804,0.0001287239999783,2.2283464649999587,0.0200068253656349,0.0004280395386561
synthetic_true_func_2d_n300000000,1e-05,btab_auto_topk_1024,c1,topk_1024,1024.0,1225.0,0.0,0.0,0.0,3,3.0,0.0528379900001709,0.059970026999963,1.5526196450000498,5.004800004826393e-05,1.552669693000098,0.0200055287701317,0.0004584732854462
synthetic_true_func_2d_n300000000,1e-05,btab_auto_topk_128,c1,topk_128,128.0,169.0,1056.0,1859557.598424082,69660856.40216123,721,721.0,0.0033055420001346,1.166076713999928,2.659025203000056,0.0001645760000883,2.659189779000144,0.0200053545097782,0.0004508144404114
synthetic_true_func_2d_n300000000,1e-05,btab_auto_topk_256,c1,topk_256,256.0,361.0,864.0,41989.683618032905,1369995.926261714,228,228.0,0.0057383590001336,0.3869015360000958,1.880276788999936,0.0001410959998793,1.8804178849998152,0.0200055079973855,0.0004575685114684
synthetic_true_func_2d_n300000000,1e-05,btab_auto_topk_512,c1,topk_512,512.0,625.0,600.0,248.79413980932117,7451.295978545703,79,79.0,0.0291023799998129,0.1627411740000752,1.6565986479999992,0.0001524809999864,1.6567511289999857,0.0200055287872913,0.0004584752204154
synthetic_true_func_2d_n300000000,1e-05,btab_auto_topk_64,c1,topk_64,64.0,81.0,1144.0,11069386.013594236,465418078.63455087,1152,1152.0,1.0824118870000348,3.0043156860001545,4.497358388000066,0.0001719819999834,4.4975303700000495,0.0200054577867723,0.0004553473743635
