dataset_stem,n_train,kernel,kernel_family,kernel_label,kernel_nu,kernel_lengthscale,eps,reg_lambda,method,method_family,M,mtot,topk,q,btab_active_topk,btab_box_size,btab_eig_q,cg_iters,time_solve,time_total,rmse_test,rmse_train,Speedup,status,table1_source
synthetic_true_func_2d_n300000000,300000000,SE,SE,SE,1.5,0.1,1e-05,0.1,plain_cg,EFGP-CG,1225,35,,,,,,1747,3.574017595999976,8.406201489000068,4.359904894521125e-05,0.0200003353263171,1.0,ok,btab_group_b_se_20260628_160721
synthetic_true_func_2d_n300000000,300000000,SE,SE,SE,1.5,0.1,1e-05,0.1,eigenpro_pcg_q90,EigenPro-PCG,1225,35,,90.0,,,,568,0.8081217379999543,6.620432078000022,0.000457434621227,0.0200055034423872,1.2697360821711674,ok,btab_group_b_se_20260628_160721
synthetic_true_func_2d_n300000000,300000000,SE,SE,SE,1.5,0.1,1e-05,0.1,eigenpro_pcg_q180,EigenPro-PCG,1225,35,,180.0,,,,57,0.0814530050001849,2.146986570000081,0.0004518422321123,0.02000538307852,3.9153488924710653,ok,btab_group_b_se_20260628_160721
synthetic_true_func_2d_n300000000,300000000,SE,SE,SE,1.5,0.1,1e-05,0.1,btab_auto_topk_64,Active inverse,1225,35,64.0,,64.0,81.0,,1152,3.0043156860001545,4.497358388000066,0.0004553473743635,0.0200054577867723,1.86914200821301,ok,btab_group_b_se_20260628_160721
synthetic_true_func_2d_n300000000,300000000,SE,SE,SE,1.5,0.1,1e-05,0.1,btab_auto_topk_128,Active inverse,1225,35,128.0,,128.0,169.0,,721,1.166076713999928,2.659025203000056,0.0004508144404114,0.0200053545097782,3.1613846606326774,ok,btab_group_b_se_20260628_160721
synthetic_true_func_2d_n300000000,300000000,SE,SE,SE,1.5,0.1,1e-05,0.1,btab_auto_topk_256,Active inverse,1225,35,256.0,,256.0,361.0,,228,0.3869015360000958,1.880276788999936,0.0004575685114684,0.0200055079973855,4.470725553906922,ok,btab_group_b_se_20260628_160721
synthetic_true_func_2d_n300000000,300000000,SE,SE,SE,1.5,0.1,1e-05,0.1,btab_auto_topk_512,Active inverse,1225,35,512.0,,512.0,625.0,,79,0.1627411740000752,1.6565986479999992,0.0004584752204154,0.0200055287872913,5.074374230082115,ok,btab_group_b_se_20260628_160721
synthetic_true_func_2d_n300000000,300000000,SE,SE,SE,1.5,0.1,1e-05,0.1,btab_auto_topk_1024,Active inverse,1225,35,1024.0,,1024.0,1225.0,,3,0.059970026999963,1.5526196450000498,0.0004584732854462,0.0200055287701317,5.414205285931313,ok,btab_group_b_se_20260628_160721
synthetic_true_func_2d_n300000000,300000000,SE,SE,SE,1.5,0.1,1e-05,0.1,btab_boxeig_topk_64_q16,Box-EigenPro,1225,35,64.0,16.0,64.0,81.0,16.0,1650,4.12459454299983,5.617846960999941,0.0004405071525441,0.0200051251776669,1.496338641361604,ok,btab_group_b_se_20260628_160721
synthetic_true_func_2d_n300000000,300000000,SE,SE,SE,1.5,0.1,1e-05,0.1,btab_boxeig_topk_64_q32,Box-EigenPro,1225,35,64.0,32.0,64.0,81.0,32.0,1346,2.2674235780000345,3.760659981000117,0.0004443501176856,0.020005210722476,2.235299530260778,ok,btab_group_b_se_20260628_160721
synthetic_true_func_2d_n300000000,300000000,SE,SE,SE,1.5,0.1,1e-05,0.1,btab_boxeig_topk_128_q16,Box-EigenPro,1225,35,128.0,16.0,128.0,169.0,16.0,2447,4.1086368199999015,5.602184949000048,0.0004494648964325,0.0200053256311488,1.5005219509042662,ok,btab_group_b_se_20260628_160721
synthetic_true_func_2d_n300000000,300000000,SE,SE,SE,1.5,0.1,1e-05,0.1,btab_boxeig_topk_128_q32,Box-EigenPro,1225,35,128.0,32.0,128.0,169.0,32.0,1710,2.870316394000156,4.363726002000021,0.0004498212677518,0.0200053342052244,1.9263816025908282,ok,btab_group_b_se_20260628_160721
