dataset_stem,n_train,eps,selector_tag,route,method,precompute_mode,top_q,btab_eig_q,btab_active_size_raw,btab_box_size,tail_size,rho_max_T,tail_energy,btab_eig_theta_q1_over_sigma2,btab_eig_eig_residual_max,cg_iters,outer_iters,time_precond_build,time_solve,time_total,time_post_diagnostics,time_total_with_diagnostics,rmse_test
synthetic_true_func_2d_n100000000,100000000,1e-05,eigenpro_pcg,eigenpro_baseline,eigenpro_pcg_q90,c1,90.0,,,,,,,,,337,,0.0002840040001501,0.4767472749999797,1.283276442999977,,,0.0004317546579219
synthetic_true_func_2d_n100000000,100000000,1e-05,eigenpro_pcg,eigenpro_baseline,eigenpro_pcg_q180,c1,180.0,,,,,,,,,45,,0.000313725000069,0.0637192359999971,1.1390582889998768,,,0.0004245030313217
synthetic_true_func_2d_n100000000,100000000,1e-05,plain_cg,cg_baseline,plain_cg,original/default,,,,,,,,,,1753,,,1.8951007340001524,3.076916839999967,,,5.350872236798508e-05
synthetic_true_func_2d_n100000000,100000000,1e-05,topk_1024,inverse,btab_auto_topk_1024,c1,,,1024.0,1225.0,0.0,0.0,0.0,,,3,3.0,0.0430280269999912,0.0501511449999725,0.5578504780000912,3.348699988237058e-05,0.5578839649999736,0.0004295666099211
synthetic_true_func_2d_n100000000,100000000,1e-05,topk_128,boxeig,btab_boxeig_topk_128_q16,c1,,16.0,128.0,169.0,1056.0,619852.5245380028,23220285.04443669,22659269.507588584,8.913511547424387e-16,1860,1860.0,0.0505017979999138,3.100687082999912,3.60855136500004,0.0071210779999546,3.615672442999994,0.0004232082523667
synthetic_true_func_2d_n100000000,100000000,1e-05,topk_128,boxeig,btab_boxeig_topk_128_q32,c1,,32.0,128.0,169.0,1056.0,619852.5245380028,23220285.04443669,8845213.880312614,2.126699471985518e-15,1320,1320.0,0.077829771000097,2.247108159999925,2.754804355999795,0.0132166389998928,2.768020994999688,0.0004239040632026
synthetic_true_func_2d_n100000000,100000000,1e-05,topk_128,boxeig,btab_boxeig_topk_128_q64,c1,,64.0,128.0,169.0,1056.0,619852.5245380028,23220285.04443669,1386299.8132472958,1.1176266652318471e-14,869,869.0,0.1274502910000592,1.565667514000097,2.0732313339999564,0.0255573389999881,2.0987886729999445,0.000425867183645
synthetic_true_func_2d_n100000000,100000000,1e-05,topk_128,inverse,btab_auto_topk_128,c1,,,128.0,169.0,1056.0,619852.5245380028,23220285.04443669,,,971,971.0,0.0031251190000602,1.5832578980000562,2.0908583099999305,0.0001304279999203,2.090988737999851,0.0004288545763395
synthetic_true_func_2d_n100000000,100000000,1e-05,topk_256,boxeig,btab_boxeig_topk_256_q32,c1,,32.0,256.0,361.0,864.0,13996.56075134058,456665.2918695312,8854724.43795931,2.771118163132157e-15,2480,2480.0,0.0755670270000337,4.197540453999864,4.705741036000063,0.0135489470001175,4.719289983000181,0.0004233765459305
synthetic_true_func_2d_n100000000,100000000,1e-05,topk_256,boxeig,btab_boxeig_topk_256_q64,c1,,64.0,256.0,361.0,864.0,13996.56075134058,456665.2918695312,1503957.0832556195,6.359277353165627e-15,1192,1192.0,0.1236695499999314,2.1025393380000423,2.610506022999971,0.0260216890001174,2.6365277120000883,0.0004240251636519
synthetic_true_func_2d_n100000000,100000000,1e-05,topk_256,boxeig,btab_boxeig_topk_256_q128,c1,,128.0,256.0,361.0,864.0,13996.560751340585,456665.29186953127,70684.08147912048,1.258757041092967e-13,454,454.0,0.2318289009999716,0.9988551379999536,1.5065662449999309,0.04981481599998,1.556381060999911,0.0004288367823202
synthetic_true_func_2d_n100000000,100000000,1e-05,topk_256,inverse,btab_auto_topk_256,c1,,,256.0,361.0,864.0,13996.56075134058,456665.2918695312,,,151,151.0,0.0057840040001337,0.2563228790002085,0.7638083760000427,0.0001053169999067,0.7639136929999495,0.000429318385382
synthetic_true_func_2d_n100000000,100000000,1e-05,topk_512,boxeig,btab_boxeig_topk_512_q64,c1,,64.0,512.0,625.0,600.0,82.93137509464714,2483.7651711344733,1504244.58735188,7.591305248789754e-15,1071,1071.0,0.1327545030001147,1.918557852000049,2.4267266169999857,0.0255551239999931,2.452281740999979,0.0004256025777693
synthetic_true_func_2d_n100000000,100000000,1e-05,topk_512,boxeig,btab_boxeig_topk_512_q128,c1,,128.0,512.0,625.0,600.0,82.93137509464714,2483.7651711344733,70882.39214745747,1.7861961595104124e-13,383,383.0,0.231340173000035,0.8813003949999256,1.388674691999995,0.0528829499999119,1.441557641999907,0.0004296791908949
synthetic_true_func_2d_n100000000,100000000,1e-05,topk_512,boxeig,btab_boxeig_topk_512_q256,c1,,256.0,512.0,625.0,600.0,82.93137509464714,2483.7651711344733,185.73398734319937,2.067195326585366e-11,60,60.0,0.4528715760000068,0.5717991819999497,1.0791796169999088,0.0979243260001112,1.17710394300002,0.0004299417564903
synthetic_true_func_2d_n100000000,100000000,1e-05,topk_512,inverse,btab_auto_topk_512,c1,,,512.0,625.0,600.0,82.93137509464714,2483.7651711344733,,,52,52.0,0.0119640020000133,0.1011819519999335,0.6088360659998671,0.0001070229998276,0.6089430889996947,0.0004296086819029
synthetic_true_func_2d_n100000000,100000000,1e-05,topk_64,boxeig,btab_boxeig_topk_64_q16,c1,,16.0,64.0,81.0,1144.0,3689795.321874343,155139358.11874732,22487871.38886752,1.3004649044167318e-15,2416,2416.0,0.0509351230000447,3.975259191000077,4.48349700499989,0.0072469489998638,4.490743953999754,0.0004153363713927
synthetic_true_func_2d_n100000000,100000000,1e-05,topk_64,boxeig,btab_boxeig_topk_64_q32,c1,,32.0,64.0,81.0,1144.0,3689795.321874343,155139358.11874732,6572528.48653944,2.528740307639337e-15,1260,1260.0,0.0637496599999849,2.147367223999936,2.6554937240000527,0.0133867800000189,2.668880504000072,0.0004198925685841
synthetic_true_func_2d_n100000000,100000000,1e-05,topk_64,inverse,btab_auto_topk_64,c1,,,64.0,81.0,1144.0,3689795.321874344,155139358.11874735,,,1063,1063.0,0.0025707699999202,1.7206990280001264,2.2282177409999804,0.0001287239999783,2.2283464649999587,0.0004280395386561
synthetic_true_func_2d_n300000000,300000000,1e-05,eigenpro_pcg,eigenpro_baseline,eigenpro_pcg_q90,c1,90.0,,,,,,,,,568,,0.4433524189998934,0.8081217379999543,6.620432078000022,,,0.000457434621227
synthetic_true_func_2d_n300000000,300000000,1e-05,eigenpro_pcg,eigenpro_baseline,eigenpro_pcg_q180,c1,180.0,,,,,,,,,57,,0.0003258679998907,0.0814530050001849,2.146986570000081,,,0.0004518422321123
synthetic_true_func_2d_n300000000,300000000,1e-05,plain_cg,cg_baseline,plain_cg,original/default,,,,,,,,,,1747,,,3.574017595999976,8.406201489000068,,,4.359904894521125e-05
synthetic_true_func_2d_n300000000,300000000,1e-05,topk_1024,inverse,btab_auto_topk_1024,c1,,,1024.0,1225.0,0.0,0.0,0.0,,,3,3.0,0.0528379900001709,0.059970026999963,1.5526196450000498,5.004800004826393e-05,1.552669693000098,0.0004584732854462
synthetic_true_func_2d_n300000000,300000000,1e-05,topk_128,boxeig,btab_boxeig_topk_128_q16,c1,,16.0,128.0,169.0,1056.0,1859557.598424082,69660856.40216123,67972644.9088671,1.2031837686902454e-15,2447,2447.0,0.1060621080000601,4.1086368199999015,5.602184949000048,0.0073879889998806,5.609572937999928,0.0004494648964325
synthetic_true_func_2d_n300000000,300000000,1e-05,topk_128,boxeig,btab_boxeig_topk_128_q32,c1,,32.0,128.0,169.0,1056.0,1859557.598424082,69660856.40216123,26534383.549730714,2.038307270399173e-15,1710,1710.0,0.0745378829999481,2.870316394000156,4.363726002000021,0.0156635030000416,4.379389505000063,0.0004498212677518
synthetic_true_func_2d_n300000000,300000000,1e-05,topk_128,boxeig,btab_boxeig_topk_128_q64,c1,,64.0,128.0,169.0,1056.0,1859557.598424082,69660856.40216123,4159005.701999279,1.0758844879227288e-14,1137,1137.0,0.1241130369999155,2.0093018620000294,3.5025810580000325,0.0258720699998775,3.52845312799991,0.000452832710411
synthetic_true_func_2d_n300000000,300000000,1e-05,topk_128,inverse,btab_auto_topk_128,c1,,,128.0,169.0,1056.0,1859557.598424082,69660856.40216123,,,721,721.0,0.0033055420001346,1.166076713999928,2.659025203000056,0.0001645760000883,2.659189779000144,0.0004508144404114
synthetic_true_func_2d_n300000000,300000000,1e-05,topk_256,boxeig,btab_boxeig_topk_256_q32,c1,,32.0,256.0,361.0,864.0,41989.683618032905,1369995.926261714,26562842.856307574,1.5133392270338877e-15,3213,3213.0,0.3170410959999117,5.568874437999966,7.06296483899996,0.0134802169998238,7.076445055999784,0.0004510403188279
synthetic_true_func_2d_n300000000,300000000,1e-05,topk_256,boxeig,btab_boxeig_topk_256_q64,c1,,64.0,256.0,361.0,864.0,41989.683618032905,1369995.926261714,4511966.457122626,7.442527143369022e-15,1609,1609.0,0.1247372459999951,2.793533915000125,4.286261911000111,0.0260796430000027,4.312341554000113,0.000451712781265
synthetic_true_func_2d_n300000000,300000000,1e-05,topk_256,boxeig,btab_boxeig_topk_256_q128,c1,,128.0,256.0,361.0,864.0,41989.683618032905,1369995.926261714,212076.2690629858,2.325245593997533e-13,548,548.0,0.2398043480000069,1.1672554680001213,2.66034847800006,0.0500947989999076,2.710443276999968,0.0004529220046396
synthetic_true_func_2d_n300000000,300000000,1e-05,topk_256,inverse,btab_auto_topk_256,c1,,,256.0,361.0,864.0,41989.683618032905,1369995.926261714,,,228,228.0,0.0057383590001336,0.3869015360000958,1.880276788999936,0.0001410959998793,1.8804178849998152,0.0004575685114684
synthetic_true_func_2d_n300000000,300000000,1e-05,topk_512,boxeig,btab_boxeig_topk_512_q64,c1,,64.0,512.0,625.0,600.0,248.79413980932117,7451.295978545703,4512829.059863949,5.138984749579504e-15,1552,1552.0,0.1829424920001656,2.76219006700012,4.255416977000095,0.02580877399987,4.281225750999965,0.0004557860181963
synthetic_true_func_2d_n300000000,300000000,1e-05,topk_512,boxeig,btab_boxeig_topk_512_q128,c1,,128.0,512.0,625.0,600.0,248.79413980932117,7451.295978545703,212671.23960572417,9.853798343417145e-14,440,440.0,0.2354852569999366,0.9800183140000628,2.473362085999952,0.0504547350001303,2.523816821000082,0.0004560920823283
synthetic_true_func_2d_n300000000,300000000,1e-05,topk_512,boxeig,btab_boxeig_topk_512_q256,c1,,256.0,512.0,625.0,600.0,248.79413980932117,7451.295978545703,555.1917970234758,4.262538501830595e-11,90,90.0,1.307080729000063,1.482173039999907,2.9759841489999417,0.1040591390001282,3.08004328800007,0.0004593504932768
synthetic_true_func_2d_n300000000,300000000,1e-05,topk_512,inverse,btab_auto_topk_512,c1,,,512.0,625.0,600.0,248.79413980932117,7451.295978545703,,,79,79.0,0.0291023799998129,0.1627411740000752,1.6565986479999992,0.0001524809999864,1.6567511289999857,0.0004584752204154
synthetic_true_func_2d_n300000000,300000000,1e-05,topk_64,boxeig,btab_boxeig_topk_64_q16,c1,,16.0,64.0,81.0,1144.0,11069386.013594236,465418078.63455087,67458762.43187924,1.21257140560433e-15,1650,1650.0,1.4037944570000036,4.12459454299983,5.617846960999941,0.7191587639999852,6.337005724999926,0.0004405071525441
synthetic_true_func_2d_n300000000,300000000,1e-05,topk_64,boxeig,btab_boxeig_topk_64_q32,c1,,32.0,64.0,81.0,1144.0,11069386.013594236,465418078.63455087,19716729.752196167,1.7525426220890729e-15,1346,1346.0,0.061770782999929,2.2674235780000345,3.760659981000117,0.0160167359999832,3.7766767170001,0.0004443501176856
synthetic_true_func_2d_n300000000,300000000,1e-05,topk_64,inverse,btab_auto_topk_64,c1,,,64.0,81.0,1144.0,11069386.013594236,465418078.63455087,,,1152,1152.0,1.0824118870000348,3.0043156860001545,4.497358388000066,0.0001719819999834,4.4975303700000495,0.0004553473743635
