run_id,timestamp,mode,N,eps,top_q,reg_lambda,cg_tol,wall_s_total,rmse_test,peak_mem_gb,status,error,cg_iters,cg_relres,n_matvec,t_matvec_total,n_precond,t_precond_total,time_precompute,time_eigenspace,time_precond_build,time_solve,time_predict,nufft_stage,device_name,repeat_idx,repeat_count
20260422_001236_gpu_v1_topq0_q0_N100000_20260421,2026-04-22T00:12:54.497606,gpu_v1_topq0,100000,1e-05,0,0.1,1e-06,1.3094397999957437,0.0025967615943157337,0.8653320306912065,ok,,400,8.977930257993077e-07,401,0.8113876999559579,0,,0.06252069999754895,0.0,0.0,1.2314623999991454,0.012531200001831166,cpu_finufft,NVIDIA GeForce RTX 3050 Laptop GPU,0,20
20260422_001236_gpu_v1_topq0_q0_N100000_20260422,2026-04-22T00:12:55.972447,gpu_v1_topq0,100000,1e-05,0,0.1,1e-06,1.3263634000031743,0.0027004227640181895,0.8653320306912065,ok,,396,8.590593217070575e-07,397,0.8120046000985894,0,,0.06027129999711178,0.0,0.0,1.2524523999891244,0.011911499997950159,cpu_finufft,NVIDIA GeForce RTX 3050 Laptop GPU,1,20
20260422_001236_gpu_v1_topq0_q0_N100000_20260423,2026-04-22T00:12:57.456008,gpu_v1_topq0,100000,1e-05,0,0.1,1e-06,1.3387771999987308,0.0025183877445424056,0.8653320306912065,ok,,404,9.713577920908698e-07,405,0.8286872999742627,0,,0.062107399993692525,0.0,0.0,1.2623268999886932,0.012647300012758933,cpu_finufft,NVIDIA GeForce RTX 3050 Laptop GPU,2,20
20260422_001236_gpu_v1_topq0_q0_N100000_20260424,2026-04-22T00:12:59.013536,gpu_v1_topq0,100000,1e-05,0,0.1,1e-06,1.4024672999948962,0.0026130981123513642,0.8653320306912065,ok,,400,8.463784594682805e-07,401,0.8469731999357464,0,,0.0552429000090342,0.0,0.0,1.3180400999990525,0.025851400001556613,cpu_finufft,NVIDIA GeForce RTX 3050 Laptop GPU,3,20
20260422_001236_gpu_v1_topq0_q0_N100000_20260425,2026-04-22T00:13:00.454667,gpu_v1_topq0,100000,1e-05,0,0.1,1e-06,1.2962025000015274,0.002589462524329449,0.8653320306912065,ok,,396,7.98748746426787e-07,397,0.7794682997046039,0,,0.06267590000061318,0.0,0.0,1.220040699990932,0.011774300000979565,cpu_finufft,NVIDIA GeForce RTX 3050 Laptop GPU,4,20
20260422_001236_gpu_v1_topq0_q0_N100000_20260426,2026-04-22T00:13:01.908825,gpu_v1_topq0,100000,1e-05,0,0.1,1e-06,1.3173653999983799,0.002508255988617898,0.8653320306912065,ok,,397,8.82506257912369e-07,398,0.8218160998803796,0,,0.05885060000582598,0.0,0.0,1.2472619000036502,0.009524099994450808,cpu_finufft,NVIDIA GeForce RTX 3050 Laptop GPU,5,20
20260422_001236_gpu_v1_topq0_q0_N100000_20260427,2026-04-22T00:13:03.507742,gpu_v1_topq0,100000,1e-05,0,0.1,1e-06,1.4406907000084175,0.0025442586096155956,0.8653320306912065,ok,,398,8.737333865091666e-07,399,0.8798558997077635,0,,0.0537350999948103,0.0,0.0,1.3704273000039393,0.01434779999544844,cpu_finufft,NVIDIA GeForce RTX 3050 Laptop GPU,6,20
20260422_001236_gpu_v1_topq0_q0_N100000_20260428,2026-04-22T00:13:05.049943,gpu_v1_topq0,100000,1e-05,0,0.1,1e-06,1.3828014000027906,0.002539150664567887,0.8653320306912065,ok,,394,8.852330543653621e-07,395,0.85087010001007,0,,0.05890459999500308,0.0,0.0,1.3092163000110304,0.012360099994111806,cpu_finufft,NVIDIA GeForce RTX 3050 Laptop GPU,7,20
20260422_001236_gpu_v1_topq0_q0_N100000_20260429,2026-04-22T00:13:06.573487,gpu_v1_topq0,100000,1e-05,0,0.1,1e-06,1.3833439000009093,0.0025839778165290834,0.8653320306912065,ok,,399,9.86867631989577e-07,400,0.8450837999553187,0,,0.06169930000032764,0.0,0.0,1.307034700002987,0.012962399996467866,cpu_finufft,NVIDIA GeForce RTX 3050 Laptop GPU,8,20
20260422_001236_gpu_v1_topq0_q0_N100000_20260430,2026-04-22T00:13:08.118755,gpu_v1_topq0,100000,1e-05,0,0.1,1e-06,1.3979369000007864,0.002398104536539824,0.8653320306912065,ok,,409,7.662582894184634e-07,410,0.8578503997268854,0,,0.055601000000024214,0.0,0.0,1.326711499990779,0.01319740001054015,cpu_finufft,NVIDIA GeForce RTX 3050 Laptop GPU,9,20
