run_id,timestamp,mode,N,eps,top_q,reg_lambda,cg_tol,wall_s_total,rmse_test,peak_mem_gb,status,error,cg_iters,cg_relres,n_matvec,t_matvec_total,n_precond,t_precond_total,time_precompute,time_eigenspace,time_precond_build,time_solve,time_predict,nufft_stage,device_name,surrogate_tag,repeat_idx,repeat_count
20260423_141745_gpu_v1_topq0_q0_N100000_20260421,2026-04-23T14:17:57.479422,gpu_v1_topq0,100000,1e-05,0,0.1,1e-06,0.9243622000212781,0.002596622590348409,0.8907226556912065,ok,,408,8.477915236795973e-07,409,0.5965529996319674,0,,0.019943599996622652,0.0,0.0,0.8980328000034206,0.004900600004475564,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,,0,20
20260423_141745_gpu_v1_topq0_q0_N100000_20260422,2026-04-23T14:17:58.684365,gpu_v1_topq0,100000,1e-05,0,0.1,1e-06,0.9013649999978952,0.002700407001762308,0.8907226556912065,ok,,397,9.41371513439021e-07,398,0.5792997993121389,0,,0.019603799999458715,0.0,0.0,0.8759004999883473,0.004780799994478002,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,,1,20
20260423_141745_gpu_v1_topq0_q0_N100000_20260423,2026-04-23T14:17:59.914540,gpu_v1_topq0,100000,1e-05,0,0.1,1e-06,0.9512296999746468,0.0025183673575816705,0.8907226556912065,ok,,409,9.90684648951791e-07,410,0.6045413001265842,0,,0.018860400014091283,0.0,0.0,0.9264413999917451,0.004876999999396503,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,,2,20
20260423_141745_gpu_v1_topq0_q0_N100000_20260424,2026-04-23T14:18:01.137195,gpu_v1_topq0,100000,1e-05,0,0.1,1e-06,0.9402936999977101,0.0026130994959040125,0.8907226556912065,ok,,403,9.152751002333161e-07,404,0.5974079999141395,0,,0.020267700019758195,0.0,0.0,0.9140542999957688,0.004948400019202381,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,,3,20
20260423_141745_gpu_v1_topq0_q0_N100000_20260425,2026-04-23T14:18:02.378026,gpu_v1_topq0,100000,1e-05,0,0.1,1e-06,0.9656152999959886,0.00258904822314547,0.8907226556912065,ok,,414,8.614757908966592e-07,415,0.6115818000689615,0,,0.01881779998075217,0.0,0.0,0.9402920999855269,0.005288000014843419,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,,4,20
20260423_141745_gpu_v1_topq0_q0_N100000_20260426,2026-04-23T14:18:03.628696,gpu_v1_topq0,100000,1e-05,0,0.1,1e-06,0.9526810999959707,0.0025086422799307007,0.8907226556912065,ok,,402,9.988223920439582e-07,403,0.6023178003670182,0,,0.020435300015378743,0.0,0.0,0.9260794000001624,0.005125099996803328,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,,5,20
20260423_141745_gpu_v1_topq0_q0_N100000_20260427,2026-04-23T14:18:04.870582,gpu_v1_topq0,100000,1e-05,0,0.1,1e-06,0.9615950000006706,0.002544265886438678,0.8907226556912065,ok,,400,9.062695872956804e-07,401,0.6078486000769772,0,,0.020236300013493747,0.0,0.0,0.9343802999937907,0.005850100016687065,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,,6,20
20260423_141745_gpu_v1_topq0_q0_N100000_20260428,2026-04-23T14:18:06.084959,gpu_v1_topq0,100000,1e-05,0,0.1,1e-06,0.9062128000077792,0.0025391584342732585,0.8907226556912065,ok,,397,9.346364041993705e-07,398,0.5810810000402853,0,,0.02128169999923557,0.0,0.0,0.878722800000105,0.004737900017062202,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,,7,20
20260423_141745_gpu_v1_topq0_q0_N100000_20260429,2026-04-23T14:18:07.307965,gpu_v1_topq0,100000,1e-05,0,0.1,1e-06,0.9487978999968618,0.002583979808147485,0.8907226556912065,ok,,402,8.361784833860936e-07,403,0.6040375000447966,0,,0.01904149999609217,0.0,0.0,0.9233311999996658,0.004888399998890236,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,,8,20
20260423_141745_gpu_v1_topq0_q0_N100000_20260430,2026-04-23T14:18:08.560707,gpu_v1_topq0,100000,1e-05,0,0.1,1e-06,0.9706818000122439,0.0023980860792211637,0.8907226556912065,ok,,413,8.219932269138446e-07,414,0.6164691994781606,0,,0.020343400014098734,0.0,0.0,0.9434344000183046,0.005249399982858449,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,,9,20
20260423_141745_gpu_v1_topq0_q0_N100000_20260431,2026-04-23T14:18:09.799176,gpu_v1_topq0,100000,1e-05,0,0.1,1e-06,0.956902000005357,0.0025869028249860763,0.8907226556912065,ok,,406,8.757657732123672e-07,407,0.6127874000521842,0,,0.020122499990975484,0.0,0.0,0.9308479999890551,0.0048497999960090965,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,,10,20
20260423_141745_gpu_v1_topq0_q0_N100000_20260432,2026-04-23T14:18:11.013299,gpu_v1_topq0,100000,1e-05,0,0.1,1e-06,0.9395177999977022,0.0026465918533599667,0.8907226556912065,ok,,403,8.757715880887485e-07,404,0.6010043998248875,0,,0.020974700018996373,0.0,0.0,0.9122141000116244,0.005118400003993884,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,,11,20
20260423_141745_gpu_v1_topq0_q0_N100000_20260433,2026-04-23T14:18:12.263766,gpu_v1_topq0,100000,1e-05,0,0.1,1e-06,0.9681959000008646,0.0026558828389106493,0.8907226556912065,ok,,412,9.79749104900979e-07,413,0.6167330995958764,0,,0.019787399971392006,0.0,0.0,0.9421893999970052,0.004808300000149757,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,,12,20
