mode,top_q,N,eps,wall_s_total_median,wall_s_total_mean,wall_s_total_std,wall_s_total_p10,wall_s_total_p90,time_precompute_median,time_precompute_mean,time_precompute_std,time_precompute_p10,time_precompute_p90,time_eigenspace_median,time_eigenspace_mean,time_eigenspace_std,time_eigenspace_p10,time_eigenspace_p90,time_precond_build_median,time_precond_build_mean,time_precond_build_std,time_precond_build_p10,time_precond_build_p90,time_solve_median,time_solve_mean,time_solve_std,time_solve_p10,time_solve_p90,time_predict_median,time_predict_mean,time_predict_std,time_predict_p10,time_predict_p90,cg_iters_median,cg_iters_mean,cg_iters_std,cg_iters_p10,cg_iters_p90,t_matvec_total_median,t_matvec_total_mean,t_matvec_total_std,t_matvec_total_p10,t_matvec_total_p90,t_precond_total_median,t_precond_total_mean,t_precond_total_std,t_precond_total_p10,t_precond_total_p90,rmse_test_median,rmse_test_mean,rmse_test_std,rmse_test_p10,rmse_test_p90,peak_mem_gb_median,peak_mem_gb_mean,peak_mem_gb_std,peak_mem_gb_p10,peak_mem_gb_p90,repeat_count,fail_count,logN,logT,local_alpha
gpu_v1_topq0,0,100000,1e-05,0.9500137999857543,0.94751385999989,0.021650208915238396,0.9225472600199283,0.9698468699934892,0.0200046500103781,0.019827885001723188,0.0007924084768048008,0.01885614001075737,0.02048924001574051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9247052999999141,0.921441549998417,0.021838619604653983,0.896101800003089,0.9436805900157197,0.004934050011797808,0.005034750002960209,0.0002641373288900082,0.004782150004757568,0.00528521001979243,403.0,404.95,4.882568349159131,399.7,412.1,0.605381149740424,0.6040811798680806,0.010531643739225877,0.5941750999219948,0.6164955894899322,,,,,,0.002583901205656893,0.002573057303237214,7.538269082539288e-05,0.002487911287478254,0.0026660881601802094,0.8907226556912065,0.8907226556912065,0.0,0.8907226556912065,0.8907226556912065,20,0,11.512925464970229,-0.051278768192262215,
gpu_v1_topq0,0,300000,1e-05,1.375810849989648,1.3753627899990533,0.041488151976314204,1.3307091999944531,1.4203247300116346,0.036220249996404164,0.03640916000294965,0.0009869621381383572,0.03544667001697235,0.03794559999660123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3303192999883322,1.328690414997982,0.041252053720577345,1.2842328800208633,1.3731644499814137,0.008535249988199212,0.008548594999592752,0.0002943433100661524,0.008176409991574474,0.00885022000002209,582.0,582.4,10.312996399535972,569.6,594.1,0.8825948000012431,0.8819250200860551,0.021585776052170127,0.8597163402853767,0.9102642001031199,,,,,,0.001806683947289823,0.0018101880898753412,4.604416952224427e-05,0.0017593312777078429,0.0018738555139510735,0.9161132806912065,0.9161132806912065,0.0,0.9161132806912065,0.9161132806912065,20,0,12.611537753638338,0.31904326639184166,0.3370816423627118
gpu_v3_topq,32,100000,1e-05,1.232099550019484,1.2336806200037245,0.013151513674025148,1.2179382999951485,1.250667870012694,0.01930184999946505,0.019641739998769482,0.001231435824773625,0.018632960016839208,0.021367679978720844,0.5032946499995887,0.504597280001326,0.0038557810322092843,0.5009111600142205,0.5105269000021508,0.00025734999508131295,0.0002803549970849417,7.323288887382426e-05,0.0002458899834891781,0.0003137299790978432,0.7016677500068909,0.7026293300034012,0.010966666831865975,0.6882758699852275,0.7158503899932839,0.005355900007998571,0.00536899999860907,0.0003593769466758502,0.004892510003992356,0.005940810011816211,213.0,213.05,2.28208122923837,210.9,216.1,0.321157900209073,0.32088287008955374,0.003253154926823247,0.3167554097075481,0.32475092994282023,0.15872110007330775,0.15902399499173042,0.0030453977695405004,0.15580753993126564,0.16171540002396798,0.0025839388504785145,0.002573168279896232,7.535560758178909e-05,0.002487855104750929,0.0026659706618844775,1.1309570306912065,1.1309570306912065,0.0,1.1309570306912065,1.1309570306912065,20,0,11.512925464970229,0.20871966543413756,
gpu_v3_topq,32,300000,1e-05,1.5676671000110218,1.5673092800032464,0.024404023417451057,1.5392527999880259,1.59118838000868,0.036105399994994514,0.036035430000629275,0.0004939819605737696,0.035463960011838935,0.03664970001555048,0.5090115999919362,0.5087811000004876,0.0042173109753812265,0.5039632499974687,0.5155040499928873,0.00025209999876096845,0.00025729000044520943,1.6806475752739387e-05,0.0002449400053592399,0.00028262998966965824,1.0115481999964686,1.0122105449961964,0.02378441788769761,0.9841199299989967,1.0360356199904346,0.008414399999310263,0.008484825001505669,0.00036534705794828026,0.008118059989647009,0.009087510008248501,307.0,305.5,4.650976128445339,299.7,310.1,0.4614868501521414,0.4605558749681222,0.008619985620589039,0.4502222300245194,0.46936166025989223,0.22941504999471363,0.2292361000261735,0.0046090914416684866,0.2244719401176553,0.23497636998945381,0.001806810442792955,0.0018102577893539297,4.6140822964554856e-05,0.0017588811674397267,0.0018738079224522454,1.1563476556912065,1.1563476556912065,0.0,1.1563476556912065,1.1563476556912065,20,0,12.611537753638338,0.4495885907211006,0.2192483442716428
gpu_v3_topq,64,100000,1e-05,1.472191799999564,1.4742018249977265,0.01351223249912467,1.459888390006381,1.494090319989482,0.019349599999259226,0.019667820000904612,0.0009027846369389019,0.018703749997075646,0.02103429999551736,0.9528112999978475,0.9543699949994334,0.007773779263206388,0.9466102500009583,0.9598775300197303,0.00026134998188354075,0.0002731749962549657,3.287896110101338e-05,0.0002501100127119571,0.0003081200120504946,0.49206915001559537,0.4935135900013847,0.01151597920329779,0.48129465999081733,0.5074441000149819,0.0049969500105362386,0.005164730000251439,0.0004057248755274567,0.004899370003840886,0.005570019988226705,139.0,138.55,1.5381123085406405,136.0,140.0,0.21067334988038056,0.21120320998015812,0.00418744590621738,0.20580309984798079,0.21652527978876607,0.1302605999953812,0.13002744003460975,0.0022251124206804774,0.12726414997014218,0.13260876024141907,0.0025841197357453563,0.0025732425041232743,7.517960777052518e-05,0.0024883539622326777,0.0026660274148544954,1.4629882806912065,1.4629882806912065,0.0,1.4629882806912065,1.4629882806912065,20,0,11.512925464970229,0.38675231073126576,
gpu_v3_topq,64,300000,1e-05,1.6955140499921981,1.6973368299935827,0.021756647955842937,1.6722301399859134,1.7246572299889522,0.03573600000527222,0.03611505500302883,0.00163674359313243,0.03499074000865221,0.037388330022804436,0.953238500005682,0.9534685250007897,0.004066352251022455,0.9508120699931168,0.9573368499870412,0.00025660000392235816,0.00028251499752514065,4.796039210781399e-05,0.0002489000034984201,0.0003647899953648448,0.6939967000071192,0.69685541500221,0.021844337671789064,0.6737414299946977,0.7185230100032641,0.008761750010307878,0.008969100003014319,0.0007695858969675546,0.008074589990428649,0.009619460019166583,197.0,195.95,4.310025033508935,188.0,201.0,0.29959495006187353,0.29840187502122717,0.008327475866965823,0.2857109800563194,0.30687859013560226,0.18391144984343555,0.18481426997459494,0.006117972139252001,0.178961080222507,0.18913989980355836,0.0018067935437991243,0.001810535299044698,4.61431770594316e-05,0.0017586979304306507,0.0018744725776443864,1.4883789056912065,1.4883789056912065,0.0,1.4883789056912065,1.4883789056912065,20,0,12.611537753638338,0.5279859691857296,0.12855641604527013
gpu_v3_topq_combo,32,100000,1e-05,1.187640249991091,1.1927800449979258,0.025472152569056078,1.1711143899912713,1.2231796700099948,0.019324200009577908,0.01981529000477167,0.0015571994559656264,0.018612259996007196,0.02151990000274964,0.4296662999986438,0.43280908999586243,0.011642452468003587,0.4208119699906092,0.4516958699998213,0.00025865000498015434,0.00027113999822176994,4.127681053921855e-05,0.0002458500093780458,0.00029938000079710037,0.7316262499953154,0.734958419999748,0.02058514655368322,0.7195387799962191,0.7599983899970539,0.003817649994743988,0.003879594997852109,0.00029354223746097264,0.0036184700031299142,0.0042422600032296035,221.0,221.3,3.7570985445798706,215.9,226.0,0.3329396998306038,0.3333435350068612,0.006512089034960699,0.32627348001406065,0.34094236996606925,0.16792524998891167,0.16743203499063383,0.004304748321568372,0.1613815798104042,0.1720529501704732,0.0025840331370627348,0.0025731741217482405,7.531017471499229e-05,0.002487856359603307,0.002666009314051201,1.4629882806912065,1.4629882806912065,0.0,1.4629882806912065,1.4629882806912065,20,0,11.512925464970229,0.17196835520843817,
gpu_v3_topq_combo,32,300000,1e-05,1.5448882000055164,1.5364696450007613,0.03643260311757064,1.4856141600059345,1.574975490020006,0.03572600000188686,0.0359610050014453,0.0012053459186499443,0.034969220001949,0.03725547998328693,0.43416099999740254,0.43349299000110475,0.007152559577121512,0.42377659999765455,0.44165505000273697,0.0002595999976620078,0.00027347499708412214,4.419332826015842e-05,0.00024442000139970335,0.0003191299969330431,1.0717488499940373,1.061243559999275,0.035530603791920495,1.000641350011574,1.0992117800051346,0.0039606000209460035,0.004045680005219765,0.0003917621178907567,0.003646260002278723,0.004514840003685095,320.0,318.5,5.365582324800393,312.0,324.0,0.4810284001432592,0.47850470002304063,0.012123502753906574,0.45824596006132196,0.4906112200842472,0.24251885007834062,0.24015676009003073,0.007089303409515487,0.227996290178271,0.24677650027151685,0.0018065876097571676,0.0018102152075055277,4.635634150040958e-05,0.0017584583464247,0.0018740732787373678,1.4883789056912065,1.4883789056912065,0.0,1.4883789056912065,1.4883789056912065,20,0,12.611537753638338,0.4349515452754435,0.23937761554244963
gpu_v3_topq_combo,64,100000,1e-05,1.3336894000094617,1.3282157900044695,0.034714698386408935,1.2799412500171456,1.374178249988472,0.020232900002156384,0.02101828000304522,0.002105632640891616,0.019305249987519348,0.02337420000403654,0.8005127499927767,0.797365424997406,0.021697437512184392,0.7696716699952958,0.8234620700008236,0.00026274999254383147,0.00029288499790709467,5.934016656132566e-05,0.0002502199844457209,0.0003757300146389753,0.5042339499777881,0.5044429200032028,0.02086788775792597,0.47625099001452326,0.5342363299976569,0.0038842500071041286,0.003945464997377713,0.00033797118498783013,0.003571379990899004,0.004459479995421134,142.0,140.9,3.1102546857976674,135.7,142.2,0.21801015017263126,0.2163263150214334,0.007282917678021895,0.20686227989790495,0.22388888002315072,0.13453304991708137,0.13368324505427154,0.0040875569137656526,0.12809581993205937,0.13770162008004264,0.0025840490062142268,0.002573317690522821,7.525961331863516e-05,0.002488304600995837,0.0026661459400708653,1.4629882806912065,1.4629882806912065,0.0,1.4629882806912065,1.4629882806912065,20,0,11.512925464970229,0.2879490868073711,
gpu_v3_topq_combo,64,300000,1e-05,1.5061061499873176,1.5086778349985253,0.023399897610367124,1.4835567700007233,1.5421186199964723,0.034879299986641854,0.03530132499727188,0.0009579674842615605,0.03437592000991572,0.03678720000607427,0.7709458000026643,0.7745550150022609,0.01341183709755872,0.7602654899877962,0.7913621600018814,0.0002540499990573153,0.00026703999756136907,3.323910960678267e-05,0.0002479499962646514,0.00030399001552723355,0.6875176499888767,0.6933174099976895,0.016332597313617973,0.6765901700011454,0.7152997400116874,0.0037290999898687005,0.00377426499617286,0.00017476652917669115,0.003604780006571673,0.003983119991607964,202.5,202.55,2.9642608025042554,200.0,206.0,0.29824555000232067,0.2992317049749545,0.00543433901327908,0.29311740964476485,0.30537813999981156,0.18439239996951073,0.18556651496328413,0.003509743170112418,0.18189156018197536,0.1908892397361342,0.0018066869643379494,0.0018103744974727293,4.6274048179100715e-05,0.0017588193583246447,0.0018738472146557336,1.4883789056912065,1.4883789056912065,0.0,1.4883789056912065,1.4883789056912065,20,0,12.611537753638338,0.40952761161310514,0.1106655423936032
