run_id,timestamp,mode,N,eps,top_q,reg_lambda,cg_tol,wall_s_total,rmse_test,peak_mem_gb,status,error,cg_iters,cg_relres,n_matvec,t_matvec_total,n_precond,t_precond_total,time_precompute,time_eigenspace,time_precond_build,time_solve,time_predict,nufft_stage,device_name,eig_nystrom_kernel_s,surrogate_tag,repeat_idx,repeat_count
20260427_010610_gpu_v1_topq0_q0_N100000_20260421,2026-04-27T01:06:37.512887,gpu_v1_topq0,100000,1e-06,0,0.1,1e-06,2.263779699918814,0.002598451224196456,1.2364257806912065,ok,,411,8.599374285067981e-07,412,1.7715749989729375,0,,0.03449130000080913,0.0,0.0,2.2213953000027686,0.006183200050145388,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,,,0,5
20260427_010610_gpu_v1_topq0_q0_N100000_20260422,2026-04-27T01:06:39.980633,gpu_v1_topq0,100000,1e-06,0,0.1,1e-06,2.244875800097361,0.0027012349264712633,1.2364257806912065,ok,,410,9.927649387719809e-07,411,1.7592396010877565,0,,0.036626000073738396,0.0,0.0,2.1999701999593526,0.006932899937964976,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,,,1,5
20260427_010610_gpu_v1_topq0_q0_N100000_20260423,2026-04-27T01:06:42.463643,gpu_v1_topq0,100000,1e-06,0,0.1,1e-06,2.256347000016831,0.002520759401546017,1.2364257806912065,ok,,410,9.215495412928426e-07,411,1.7731241998262703,0,,0.03637470002286136,0.0,0.0,2.212710899999365,0.005792799987830222,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,,,2,5
20260427_010610_gpu_v1_topq0_q0_N100000_20260424,2026-04-27T01:06:44.912144,gpu_v1_topq0,100000,1e-06,0,0.1,1e-06,2.223361700074747,0.0026124554803415296,1.2364257806912065,ok,,411,8.407239049899668e-07,412,1.7627436994807795,0,,0.037048200028948486,0.0,0.0,2.177486200002022,0.00749400001950562,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,,,3,5
20260427_010610_gpu_v1_topq0_q0_N100000_20260425,2026-04-27T01:06:47.323481,gpu_v1_topq0,100000,1e-06,0,0.1,1e-06,2.190100400010124,0.002590936308487415,1.2364257806912065,ok,,402,9.40611687170548e-07,403,1.7250272007659078,0,,0.03758199990261346,0.0,0.0,2.145366800017655,0.005948400008492172,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,,,4,5
20260427_010610_gpu_v3_topq_q64_N100000_20260421,2026-04-27T01:06:52.111675,gpu_v3_topq,100000,1e-06,64,0.1,1e-06,4.553876699996181,0.002599121860548608,2.5997070306912065,ok,,141,8.70458832966761e-07,142,0.6119595996569842,141,0.46416259987745434,0.0360649999929592,3.217627599951811,0.0004553000908344984,1.2924281999003142,0.006016000057570636,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,,,0,5
20260427_010610_gpu_v3_topq_q64_N100000_20260422,2026-04-27T01:06:56.883773,gpu_v3_topq,100000,1e-06,64,0.1,1e-06,4.554452600074001,0.002701421105172977,2.5997070306912065,ok,,139,9.517707145643986e-07,140,0.6061517997877672,139,0.4591031002346426,0.03629010007716715,3.230549699976109,0.00030179996974766254,1.2795591000467539,0.006385199958458543,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,,,1,5
20260427_010610_gpu_v3_topq_q64_N100000_20260423,2026-04-27T01:07:01.626567,gpu_v3_topq,100000,1e-06,64,0.1,1e-06,4.517428999999538,0.002520832536489548,2.5997070306912065,ok,,143,8.365694870717274e-07,144,0.6106401002034545,143,0.46307609998621047,0.03744330001063645,3.1930482999887317,0.000416700029745698,1.2786553000332788,0.006512499996460974,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,,,2,5
20260427_010610_gpu_v3_topq_q64_N100000_20260424,2026-04-27T01:07:06.399962,gpu_v3_topq,100000,1e-06,64,0.1,1e-06,4.5406251000240445,0.0026125995007369594,2.5997070306912065,ok,,139,9.236404298966774e-07,140,0.6107372994301841,139,0.4590189002919942,0.03632800001651049,3.2063766000792384,0.0002778999041765928,1.2893237000098452,0.006641500047408044,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,,,3,5
20260427_010610_gpu_v3_topq_q64_N100000_20260425,2026-04-27T01:07:11.164313,gpu_v3_topq,100000,1e-06,64,0.1,1e-06,4.552168900030665,0.0025903119497400844,2.5997070306912065,ok,,139,9.690761686741187e-07,140,0.5958765003597364,139,0.4503647001693025,0.036237699910998344,3.2754663000814617,0.0003565999213606119,1.2320685000158846,0.006439900025725365,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,,,4,5
