run_id,timestamp,mode,precompute_method,N,eps,top_q,reg_lambda,cg_tol,wall_s_outer_s,rmse_test,peak_mem_gb,status,error,cg_iters,cg_relres,n_matvec,t_matvec_total,n_precond,t_precond_total,time_eigenspace,time_precond_build,time_solve,time_predict,nufft_stage,device_name,eig_nystrom_kernel_s,surrogate_tag,time_precompute_NUFFT,time_precompute_binned,time_precompute,time_train,wall_s_total,repeat_idx,repeat_count,binned_theta_actual,binned_G,binned_num_occupied_bins
20260505_000519_gpu_v1_topq0_pcmoriginal_q0_N100000_20260421,2026-05-05T00:06:29.224150,gpu_v1_topq0,original,100000,1e-05,0,0.1,1e-06,0.9742632999987109,0.0025971755314594495,0.8711914056912065,ok,,400,9.68618551505632e-07,401,0.6226852998952381,0,,0.0,0.0,0.9427732999902219,0.004936500001349486,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,,,0.02445159999479074,,0.02445159999479074,0.9672248999850126,0.9721613999863621,0,5,,,
20260505_000519_gpu_v1_topq0_pcmoriginal_q0_N100000_20260422,2026-05-05T00:06:30.326620,gpu_v1_topq0,original,100000,1e-05,0,0.1,1e-06,0.962039799997001,0.0027004129517921712,0.8711914056912065,ok,,398,8.987940578529482e-07,399,0.6093598002189538,0,,0.0,0.0,0.9352822999935597,0.005911800006288104,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,,,0.019777000008616596,,0.019777000008616596,0.9550593000021763,0.9609711000084644,1,5,,,
20260505_000519_gpu_v1_topq0_pcmoriginal_q0_N100000_20260423,2026-05-05T00:06:31.519971,gpu_v1_topq0,original,100000,1e-05,0,0.1,1e-06,1.0452771999989636,0.0025183329743374678,0.8711914056912065,ok,,414,8.377280682926612e-07,415,0.6654340999521082,0,,0.0,0.0,1.0179828999971505,0.005177300001378171,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,,,0.020572499997797422,,0.020572499997797422,1.038555399994948,1.0437326999963261,2,5,,,
20260505_000519_gpu_v1_topq0_pcmoriginal_q0_N100000_20260424,2026-05-05T00:06:32.673166,gpu_v1_topq0,original,100000,1e-05,0,0.1,1e-06,1.0125289999996312,0.002613088594068919,0.8711914056912065,ok,,403,9.666442116871031e-07,404,0.6391596000903519,0,,0.0,0.0,0.9829469999967841,0.007332900000619702,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,,,0.021069700000225566,,0.021069700000225566,1.0040166999970097,1.0113495999976294,3,5,,,
20260505_000519_gpu_v1_topq0_pcmoriginal_q0_N100000_20260425,2026-05-05T00:06:33.807681,gpu_v1_topq0,original,100000,1e-05,0,0.1,1e-06,0.9970693000068422,0.0025894172177918875,0.8711914056912065,ok,,400,9.717765688004994e-07,401,0.6250764999567764,0,,0.0,0.0,0.9705114999960642,0.005748900002799928,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,,,0.019697600000654347,,0.019697600000654347,0.9902090999967186,0.9959579999995185,4,5,,,
20260505_000519_gpu_v1_topq0_pcmc0_q0_N100000_20260421,2026-05-05T00:06:35.416788,gpu_v1_topq0,c0,100000,1e-05,0,0.1,1e-06,1.4639449999958742,0.03140451659657716,0.8711914056912065,ok,,567,9.905066723995725e-07,568,0.8897862997982884,0,,0.0,0.0,1.3709898999950383,0.005445300004794262,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,,,0.01976470000226982,0.06429609999759123,0.08406079999986105,1.4550506999948993,1.4604959999996936,0,5,5.516534344228107,12321.0,12320.0
20260505_000519_gpu_v1_topq0_pcmc0_q0_N100000_20260422,2026-05-05T00:06:37.010706,gpu_v1_topq0,c0,100000,1e-05,0,0.1,1e-06,1.4502485999983037,0.02982486100665379,0.8711914056912065,ok,,557,9.936496811927184e-07,558,0.8827601000666618,0,,0.0,0.0,1.3578199000039604,0.005484799999976531,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,,,0.021610299998428673,0.061547899997094646,0.08315819999552332,1.4409780999994837,1.4464628999994602,1,5,5.5165671534752425,12321.0,12317.0
20260505_000519_gpu_v1_topq0_pcmc0_q0_N100000_20260423,2026-05-05T00:06:38.626412,gpu_v1_topq0,c0,100000,1e-05,0,0.1,1e-06,1.4729349999979604,0.03338535618266445,0.8711914056912065,ok,,575,9.013725556688423e-07,576,0.8981515998748364,0,,0.0,0.0,1.3702187000017148,0.005503499996848404,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,,,0.02401359999203123,0.06886949999898206,0.0928830999910133,1.463101799992728,1.4686052999895765,2,5,5.51651805632413,12321.0,12316.0
20260505_000519_gpu_v1_topq0_pcmc0_q0_N100000_20260424,2026-05-05T00:06:40.221166,gpu_v1_topq0,c0,100000,1e-05,0,0.1,1e-06,1.4459120999963488,0.02995771922564322,0.8711914056912065,ok,,561,8.93790805920143e-07,562,0.8730712999531534,0,,0.0,0.0,1.3496306000015466,0.005027400009566918,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,,,0.02240950000123121,0.06494530000782106,0.08735480000905227,1.4369854000105988,1.4420128000201657,3,5,5.516517891438353,12321.0,12321.0
20260505_000519_gpu_v1_topq0_pcmc0_q0_N100000_20260425,2026-05-05T00:06:41.777270,gpu_v1_topq0,c0,100000,1e-05,0,0.1,1e-06,1.4232728999922983,0.03445533858171585,0.8711914056912065,ok,,563,9.072592781362452e-07,564,0.8712557001272216,0,,0.0,0.0,1.3247365999995964,0.00574939999205526,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,,,0.019544799986761063,0.0700797000026796,0.08962449998944066,1.414361099989037,1.4201104999810923,4,5,5.516505438915954,12321.0,12315.0
20260505_000519_gpu_v1_topq0_pcmc1_q0_N100000_20260421,2026-05-05T00:06:43.394208,gpu_v1_topq0,c1,100000,1e-05,0,0.1,1e-06,1.4695838000043295,0.010991320370126753,0.8711914056912065,ok,,510,9.379969165482027e-07,511,0.7972623998357449,0,,0.0,0.0,1.2365911999950185,0.0049045000050682575,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,,,0.01943119999486953,0.20491830000537448,0.224349500000244,1.4609406999952625,1.4658452000003308,0,5,5.516534344228107,12321.0,12320.0
20260505_000519_gpu_v1_topq0_pcmc1_q0_N100000_20260422,2026-05-05T00:06:44.988001,gpu_v1_topq0,c1,100000,1e-05,0,0.1,1e-06,1.454709499987075,0.011431176093959302,0.8711914056912065,ok,,521,6.770989543182998e-07,522,0.7998834000172792,0,,0.0,0.0,1.219879199998104,0.005045400001108646,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,,,0.02459989998897072,0.2009710999991512,0.2255709999881219,1.445450199986226,1.4504955999873346,1,5,5.5165671534752425,12321.0,12317.0
20260505_000519_gpu_v1_topq0_pcmc1_q0_N100000_20260423,2026-05-05T00:06:46.557152,gpu_v1_topq0,c1,100000,1e-05,0,0.1,1e-06,1.4230035999935353,0.011594038660210687,0.8711914056912065,ok,,512,9.804064296377037e-07,513,0.7862619000370614,0,,0.0,0.0,1.1935302000056254,0.0051377000054344535,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,,,0.021806000004289672,0.1969805999979144,0.21878660000220407,1.4123168000078294,1.417454500013264,2,5,5.51651805632413,12321.0,12316.0
20260505_000519_gpu_v1_topq0_pcmc1_q0_N100000_20260424,2026-05-05T00:06:48.130961,gpu_v1_topq0,c1,100000,1e-05,0,0.1,1e-06,1.4394688000029419,0.01212494009713732,0.8711914056912065,ok,,515,8.741846453451226e-07,516,0.7931431997712934,0,,0.0,0.0,1.2065176000032807,0.004948799993144348,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,,,0.019416300012380816,0.20503179999650456,0.22444810000888538,1.430965700012166,1.4359145000053104,3,5,5.516517891438353,12321.0,12321.0
20260505_000519_gpu_v1_topq0_pcmc1_q0_N100000_20260425,2026-05-05T00:06:49.701694,gpu_v1_topq0,c1,100000,1e-05,0,0.1,1e-06,1.4351717999961693,0.011533069483153422,0.8711914056912065,ok,,514,9.264077248072374e-07,515,0.794622900270042,0,,0.0,0.0,1.201217900001211,0.0049491000099806115,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,,,0.019693599999300204,0.20582760000252165,0.22552120000182185,1.426739100003033,1.4316882000130136,4,5,5.516505438915954,12321.0,12315.0
20260505_000519_gpu_v1_topq0_pcmc2_q0_N100000_20260421,2026-05-05T00:06:51.311022,gpu_v1_topq0,c2,100000,1e-05,0,0.1,1e-06,1.479170000005979,0.0034844801931660967,0.8711914056912065,ok,,455,8.575592265708725e-07,456,0.7043393999192631,0,,0.0,0.0,1.0700510000024224,0.004908799994154833,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,,,0.02149739999731537,0.3792315000027884,0.40072890000010375,1.4707799000025261,1.475688699996681,0,5,5.516534344228107,12321.0,12320.0
20260505_000519_gpu_v1_topq0_pcmc2_q0_N100000_20260422,2026-05-05T00:06:52.967498,gpu_v1_topq0,c2,100000,1e-05,0,0.1,1e-06,1.5196596999885514,0.003568165010798152,0.8711914056912065,ok,,435,9.831792995423892e-07,436,0.6922875997406663,0,,0.0,0.0,1.0833208999974886,0.004865199996856973,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,,,0.022514099997351877,0.40479089999280404,0.4273049999901559,1.5106258999876445,1.5154910999845015,1,5,5.5165671534752425,12321.0,12317.0
20260505_000519_gpu_v1_topq0_pcmc2_q0_N100000_20260423,2026-05-05T00:06:54.588741,gpu_v1_topq0,c2,100000,1e-05,0,0.1,1e-06,1.47215079999296,0.0034955222942222126,0.8711914056912065,ok,,441,9.13370739061765e-07,442,0.6839753999520326,0,,0.0,0.0,1.0533496999996714,0.00541160001012031,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,,,0.020732800010591745,0.3888318999961484,0.40956470000674017,1.4629144000064116,1.468326000016532,2,5,5.51651805632413,12321.0,12316.0
20260505_000519_gpu_v1_topq0_pcmc2_q0_N100000_20260424,2026-05-05T00:06:56.237680,gpu_v1_topq0,c2,100000,1e-05,0,0.1,1e-06,1.5155518999963533,0.0034894779353758856,0.8711914056912065,ok,,461,7.032278216487802e-07,462,0.7267076001444366,0,,0.0,0.0,1.1142771000013454,0.005903800003579818,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,,,0.022318999996059574,0.36935510000330396,0.39167409999936353,1.505951200000709,1.5118550000042887,3,5,5.516517891438353,12321.0,12321.0
20260505_000519_gpu_v1_topq0_pcmc2_q0_N100000_20260425,2026-05-05T00:06:57.846209,gpu_v1_topq0,c2,100000,1e-05,0,0.1,1e-06,1.4655590999900596,0.0035361800736497437,0.8711914056912065,ok,,444,9.271349799398479e-07,445,0.705944700006512,0,,0.0,0.0,1.0659770000056596,0.005424599992693402,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,,,0.019671899994136766,0.370500599994557,0.39017249998869374,1.4561494999943534,1.4615740999870468,4,5,5.516505438915954,12321.0,12315.0
20260505_000519_gpu_v3_topq_pcmoriginal_q64_N100000_20260421,2026-05-05T00:06:59.516521,gpu_v3_topq,original,100000,1e-05,64,0.1,1e-06,1.5276671000028728,0.002597346018000286,1.2676757806912065,ok,,140,7.637150628748597e-07,141,0.2200190000294242,140,0.1317777999502141,0.9865342999983113,0.00024449999909847975,0.5147644000098808,0.00530189998971764,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,,,0.019691299996338785,,0.019691299996338785,1.5212345000036294,1.526536399993347,0,5,,,
20260505_000519_gpu_v3_topq_pcmoriginal_q64_N100000_20260422,2026-05-05T00:07:01.176132,gpu_v3_topq,original,100000,1e-05,64,0.1,1e-06,1.525297700005467,0.002700118246412709,1.2676757806912065,ok,,138,9.602211029511242e-07,139,0.21795770012249704,138,0.13105120006366633,0.9835461000038777,0.0003001000004587695,0.5144653000024846,0.005627399994409643,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,,,0.019396799994865432,,0.019396799994865432,1.5177083000016864,1.523335699996096,1,5,,,
20260505_000519_gpu_v3_topq_pcmoriginal_q64_N100000_20260423,2026-05-05T00:07:02.830680,gpu_v3_topq,original,100000,1e-05,64,0.1,1e-06,1.507924199991976,0.0025188750259085933,1.2676757806912065,ok,,135,9.708847070062323e-07,136,0.21443170003476553,135,0.1283522999001434,0.9854916000040248,0.00027069999487139285,0.49613630000385456,0.004869199998211116,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,,,0.019935999996960163,,0.019935999996960163,1.501834599999711,1.506703799997922,2,5,,,
20260505_000519_gpu_v3_topq_pcmoriginal_q64_N100000_20260424,2026-05-05T00:07:04.538962,gpu_v3_topq,original,100000,1e-05,64,0.1,1e-06,1.5556801000057021,0.0026133520322616497,1.2676757806912065,ok,,140,8.084407264884192e-07,141,0.22863169986521825,140,0.1358532000303967,0.986637800000608,0.0002480999974068254,0.5403120000119088,0.004992699992726557,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,,,0.0217077999986941,,0.0217077999986941,1.5489057000086177,1.5538984000013443,3,5,,,
20260505_000519_gpu_v3_topq_pcmoriginal_q64_N100000_20260425,2026-05-05T00:07:06.191020,gpu_v3_topq,original,100000,1e-05,64,0.1,1e-06,1.5187291000038385,0.0025889059580633364,1.2676757806912065,ok,,138,9.01182504819609e-07,139,0.21983849996468052,138,0.13256189988169353,0.988983899995219,0.00025579999783076346,0.5028151000005892,0.004974199997377582,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,,,0.020463299995753914,,0.020463299995753914,1.5125180999893928,1.5174922999867704,4,5,,,
20260505_000519_gpu_v3_topq_pcmc0_q64_N100000_20260421,2026-05-05T00:07:08.138604,gpu_v3_topq,c0,100000,1e-05,64,0.1,1e-06,1.805526900003315,0.031404739218171995,1.2676757806912065,ok,,197,8.546642077387417e-07,198,0.30857289988489356,197,0.1917618000152288,0.9880292000016198,0.00023809999402146786,0.7238620999996783,0.005493600008776411,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,,,0.021754000001237728,0.06214130000444129,0.08389530000567902,1.7960247000009986,1.801518300009775,0,5,5.516534344228107,12321.0,12320.0
20260505_000519_gpu_v3_topq_pcmc0_q64_N100000_20260422,2026-05-05T00:07:10.095444,gpu_v3_topq,c0,100000,1e-05,64,0.1,1e-06,1.8225013000046602,0.0298248450705029,1.2676757806912065,ok,,197,9.712111671932928e-07,198,0.314584399908199,197,0.19040310001582839,0.9886886000022059,0.0002482999989297241,0.741936699996586,0.004909199997200631,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,,,0.022464199995738454,0.06089829999837093,0.08336249999410938,1.814236099991831,1.8191452999890316,1,5,5.5165671534752425,12321.0,12317.0
20260505_000519_gpu_v3_topq_pcmc0_q64_N100000_20260423,2026-05-05T00:07:12.047779,gpu_v3_topq,c0,100000,1e-05,64,0.1,1e-06,1.8157474000036018,0.03338542084080291,1.2676757806912065,ok,,197,8.38727837435825e-07,198,0.312355200163438,197,0.19391259986150544,0.9839579000108643,0.0002447000006213784,0.7408060000016121,0.00668279999808874,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,,,0.019262400004663505,0.06086480000521988,0.08012720000988338,1.8051358000229811,1.8118186000210699,2,5,5.51651805632413,12321.0,12316.0
20260505_000519_gpu_v3_topq_pcmc0_q64_N100000_20260424,2026-05-05T00:07:13.973347,gpu_v3_topq,c0,100000,1e-05,64,0.1,1e-06,1.7940890000027139,0.02995727955667392,1.2676757806912065,ok,,193,9.543510022018234e-07,194,0.3111830999114318,193,0.18662729999050498,0.9883239999908255,0.0002762000076472759,0.717884600002435,0.005225000000791624,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,,,0.0193481000023894,0.05929940000351053,0.07864750000589993,1.7851323000068078,1.7903573000075994,3,5,5.516517891438353,12321.0,12321.0
20260505_000519_gpu_v3_topq_pcmc0_q64_N100000_20260425,2026-05-05T00:07:15.922914,gpu_v3_topq,c0,100000,1e-05,64,0.1,1e-06,1.8122560000047088,0.03445505749383352,1.2676757806912065,ok,,197,7.530032937375436e-07,198,0.3121820999949705,197,0.18843529993318953,0.9846544000029098,0.0002451999898767099,0.7366781000018818,0.005778400009148754,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,,,0.01999400000204332,0.061590900004375726,0.08158490000641905,1.8031626000010874,1.8089410000102362,4,5,5.516505438915954,12321.0,12315.0
20260505_000519_gpu_v3_topq_pcmc1_q64_N100000_20260421,2026-05-05T00:07:17.974436,gpu_v3_topq,c1,100000,1e-05,64,0.1,1e-06,1.909736999994493,0.010991717794291044,1.2676757806912065,ok,,176,8.402869939042583e-07,177,0.2874892999388976,176,0.1732167998852674,0.9907690999971237,0.0003009000065503642,0.6958895999996457,0.005537499993806705,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,,,0.01980290000210516,0.19331980000424664,0.2131227000063518,1.9000823000096716,1.9056198000034783,0,5,5.516534344228107,12321.0,12320.0
20260505_000519_gpu_v3_topq_pcmc1_q64_N100000_20260422,2026-05-05T00:07:20.009945,gpu_v3_topq,c1,100000,1e-05,64,0.1,1e-06,1.8960127999889664,0.011430003308607418,1.2676757806912065,ok,,176,8.744178036270415e-07,177,0.2849720999947749,176,0.17662870006461162,0.9934656000114046,0.0003710999881150201,0.6691844000015408,0.005116400003316812,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,,,0.02001219999510795,0.2039954000065336,0.22400760000164155,1.887028700002702,1.8921451000060188,1,5,5.5165671534752425,12321.0,12317.0
20260505_000519_gpu_v3_topq_pcmc1_q64_N100000_20260423,2026-05-05T00:07:22.014145,gpu_v3_topq,c1,100000,1e-05,64,0.1,1e-06,1.8720071999996435,0.01159437594777448,1.2676757806912065,ok,,176,8.82318566749235e-07,177,0.28141019998292904,176,0.1724036000232445,0.9938194999995176,0.0002950999914901331,0.6570135000074515,0.004919500002870336,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,,,0.019945799998822622,0.19268399999418762,0.21262979999301024,1.8637578999914695,1.8686773999943398,2,5,5.51651805632413,12321.0,12316.0
20260505_000519_gpu_v3_topq_pcmc1_q64_N100000_20260424,2026-05-05T00:07:24.043521,gpu_v3_topq,c1,100000,1e-05,64,0.1,1e-06,1.892734399996698,0.012124606345052719,1.2676757806912065,ok,,175,9.92858438519938e-07,176,0.2810227999871131,175,0.17691340010787826,0.9955591999896569,0.0003032000095117837,0.6782481999980519,0.005305500002577901,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,,,0.021321299995179288,0.1884697000059532,0.2097910000011325,1.883901599998353,1.889207100000931,3,5,5.516517891438353,12321.0,12321.0
20260505_000519_gpu_v3_topq_pcmc1_q64_N100000_20260425,2026-05-05T00:07:26.061929,gpu_v3_topq,c1,100000,1e-05,64,0.1,1e-06,1.8799770999903558,0.011533236395647444,1.2676757806912065,ok,,176,9.213357116780868e-07,177,0.2748497999855317,176,0.17441610002424568,0.9929819000099087,0.00024359999224543571,0.665563700007624,0.005060399998910725,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,,,0.019555999999283813,0.1930720999953337,0.21262809999461751,1.8714173000043957,1.8764777000033064,4,5,5.516505438915954,12321.0,12315.0
20260505_000519_gpu_v3_topq_pcmc2_q64_N100000_20260421,2026-05-05T00:07:28.143239,gpu_v3_topq,c2,100000,1e-05,64,0.1,1e-06,1.9472987999906763,0.003484591173434724,1.2676757806912065,ok,,153,9.019619832735774e-07,154,0.23494039999786764,153,0.15116199995100033,0.9863288999913493,0.00033260000054724514,0.559602499997709,0.005086800010758452,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,,,0.02080559999740217,0.3714423000055831,0.39224790000298526,1.9385118999925908,1.9435987000033492,0,5,5.516534344228107,12321.0,12320.0
20260505_000519_gpu_v3_topq_pcmc2_q64_N100000_20260422,2026-05-05T00:07:30.256617,gpu_v3_topq,c2,100000,1e-05,64,0.1,1e-06,1.9780396999994991,0.0035678931414328224,1.2676757806912065,ok,,153,9.791319595521317e-07,154,0.2431485999841243,153,0.14929719996871427,0.9980691999953706,0.0002457000082358718,0.57225820000167,0.005742499997722916,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,,,0.02046600000176113,0.3779304000054253,0.39839640000718646,1.968969500012463,1.9747120000101859,1,5,5.5165671534752425,12321.0,12317.0
