run_id,timestamp,mode,N,eps,top_q,reg_lambda,cg_tol,wall_s_outer_s,rmse_test,peak_mem_gb,status,error,cg_iters,cg_relres,n_matvec,t_matvec_total,n_precond,t_precond_total,time_precompute,time_eigenspace,time_precond_build,time_solve,time_predict,nufft_stage,device_name,eig_nystrom_kernel_s,surrogate_tag,time_train,wall_s_total,repeat_idx,repeat_count
20260505_164231_gpu_v1_topq0_q0_N100000_20260421,2026-05-05T16:42:44.458965,gpu_v1_topq0,100000,1e-05,0,0.1,1e-06,0.9144254999991972,0.002596735805853936,0.8711914056912065,ok,,403,9.68889772512755e-07,404,0.5848246001114603,0,,0.020082100003492087,0.0,0.0,0.8874391000135802,0.0049996000016108155,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,,,0.9075212000170723,0.9125208000186831,0,5
20260505_164231_gpu_v1_topq0_q0_N100000_20260422,2026-05-05T16:42:45.513193,gpu_v1_topq0,100000,1e-05,0,0.1,1e-06,0.9302109999989625,0.0027000129371207667,0.8711914056912065,ok,,407,8.216153239122587e-07,408,0.5939273005642463,0,,0.018478000012692064,0.0,0.0,0.9059023000008892,0.0048531999927945435,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,,,0.9243803000135813,0.9292335000063758,1,5
20260505_164231_gpu_v1_topq0_q0_N100000_20260423,2026-05-05T16:42:46.580674,gpu_v1_topq0,100000,1e-05,0,0.1,1e-06,0.9289532999973744,0.002518379852888298,0.8711914056912065,ok,,409,9.686127436539229e-07,410,0.5977427002217155,0,,0.018242600024677813,0.0,0.0,0.9049226000206545,0.004764899989822879,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,,,0.9231652000453323,0.9279301000351552,2,5
20260505_164231_gpu_v1_topq0_q0_N100000_20260424,2026-05-05T16:42:47.632134,gpu_v1_topq0,100000,1e-05,0,0.1,1e-06,0.91679909999948,0.002613098918980227,0.8711914056912065,ok,,403,8.954240238875524e-07,404,0.5834215996728744,0,,0.0179389999830164,0.0,0.0,0.8927134000114165,0.005046699981903657,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,,,0.9106523999944329,0.9156990999763366,3,5
20260505_164231_gpu_v1_topq0_q0_N100000_20260425,2026-05-05T16:42:48.690171,gpu_v1_topq0,100000,1e-05,0,0.1,1e-06,0.9258948000206146,0.0025885049080925744,0.8711914056912065,ok,,410,9.465224948788793e-07,411,0.5926347002387047,0,,0.01831419998779893,0.0,0.0,0.9016254000016488,0.0048479999823030084,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,,,0.9199395999894477,0.9247875999717508,4,5
20260505_164231_gpu_v3_topq_q64_N100000_20260421,2026-05-05T16:42:50.280010,gpu_v3_topq,100000,1e-05,64,0.1,1e-06,1.4377049000177067,0.00259735143663277,1.2676757806912065,ok,,140,7.613300121385271e-07,141,0.20657539990497753,140,0.12771540024550632,0.01806209998903796,0.9248568000039086,0.0002986000035889447,0.48775480000767857,0.005531799979507923,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,,,1.430972300004214,1.436504099983722,0,5
20260505_164231_gpu_v3_topq_q64_N100000_20260422,2026-05-05T16:42:51.863714,gpu_v3_topq,100000,1e-05,64,0.1,1e-06,1.4387205000093672,0.002700122282392063,1.2676757806912065,ok,,138,9.632719246909228e-07,139,0.2055639000609517,138,0.1254890000273008,0.019143400015309453,0.9265469999809284,0.0002793000021483749,0.486552100017434,0.005040099989855662,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,,,1.4325218000158202,1.4375619000056759,1,5
20260505_164231_gpu_v3_topq_q64_N100000_20260423,2026-05-05T16:42:53.448487,gpu_v3_topq,100000,1e-05,64,0.1,1e-06,1.447061400016537,0.0025188720454244395,1.2676757806912065,ok,,135,9.675088057733514e-07,136,0.20845209996332414,135,0.1292860000685323,0.018014000001130626,0.9362057999824174,0.00024530000519007444,0.486790299997665,0.004820800008019432,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,,,1.441255399986403,1.4460761999944225,2,5
20260505_164231_gpu_v3_topq_q64_N100000_20260424,2026-05-05T16:42:55.041150,gpu_v3_topq,100000,1e-05,64,0.1,1e-06,1.440569600003073,0.002613354798965963,1.2676757806912065,ok,,140,8.055738308311338e-07,141,0.20603409977047704,140,0.12719580010161735,0.01804419999825768,0.9372868000064045,0.0002936999953817576,0.4786778000125196,0.0051549999916460365,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,,,1.4343025000125635,1.4394575000042096,3,5
20260505_164231_gpu_v3_topq_q64_N100000_20260425,2026-05-05T16:42:56.642102,gpu_v3_topq,100000,1e-05,64,0.1,1e-06,1.457047000003513,0.002588907031182357,1.2676757806912065,ok,,138,8.996739305777285e-07,139,0.2098453000653535,138,0.12823649987694807,0.019158999988576397,0.9440171000023838,0.00025010001263581216,0.4871802999987267,0.005453899997519329,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,,,1.4506065000023227,1.456060399999842,4,5
