run_id,timestamp,mode,top_q,N,eps,repeat_idx,repeat_count,precompute_method,time_precompute,time_precompute_NUFFT,time_precompute_binned,rhs_rel_err,theta_actual,G,num_occupied_bins,status,error,rhs_direct_sum_s,t_original_exact_gpu_precompute_v1_s,t_h2d_xy_s,t_gpu_fused_bin_moments_s,t_compact_occupied_s,t_binned_cufinufft_on_centers_s,t_rhs_D_multiply_s,effective_work_ratio,binned_used_exact_dense_point_nufft,binned_order_bins_final,binned_allow_exact_nufft_fallback
20260505_175721_precompute_only_pcmoriginal_q0_N100000_rep0,2026-05-05T17:57:23.078299,precompute_only,0,100000,1e-05,0,5,original,0.12924129999009892,0.12924129999009892,,,,,,ok,,,0.12924129999009892,,,,,,,,nan,
20260505_175721_precompute_only_pcmc0_q0_N100000_rep0,2026-05-05T17:57:23.078299,precompute_only,0,100000,1e-05,0,5,c0,0.05016000001342036,,0.05016000001342036,,5.516534344228107,12321.0,12320.0,ok,,,,0.0005342999938875437,0.0005348999984562397,0.0011015999771188945,0.04542749997926876,0.0008546999888494611,0.2464,0.0,C0,0.0
20260505_175721_precompute_only_pcmc1_q0_N100000_rep0,2026-05-05T17:57:23.078299,precompute_only,0,100000,1e-05,0,5,c1,0.11016449998714961,,0.11016449998714961,,5.516534344228107,12321.0,12320.0,ok,,,,0.000746600009733811,0.0007471000135410577,0.0030552000098396093,0.10324870000476949,0.0008544999873265624,0.7392,0.0,C1,0.0
20260505_175721_precompute_only_pcmoriginal_q0_N100000_rep1,2026-05-05T17:57:23.795059,precompute_only,0,100000,1e-05,1,5,original,0.09562020000885241,0.09562020000885241,,,,,,ok,,,0.09562020000885241,,,,,,,,nan,
20260505_175721_precompute_only_pcmc0_q0_N100000_rep1,2026-05-05T17:57:23.795059,precompute_only,0,100000,1e-05,1,5,c0,0.048506999999517575,,0.048506999999517575,,5.5165671534752425,12321.0,12317.0,ok,,,,0.0006046999769750983,0.0006057000136934221,0.001198800018755719,0.04364109999733046,0.0008584999886807054,0.24634,0.0,C0,0.0
20260505_175721_precompute_only_pcmc1_q0_N100000_rep1,2026-05-05T17:57:23.795059,precompute_only,0,100000,1e-05,1,5,c1,0.06764010002370924,,0.06764010002370924,,5.5165671534752425,12321.0,12317.0,ok,,,,0.00039190001552924514,0.00039250002009794116,0.0012337999942246825,0.06368799999472685,0.0009018999990075827,0.73902,0.0,C1,0.0
20260505_175721_precompute_only_pcmoriginal_q0_N100000_rep2,2026-05-05T17:57:24.447699,precompute_only,0,100000,1e-05,2,5,original,0.06446059999871068,0.06446059999871068,,,,,,ok,,,0.06446059999871068,,,,,,,,nan,
20260505_175721_precompute_only_pcmc0_q0_N100000_rep2,2026-05-05T17:57:24.447699,precompute_only,0,100000,1e-05,2,5,c0,0.03182920001563616,,0.03182920001563616,,5.51651805632413,12321.0,12316.0,ok,,,,0.0003403000009711832,0.00034080000477842987,0.0010602000111248344,0.02830299999914132,0.000677700008964166,0.24632,0.0,C0,0.0
20260505_175721_precompute_only_pcmc1_q0_N100000_rep2,2026-05-05T17:57:24.447699,precompute_only,0,100000,1e-05,2,5,c1,0.06524419999914244,,0.06524419999914244,,5.51651805632413,12321.0,12316.0,ok,,,,0.0003968000237364322,0.00039760000072419643,0.0012872999941464514,0.06138749999809079,0.0006730000022798777,0.73896,0.0,C1,0.0
20260505_175721_precompute_only_pcmoriginal_q0_N100000_rep3,2026-05-05T17:57:25.098887,precompute_only,0,100000,1e-05,3,5,original,0.06204920000163838,0.06204920000163838,,,,,,ok,,,0.06204920000163838,,,,,,,,nan,
20260505_175721_precompute_only_pcmc0_q0_N100000_rep3,2026-05-05T17:57:25.098887,precompute_only,0,100000,1e-05,3,5,c0,0.030917500000214204,,0.030917500000214204,,5.516517891438353,12321.0,12321.0,ok,,,,0.00034420000156387687,0.00034470000537112355,0.0010825000063050538,0.027366399997845292,0.0006305999995674938,0.24642,0.0,C0,0.0
20260505_175721_precompute_only_pcmc1_q0_N100000_rep3,2026-05-05T17:57:25.098887,precompute_only,0,100000,1e-05,3,5,c1,0.07290629998897202,,0.07290629998897202,,5.516517891438353,12321.0,12321.0,ok,,,,0.00039060000563040376,0.00039110000943765044,0.0012487999920267612,0.0689286999986507,0.0006848000048194081,0.73926,0.0,C1,0.0
20260505_175721_precompute_only_pcmoriginal_q0_N100000_rep4,2026-05-05T17:57:25.738585,precompute_only,0,100000,1e-05,4,5,original,0.06685120001202449,0.06685120001202449,,,,,,ok,,,0.06685120001202449,,,,,,,,nan,
20260505_175721_precompute_only_pcmc0_q0_N100000_rep4,2026-05-05T17:57:25.738585,precompute_only,0,100000,1e-05,4,5,c0,0.03167970001231879,,0.03167970001231879,,5.516505438915954,12321.0,12315.0,ok,,,,0.0003485000052023679,0.00034970001433975995,0.001098200009437278,0.02814459998626262,0.0006643999950028956,0.2463,0.0,C0,0.0
20260505_175721_precompute_only_pcmc1_q0_N100000_rep4,2026-05-05T17:57:25.738585,precompute_only,0,100000,1e-05,4,5,c1,0.06909459998132661,,0.06909459998132661,,5.516505438915954,12321.0,12315.0,ok,,,,0.00041500001680105925,0.00041569999302737415,0.001990199991269037,0.06436399999074638,0.000694399990607053,0.7389,0.0,C1,0.0
