run_id,timestamp,mode,precompute_method,N,eps,top_q,reg_lambda,cg_tol,wall_s_outer_s,rmse_test,peak_mem_gb,status,error,cg_iters,cg_relres,n_matvec,t_matvec_total,n_precond,t_precond_total,time_eigenspace,time_precond_build,time_solve,time_predict,nufft_stage,device_name,eig_nystrom_kernel_s,surrogate_tag,t_original_exact_gpu_precompute_v1_s,time_precompute_NUFFT,time_precompute_binned,time_precompute,time_train,wall_s_total,repeat_idx,repeat_count,precompute_benchmark_note,binned_theta_actual,binned_G,binned_num_occupied_bins,effective_work_ratio,binned_used_exact_dense_point_nufft,binned_order_bins_final,binned_allow_exact_nufft_fallback,t_h2d_xy_s,t_gpu_fused_bin_moments_s,t_compact_occupied_s,t_binned_cufinufft_on_centers_s,t_rhs_D_multiply_s
20260506_060518_gpu_v1_topq0_pcmoriginal_q0_N100000_20260421,2026-05-06T06:06:04.624429,gpu_v1_topq0,original,100000,1e-07,0,0.1,1e-06,5.192411471000014,0.0025972317977920305,0.57421875,ok,,416,8.828363426732938e-07,417,4.899867153998912,0,,0.0,0.0,5.141786445999969,0.006944833000034123,cufinufft,NVIDIA L4,,,0.03750613500005784,0.03750613500005784,,0.03750613500005784,5.179292581000027,5.186237414000061,0,3,,,,,,,,,,,,,
20260506_060518_gpu_v1_topq0_pcmoriginal_q0_N100000_20260422,2026-05-06T06:06:10.085738,gpu_v1_topq0,original,100000,1e-07,0,0.1,1e-06,5.136978531000295,0.002700765953570616,0.57421875,ok,,411,9.6122967242811e-07,412,4.843877184999201,0,,0.0,0.0,5.085771060999832,0.0069407860000865185,cufinufft,NVIDIA L4,,,0.03797205799992298,0.03797205799992298,,0.03797205799992298,5.123743118999755,5.130683904999842,1,3,,,,,,,,,,,,,
20260506_060518_gpu_v1_topq0_pcmoriginal_q0_N100000_20260423,2026-05-06T06:06:15.487441,gpu_v1_topq0,original,100000,1e-07,0,0.1,1e-06,5.0931597470003,0.0025209847596277097,0.57421875,ok,,408,8.868917662064364e-07,409,4.809312419000435,0,,0.0,0.0,5.0420901649999905,0.007039138999971328,cufinufft,NVIDIA L4,,,0.03779764699993393,0.03779764699993393,,0.03779764699993393,5.0798878119999245,5.086926950999896,2,3,,,,,,,,,,,,,
20260506_060518_gpu_v1_topq0_pcmc1_q0_N100000_20260421,2026-05-06T06:06:21.210533,gpu_v1_topq0,c1,100000,1e-07,0,0.1,1e-06,5.395365282000057,0.0028703572042568523,0.625,ok,,424,8.694957174718269e-07,425,4.9977976449999915,0,,0.0,0.0,5.247214692999933,0.006728018000103475,binned_c1,NVIDIA L4,,,,,0.1220656370001052,0.1220656370001052,5.369280330000038,5.376008348000141,0,3,"binned pcm: build_binned_efgp_system provides XtXcol + rhs, then Gf=FFTN(XtXcol); no exact gpu_precompute_v1 is executed in this path.",17.41947884979242,12321.0,12320.0,0.7392,0.0,C1,0.0,0.00013606900029117242,0.00013669399959326256,0.0011040429999411572,0.11360409300004903,0.0012554609998005617
20260506_060518_gpu_v1_topq0_pcmc1_q0_N100000_20260422,2026-05-06T06:06:27.054343,gpu_v1_topq0,c1,100000,1e-07,0,0.1,1e-06,5.511674212000344,0.0029455664773721086,0.662109375,ok,,434,7.541647016447789e-07,435,5.116273912007273,0,,0.0,0.0,5.363080065000304,0.006898098999954527,binned_c1,NVIDIA L4,,,,,0.12244019200034018,0.12244019200034018,5.485520257000644,5.492418356000599,1,3,"binned pcm: build_binned_efgp_system provides XtXcol + rhs, then Gf=FFTN(XtXcol); no exact gpu_precompute_v1 is executed in this path.",17.41956772595925,12321.0,12317.0,0.73902,0.0,C1,0.0,0.00013534599975173478,0.00013601199998447555,0.0011011040000994399,0.1139854429998195,0.001274453999940306
20260506_060518_gpu_v1_topq0_pcmc1_q0_N100000_20260423,2026-05-06T06:06:32.867125,gpu_v1_topq0,c1,100000,1e-07,0,0.1,1e-06,5.46432792700034,0.002723356371682683,0.69921875,ok,,429,7.56688052025581e-07,430,5.060374072007562,0,,0.0,0.0,5.315312748999986,0.007326005999857443,binned_c1,NVIDIA L4,,,,,0.12216780899962032,0.12216780899962032,5.437480557999606,5.444806563999464,2,3,"binned pcm: build_binned_efgp_system provides XtXcol + rhs, then Gf=FFTN(XtXcol); no exact gpu_precompute_v1 is executed in this path.",17.419434727832034,12321.0,12316.0,0.73896,0.0,C1,0.0,0.00015666499984945403,0.00015745900009278557,0.0011020840001947363,0.11372750200007431,0.0012520669997684308
20260506_060518_gpu_v3_topq_eigenpro_nystrom_pcmoriginal_q36_N100000_20260421,2026-05-06T06:06:36.230338,gpu_v3_topq_eigenpro_nystrom,original,100000,1e-07,36,0.1,1e-06,3.02394546000005,0.0025981307468758387,0.736328125,ok,,219,8.347204888846496e-07,220,2.580827947997477,219,0.09115510400351923,0.12898043299992423,0.00033584299990252475,2.843561382000189,0.007041487000151392,cufinufft,NVIDIA L4,0.1288367100000869,coordinate_nystrom_s1600_q36_oversample10_low0.25,0.03775803200005612,0.03775803200005612,,0.03775803200005612,3.010635690000072,3.0176771770002233,0,3,,,,,,,,,,,,,
20260506_060518_gpu_v3_topq_eigenpro_nystrom_pcmoriginal_q36_N100000_20260422,2026-05-06T06:06:39.584787,gpu_v3_topq_eigenpro_nystrom,original,100000,1e-07,36,0.1,1e-06,3.039105544999984,0.0027008420077849183,0.751953125,ok,,220,9.837901844059795e-07,221,2.598097806998794,220,0.09256981999760683,0.12631285999987085,0.00034445200026311795,2.862620054999752,0.007211575999917841,cufinufft,NVIDIA L4,0.12613232699959553,coordinate_nystrom_s1600_q36_oversample10_low0.25,0.03687239199962278,0.03687239199962278,,0.03687239199962278,3.0261497589995088,3.0333613349994266,1,3,,,,,,,,,,,,,
20260506_060518_gpu_v3_topq_eigenpro_nystrom_pcmoriginal_q36_N100000_20260423,2026-05-06T06:06:42.959730,gpu_v3_topq_eigenpro_nystrom,original,100000,1e-07,36,0.1,1e-06,3.0639980290002313,0.002520889971609266,0.751953125,ok,,222,7.735487463161899e-07,223,2.6215825859958386,222,0.0919957969999814,0.12566463499979363,0.00035690400000021327,2.8889161609999974,0.006899563000388298,cufinufft,NVIDIA L4,0.1255240670002422,coordinate_nystrom_s1600_q36_oversample10_low0.25,0.03628754100009246,0.03628754100009246,,0.03628754100009246,3.0512252409998837,3.058124804000272,2,3,,,,,,,,,,,,,
20260506_060518_gpu_v3_topq_eigenpro_nystrom_pcmc1_q36_N100000_20260421,2026-05-06T06:06:46.485271,gpu_v3_topq_eigenpro_nystrom,c1,100000,1e-07,36,0.1,1e-06,3.207291429000179,0.002870448543956626,0.734375,ok,,229,9.217086759742402e-07,230,2.703251022001041,229,0.09878929100113965,0.13297741900032634,0.0003301719998489716,2.987843127999895,0.006927580000137823,binned_c1,NVIDIA L4,0.13282733000005464,coordinate_nystrom_s1600_q36_oversample10_low0.25,,,0.06043137000006027,0.06043137000006027,3.1815820890001305,3.1885096690002683,0,3,"binned pcm: build_binned_efgp_system provides XtXcol + rhs, then Gf=FFTN(XtXcol); no exact gpu_precompute_v1 is executed in this path.",17.41947884979242,12321.0,12320.0,0.7392,0.0,C1,0.0,0.0001330589998360665,0.0001335510000899376,0.0008325119997607544,0.052294729000095685,0.00125546499975826
