run_id,timestamp,mode,precompute_method,N,eps,top_q,reg_lambda,cg_tol,wall_s_outer_s,rmse_test,peak_mem_gb,status,error,cg_iters,cg_relres,n_matvec,t_matvec_total,n_precond,t_precond_total,time_eigenspace,time_precond_build,time_solve,time_predict,nufft_stage,device_name,eig_nystrom_kernel_s,surrogate_tag,t_original_exact_gpu_precompute_v1_s,time_precompute_NUFFT,time_precompute_binned,time_precompute,time_train,wall_s_total,repeat_idx,repeat_count,precompute_benchmark_note,binned_theta_actual,binned_G,binned_num_occupied_bins,effective_work_ratio,binned_used_exact_dense_point_nufft,binned_order_bins_final,binned_allow_exact_nufft_fallback,t_h2d_xy_s,t_gpu_fused_bin_moments_s,t_compact_occupied_s,t_binned_cufinufft_on_centers_s,t_rhs_D_multiply_s
20260506_145346_eps1e-05_gpu_v1_topq0_pcmoriginal_q0_N100000_20260421,2026-05-06T14:54:04.713887,gpu_v1_topq0,original,100000,1e-05,0,0.1,1e-06,1.027060500025982,0.002596632579767753,0.8809570306912065,ok,,408,8.853213657428417e-07,409,0.631703100138111,0,,0.0,0.0,0.9988813000090886,0.005686699994839728,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,,,0.020609700004570186,0.020609700004570186,,0.020609700004570186,1.0194910000136588,1.0251777000084985,0,1,,,,,,,,,,,,,
20260506_145346_eps1e-05_gpu_v1_topq0_pcmc1_q0_N100000_20260421,2026-05-06T14:54:06.024827,gpu_v1_topq0,c1,100000,1e-05,0,0.1,1e-06,1.0710447000165004,0.002865933571059682,0.8829101556912065,ok,,422,9.819194310781292e-07,423,0.6507312004687265,0,,0.0,0.0,1.0252371999958996,0.005044599995017052,binned_c1,NVIDIA GeForce RTX 3050 Laptop GPU,,,,,0.03422830000636168,0.03422830000636168,1.0594655000022613,1.0645100999972783,0,1,"binned pcm: build_binned_efgp_system provides XtXcol + rhs, then Gf=FFTN(XtXcol); no exact gpu_precompute_v1 is executed in this path.",5.516534344228107,12321.0,12320.0,0.7392,0.0,C1,0.0,0.00024009999469853938,0.00024170000688172877,0.0022629000013694167,0.029146599990781397,0.0003302000113762915
20260506_145346_eps1e-05_gpu_v3_topq_eigenpro_nystrom_pcmoriginal_q45_N100000_20260421,2026-05-06T14:54:07.285078,gpu_v3_topq_eigenpro_nystrom,original,100000,1e-05,45,0.1,1e-06,1.0067917999986093,0.002597661575804199,1.3360351556912065,ok,,182,8.967386575609249e-07,183,0.29210580000653863,182,0.12163550005061552,0.30912769999122247,0.000693799986038357,0.668216600024607,0.004872899997280911,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,0.30886519997147843,coordinate_nystrom_s2400_q45_oversample10_low0.25,0.02139430001261644,0.02139430001261644,,0.02139430001261644,0.9994324000144843,1.0043053000117652,0,1,,,,,,,,,,,,,
20260506_145346_eps1e-05_gpu_v3_topq_eigenpro_nystrom_pcmc1_q45_N100000_20260421,2026-05-06T14:54:08.465133,gpu_v3_topq_eigenpro_nystrom,c1,100000,1e-05,45,0.1,1e-06,0.9229716999980155,0.0028659492276296153,1.3594726556912065,ok,,191,7.691156487493273e-07,192,0.2939962000818923,191,0.10533120002946816,0.2662177000020165,0.00040920000174082816,0.6213775999785867,0.005583999998634681,binned_c1,NVIDIA GeForce RTX 3050 Laptop GPU,0.26607919999514706,coordinate_nystrom_s2400_q45_oversample10_low0.25,,,0.024772099975962192,0.024772099975962192,0.9127765999583062,0.9183605999569409,0,1,"binned pcm: build_binned_efgp_system provides XtXcol + rhs, then Gf=FFTN(XtXcol); no exact gpu_precompute_v1 is executed in this path.",5.516534344228107,12321.0,12320.0,0.7392,0.0,C1,0.0,0.00023479998344555497,0.00023529998725280166,0.0015719999792054296,0.02118079998763278,0.0002856000210158527
20260506_145346_eps1e-05_gpu_v3_topq_eigenpro_nystrom_pcmoriginal_q90_N100000_20260421,2026-05-06T14:54:09.501868,gpu_v3_topq_eigenpro_nystrom,original,100000,1e-05,90,0.1,1e-06,0.7820899999933317,0.00259706541205718,1.3438476556912065,ok,,111,8.838239714174819e-07,112,0.1776656997099053,111,0.06643700011773035,0.36978919999091886,0.00044520001392811537,0.38306930000544526,0.006854499981272966,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,0.3695953999995254,coordinate_nystrom_s2400_q90_oversample10_low0.25,0.02029509999556467,0.02029509999556467,,0.02029509999556467,0.7735988000058569,0.7804532999871299,0,1,,,,,,,,,,,,,
20260506_145346_eps1e-05_gpu_v3_topq_eigenpro_nystrom_pcmc1_q90_N100000_20260421,2026-05-06T14:54:10.589889,gpu_v3_topq_eigenpro_nystrom,c1,100000,1e-05,90,0.1,1e-06,0.8295422999945004,0.0028663371140357848,1.3614257806912065,ok,,118,8.908792781868379e-07,119,0.18492890024208464,118,0.06989339980646037,0.3927300999930594,0.0003591999993659556,0.4004133999987971,0.0055708000145386904,binned_c1,NVIDIA GeForce RTX 3050 Laptop GPU,0.3925757000106387,coordinate_nystrom_s2400_q90_oversample10_low0.25,,,0.02461399999447167,0.02461399999447167,0.8181166999856941,0.8236875000002328,0,1,"binned pcm: build_binned_efgp_system provides XtXcol + rhs, then Gf=FFTN(XtXcol); no exact gpu_precompute_v1 is executed in this path.",5.516534344228107,12321.0,12320.0,0.7392,0.0,C1,0.0,0.00021430000197142363,0.00021490000654011965,0.0015951000095810741,0.021042300009867176,0.0002997000119648874
20260506_145346_eps1e-05_gpu_v3_topq_eigenpro_nystrom_pcmoriginal_q180_N100000_20260421,2026-05-06T14:54:11.675996,gpu_v3_topq_eigenpro_nystrom,original,100000,1e-05,180,0.1,1e-06,0.8304804000072181,0.002596411955134321,1.3438476556912065,ok,,61,9.509656375491738e-07,62,0.0964607001224067,61,0.03595829996629618,0.5912895999790635,0.0004023000074084848,0.21083460000227205,0.006078800011891872,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,0.5911194999935105,coordinate_nystrom_s2400_q180_oversample10_low0.25,0.020254500006558374,0.020254500006558374,,0.020254500006558374,0.8227809999953024,0.8288598000071943,0,1,,,,,,,,,,,,,
20260506_145346_eps1e-05_gpu_v3_topq_eigenpro_nystrom_pcmc1_q180_N100000_20260421,2026-05-06T14:54:12.816525,gpu_v3_topq_eigenpro_nystrom,c1,100000,1e-05,180,0.1,1e-06,0.897169700008817,0.002866774560719709,1.3614257806912065,ok,,63,9.525223505637188e-07,64,0.09970729998894967,63,0.03620870001032017,0.6461680000065826,0.0005763999943155795,0.21531609998783097,0.006435000017518178,binned_c1,NVIDIA GeForce RTX 3050 Laptop GPU,0.6459465000079945,coordinate_nystrom_s2400_q180_oversample10_low0.25,,,0.023669600021094084,0.023669600021094084,0.8857301000098232,0.8921651000273414,0,1,"binned pcm: build_binned_efgp_system provides XtXcol + rhs, then Gf=FFTN(XtXcol); no exact gpu_precompute_v1 is executed in this path.",5.516534344228107,12321.0,12320.0,0.7392,0.0,C1,0.0,0.00020290000247769058,0.0002038999809883535,0.0017284000059589744,0.020215700002154335,0.00023520001559518278
20260506_145346_eps1e-05_gpu_v3_topq_eigenpro_nystrom_pcmoriginal_q360_N100000_20260421,2026-05-06T14:54:14.317326,gpu_v3_topq_eigenpro_nystrom,original,100000,1e-05,360,0.1,1e-06,1.266498600016348,0.0025955748974466407,1.3438476556912065,ok,,38,8.911763582765286e-07,39,0.06156330002704635,38,0.022952699975576252,1.1031535000074655,0.00046209999709390104,0.13658130000112578,0.005278199998429045,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,1.1029274000029545,coordinate_nystrom_s2400_q360_oversample10_low0.25,0.01940320001449436,0.01940320001449436,,0.01940320001449436,1.2596001000201795,1.2648783000186086,0,1,,,,,,,,,,,,,
20260506_145346_eps1e-05_gpu_v3_topq_eigenpro_nystrom_pcmc1_q360_N100000_20260421,2026-05-06T14:54:15.787075,gpu_v3_topq_eigenpro_nystrom,c1,100000,1e-05,360,0.1,1e-06,1.2292119000048842,0.002866190612480107,1.3614257806912065,ok,,38,9.429432256299452e-07,39,0.05946219994802959,38,0.018755799857899547,1.0745565999823157,0.0003627000260166824,0.1204169999982696,0.005340799980331212,binned_c1,NVIDIA GeForce RTX 3050 Laptop GPU,1.0744079000141937,coordinate_nystrom_s2400_q360_oversample10_low0.25,,,0.024300300021423027,0.024300300021423027,1.219636600028025,1.2249774000083562,0,1,"binned pcm: build_binned_efgp_system provides XtXcol + rhs, then Gf=FFTN(XtXcol); no exact gpu_precompute_v1 is executed in this path.",5.516534344228107,12321.0,12320.0,0.7392,0.0,C1,0.0,0.00021379999816417694,0.00021440000273287296,0.0015227999829221517,0.02110569999786094,0.00022410001838579774
20260506_145346_eps1e-05_gpu_v1_topq0_pcmoriginal_q0_N300000_20260421,2026-05-06T14:54:17.578296,gpu_v1_topq0,original,300000,1e-05,0,0.1,1e-06,1.4235010000120383,0.0018123353920898781,0.9141601556912065,ok,,578,9.262085137297254e-07,579,0.8893957999534905,0,,0.0,0.0,1.3728059999994002,0.010256100009428337,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,,,0.036541700013913214,0.036541700013913214,,0.036541700013913214,1.4093477000133134,1.4196038000227418,0,1,,,,,,,,,,,,,
20260506_145346_eps1e-05_gpu_v1_topq0_pcmc1_q0_N300000_20260421,2026-05-06T14:54:19.273974,gpu_v1_topq0,c1,300000,1e-05,0,0.1,1e-06,1.4211636999971233,0.0018753321821949628,0.9200195306912065,ok,,607,6.969912800028919e-07,608,0.9119974993518554,0,,0.0,0.0,1.368613099999493,0.008762500016018748,binned_c1,NVIDIA GeForce RTX 3050 Laptop GPU,,,,,0.03774790000170469,0.03774790000170469,1.4063610000011977,1.4151235000172164,0,1,"binned pcm: build_binned_efgp_system provides XtXcol + rhs, then Gf=FFTN(XtXcol); no exact gpu_precompute_v1 is executed in this path.",3.172713592251004,37249.0,37243.0,0.74486,0.0,C1,0.0,0.0008193000103347003,0.0008197999850381166,0.0024510000075679272,0.03239530001883395,0.0005099999834783375
20260506_145346_eps1e-05_gpu_v3_topq_eigenpro_nystrom_pcmoriginal_q45_N300000_20260421,2026-05-06T14:54:20.646219,gpu_v3_topq_eigenpro_nystrom,original,300000,1e-05,45,0.1,1e-06,1.0706710000231396,0.001812053064831602,1.3594726556912065,ok,,260,7.913940973557477e-07,261,0.3933335001056548,260,0.12450850024470128,0.24545310001121834,0.000367300002835691,0.7777128999878187,0.008315000013681129,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,0.24532769998768345,coordinate_nystrom_s2400_q45_oversample10_low0.25,0.03652930000680499,0.03652930000680499,,0.03652930000680499,1.0600626000086777,1.0683776000223588,0,1,,,,,,,,,,,,,
20260506_145346_eps1e-05_gpu_v3_topq_eigenpro_nystrom_pcmc1_q45_N300000_20260421,2026-05-06T14:54:21.976827,gpu_v3_topq_eigenpro_nystrom,c1,300000,1e-05,45,0.1,1e-06,1.0774106000026222,0.0018760836136376964,1.3770507806912065,ok,,260,8.38021489179518e-07,261,0.3933288000698667,260,0.12976250014617108,0.23351310001453385,0.00034729999606497586,0.7965762999956496,0.008709999994607642,binned_c1,NVIDIA GeForce RTX 3050 Laptop GPU,0.23339660000056028,coordinate_nystrom_s2400_q45_oversample10_low0.25,,,0.03278760000830516,0.03278760000830516,1.0632243000145536,1.0719343000091612,0,1,"binned pcm: build_binned_efgp_system provides XtXcol + rhs, then Gf=FFTN(XtXcol); no exact gpu_precompute_v1 is executed in this path.",3.172713592251004,37249.0,37243.0,0.74486,0.0,C1,0.0,0.0007896000170148909,0.0007898999901954085,0.0011822999804280698,0.02939490001881495,0.00023070001043379307
20260506_145346_eps1e-05_gpu_v3_topq_eigenpro_nystrom_pcmoriginal_q90_N300000_20260421,2026-05-06T14:54:23.070812,gpu_v3_topq_eigenpro_nystrom,original,300000,1e-05,90,0.1,1e-06,0.831008799985284,0.0018117902672699258,1.3633789056912065,ok,,153,7.896559789386365e-07,154,0.23026909984764643,153,0.07416009978624061,0.32306310001877137,0.00037319998955354095,0.4613555000105407,0.008407699991948903,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,0.3229124000063166,coordinate_nystrom_s2400_q90_oversample10_low0.25,0.03559890002361499,0.03559890002361499,,0.03559890002361499,0.8203907000424806,0.8287984000344295,0,1,,,,,,,,,,,,,
20260506_145346_eps1e-05_gpu_v3_topq_eigenpro_nystrom_pcmc1_q90_N300000_20260421,2026-05-06T14:54:24.172403,gpu_v3_topq_eigenpro_nystrom,c1,300000,1e-05,90,0.1,1e-06,0.8356939000077546,0.0018759635148981,1.3770507806912065,ok,,153,8.634327483569976e-07,154,0.23620469978777692,153,0.07494719995884225,0.3167468000028748,0.0003497999859973788,0.4733068000059575,0.008292000013170764,binned_c1,NVIDIA GeForce RTX 3050 Laptop GPU,0.3166307999927085,coordinate_nystrom_s2400_q90_oversample10_low0.25,,,0.03163990000030026,0.03163990000030026,0.8220432999951299,0.8303353000083007,0,1,"binned pcm: build_binned_efgp_system provides XtXcol + rhs, then Gf=FFTN(XtXcol); no exact gpu_precompute_v1 is executed in this path.",3.172713592251004,37249.0,37243.0,0.74486,0.0,C1,0.0,0.0007883999787736684,0.0007888000109232962,0.0013000000035390258,0.028141899994807318,0.00024140000459738076
20260506_145346_eps1e-05_gpu_v3_topq_eigenpro_nystrom_pcmoriginal_q180_N300000_20260421,2026-05-06T14:54:25.345279,gpu_v3_topq_eigenpro_nystrom,original,300000,1e-05,180,0.1,1e-06,0.8955673000018578,0.0018116564794902897,1.3633789056912065,ok,,85,9.131083509978819e-07,86,0.13258739988668822,85,0.04270419990643859,0.5731790999998339,0.0003547999949660152,0.27106269999057986,0.008925000001909211,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,0.5730207999877166,coordinate_nystrom_s2400_q180_oversample10_low0.25,0.03935249999631196,0.03935249999631196,,0.03935249999631196,0.8839490999816917,0.8928740999836009,0,1,,,,,,,,,,,,,
20260506_145346_eps1e-05_gpu_v3_topq_eigenpro_nystrom_pcmc1_q180_N300000_20260421,2026-05-06T14:54:26.434105,gpu_v3_topq_eigenpro_nystrom,c1,300000,1e-05,180,0.1,1e-06,0.8348078999842983,0.0018760746979298295,1.3770507806912065,ok,,85,9.619180482481329e-07,86,0.12778079992858693,85,0.03866059987922199,0.5346732999896631,0.00036109998472966254,0.25195659999735653,0.008493800007272512,binned_c1,NVIDIA GeForce RTX 3050 Laptop GPU,0.5345236999855842,coordinate_nystrom_s2400_q180_oversample10_low0.25,,,0.03351639999891631,0.03351639999891631,0.8205073999706656,0.8290011999779381,0,1,"binned pcm: build_binned_efgp_system provides XtXcol + rhs, then Gf=FFTN(XtXcol); no exact gpu_precompute_v1 is executed in this path.",3.172713592251004,37249.0,37243.0,0.74486,0.0,C1,0.0,0.0007968000136315823,0.0007972999883349985,0.001198800018755719,0.030069899978116155,0.00023360000341199338
20260506_145346_eps1e-05_gpu_v3_topq_eigenpro_nystrom_pcmoriginal_q360_N300000_20260421,2026-05-06T14:54:27.972834,gpu_v3_topq_eigenpro_nystrom,original,300000,1e-05,360,0.1,1e-06,1.2803334999771323,0.0018107293530873648,1.3633789056912065,ok,,53,7.9796867561959e-07,54,0.08214460004819557,53,0.025607500021578744,1.0694761000049766,0.0003530000103637576,0.16372379998210818,0.007984600000781938,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,1.0693283999862615,coordinate_nystrom_s2400_q360_oversample10_low0.25,0.036080899997614324,0.036080899997614324,,0.036080899997614324,1.2696337999950629,1.2776183999958448,0,1,,,,,,,,,,,,,
20260506_145346_eps1e-05_gpu_v3_topq_eigenpro_nystrom_pcmc1_q360_N300000_20260421,2026-05-06T14:54:29.572217,gpu_v3_topq_eigenpro_nystrom,c1,300000,1e-05,360,0.1,1e-06,1.336635199986631,0.0018748162378156071,1.3770507806912065,ok,,53,8.388127190658074e-07,54,0.08425709998118691,53,0.028412399988155812,1.108778199995868,0.0003504999913275242,0.17855020001297817,0.00845699998899363,binned_c1,NVIDIA GeForce RTX 3050 Laptop GPU,1.1086303000047337,coordinate_nystrom_s2400_q360_oversample10_low0.25,,,0.033865900011733174,0.033865900011733174,1.3215448000119068,1.3300018000009004,0,1,"binned pcm: build_binned_efgp_system provides XtXcol + rhs, then Gf=FFTN(XtXcol); no exact gpu_precompute_v1 is executed in this path.",3.172713592251004,37249.0,37243.0,0.74486,0.0,C1,0.0,0.0007994000043254346,0.0007999000081326813,0.0012334999919403344,0.030113899993011728,0.00034080000477842987
