run_id,timestamp,mode,precompute_method,N,eps,top_q,reg_lambda,cg_tol,wall_s_outer_s,rmse_test,peak_mem_gb,status,error,cg_iters,cg_relres,n_matvec,t_matvec_total,n_precond,t_precond_total,time_eigenspace,time_precond_build,time_solve,time_predict,nufft_stage,device_name,eig_nystrom_kernel_s,surrogate_tag,t_original_exact_gpu_precompute_v1_s,time_precompute_NUFFT,time_precompute_binned,time_precompute,time_train,wall_s_total,repeat_idx,repeat_count,precompute_benchmark_note,binned_theta_actual,binned_G,binned_num_occupied_bins,effective_work_ratio,binned_used_exact_dense_point_nufft,binned_order_bins_final,binned_allow_exact_nufft_fallback,t_h2d_xy_s,t_gpu_fused_bin_moments_s,t_compact_occupied_s,t_binned_cufinufft_on_centers_s,t_rhs_D_multiply_s
20260507_205016_eps0.001_gpu_v1_topq0_pcmoriginal_q0_N100000_20260421,2026-05-07T20:50:30.322338,gpu_v1_topq0,original,100000,0.001,0,0.1,1e-06,0.5940285000251606,0.0020221515671068626,0.8516601556912065,ok,,326,9.954459491096348e-07,327,0.31969059992115945,0,,0.0,0.0,0.5716704999795184,0.00507900002412498,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,,,0.01586079999106005,0.01586079999106005,,0.01586079999106005,0.5875312999705784,0.5926102999947034,0,1,,,,,,,,,,,,,
20260507_205016_eps0.001_gpu_v1_topq0_pcmc1_q0_N100000_20260421,2026-05-07T20:50:31.068618,gpu_v1_topq0,c1,100000,0.001,0,0.1,1e-06,0.5982663999893703,0.002169353591538828,0.8536132806912065,ok,,334,9.906718831056162e-07,335,0.31535190012073144,0,,0.0,0.0,0.5688503999845125,0.0077883999911136925,binned_c1,NVIDIA GeForce RTX 3050 Laptop GPU,,,,,0.01846250001108274,0.01846250001108274,0.5873128999955952,0.5951012999867089,0,1,"binned pcm: build_binned_efgp_system provides XtXcol + rhs, then Gf=FFTN(XtXcol); no exact gpu_precompute_v1 is executed in this path.",1.758514374421581,12321.0,12320.0,0.7392,0.0,C1,0.0,0.00018150004325434566,0.00018200004706159234,0.0016052999999374151,0.015370399982202798,0.00022950000129640102
20260507_205016_eps0.001_gpu_v3_topq_eigenpro_nystrom_pcmoriginal_q45_N100000_20260421,2026-05-07T20:50:31.978309,gpu_v3_topq_eigenpro_nystrom,original,100000,0.001,45,0.1,1e-06,0.7551417999784462,0.0020222481608989937,1.3184570306912065,ok,,150,9.651136660949478e-07,151,0.15656370006036013,150,0.0771416999050416,0.31974070001160726,0.0005318999756127596,0.3995691000018269,0.005600000033155084,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,0.31952890002867207,coordinate_nystrom_s2400_q45_oversample10_low0.25,0.02758020005421713,0.02758020005421713,,0.02758020005421713,0.747421900043264,0.7530219000764191,0,1,,,,,,,,,,,,,
20260507_205016_eps0.001_gpu_v3_topq_eigenpro_nystrom_pcmc1_q45_N100000_20260421,2026-05-07T20:50:32.849623,gpu_v3_topq_eigenpro_nystrom,c1,100000,0.001,45,0.1,1e-06,0.713140600011684,0.002170598955064301,1.3165039056912065,ok,,164,9.727847618216238e-07,165,0.16831269982503727,164,0.08554540009936318,0.2548683999921195,0.00044169998727738857,0.4335027000051923,0.004634000011719763,binned_c1,NVIDIA GeForce RTX 3050 Laptop GPU,0.2547175000072457,coordinate_nystrom_s2400_q45_oversample10_low0.25,,,0.01691679999930784,0.01691679999930784,0.7057295999838971,0.7103635999956168,0,1,"binned pcm: build_binned_efgp_system provides XtXcol + rhs, then Gf=FFTN(XtXcol); no exact gpu_precompute_v1 is executed in this path.",1.758514374421581,12321.0,12320.0,0.7392,0.0,C1,0.0,0.00018620002083480358,0.0001865000231191516,0.001319300034083426,0.014264299999922514,0.0002508999896235764
20260507_205016_eps0.001_gpu_v3_topq_eigenpro_nystrom_pcmoriginal_q90_N100000_20260421,2026-05-07T20:50:33.598198,gpu_v3_topq_eigenpro_nystrom,original,100000,0.001,90,0.1,1e-06,0.5884896999923512,0.0020228445408564787,1.3204101556912065,ok,,93,8.190782619639718e-07,94,0.0968470000079833,93,0.04813129996182397,0.3151102000265382,0.00034909998066723347,0.24835200002416968,0.005712699959985912,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,0.3149917999980971,coordinate_nystrom_s2400_q90_oversample10_low0.25,0.01731100003235042,0.01731100003235042,,0.01731100003235042,0.5811223000637256,0.5868350000237115,0,1,,,,,,,,,,,,,
20260507_205016_eps0.001_gpu_v3_topq_eigenpro_nystrom_pcmc1_q90_N100000_20260421,2026-05-07T20:50:34.503714,gpu_v3_topq_eigenpro_nystrom,c1,100000,0.001,90,0.1,1e-06,0.737703499966301,0.0021708934138104075,1.3165039056912065,ok,,98,8.416063743913104e-07,99,0.1337490002042614,98,0.06719740002881736,0.3692276999936439,0.0005291999550536275,0.33967720001237467,0.0058385999873280525,binned_c1,NVIDIA GeForce RTX 3050 Laptop GPU,0.36889420001534745,coordinate_nystrom_s2400_q90_oversample10_low0.25,,,0.019293099991045892,0.019293099991045892,0.7287271999521181,0.7345657999394462,0,1,"binned pcm: build_binned_efgp_system provides XtXcol + rhs, then Gf=FFTN(XtXcol); no exact gpu_precompute_v1 is executed in this path.",1.758514374421581,12321.0,12320.0,0.7392,0.0,C1,0.0,0.0002096000243909657,0.00021010002819821239,0.0017503999988548458,0.01589629997033626,0.0003130999975837767
20260507_205016_eps0.001_gpu_v3_topq_eigenpro_nystrom_pcmoriginal_q180_N100000_20260421,2026-05-07T20:50:35.433476,gpu_v3_topq_eigenpro_nystrom,original,100000,0.001,180,0.1,1e-06,0.7395540000288747,0.00202297038706479,1.3204101556912065,ok,,50,8.321004812623724e-07,51,0.053648999717552215,50,0.02610670030117035,0.5783653999678791,0.0003790000337176025,0.138168899982702,0.004792199993971735,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,0.5782061000354588,coordinate_nystrom_s2400_q180_oversample10_low0.25,0.015877900004852563,0.015877900004852563,,0.015877900004852563,0.7327911999891512,0.737583399983123,0,1,,,,,,,,,,,,,
20260507_205016_eps0.001_gpu_v3_topq_eigenpro_nystrom_pcmc1_q180_N100000_20260421,2026-05-07T20:50:36.266137,gpu_v3_topq_eigenpro_nystrom,c1,100000,0.001,180,0.1,1e-06,0.6831129000056535,0.0021713429836815847,1.3165039056912065,ok,,52,9.758010560153487e-07,53,0.05580180004471913,52,0.026097699883393943,0.5162310000159778,0.0003741999971680343,0.14039789995877072,0.004853300051763654,binned_c1,NVIDIA GeForce RTX 3050 Laptop GPU,0.5160769999492913,coordinate_nystrom_s2400_q180_oversample10_low0.25,,,0.0181262000114657,0.0181262000114657,0.6751292999833822,0.6799826000351459,0,1,"binned pcm: build_binned_efgp_system provides XtXcol + rhs, then Gf=FFTN(XtXcol); no exact gpu_precompute_v1 is executed in this path.",1.758514374421581,12321.0,12320.0,0.7392,0.0,C1,0.0,0.00018540001474320889,0.00018589996034279466,0.0013274999801069498,0.015583599975798279,0.00020459998631849885
20260507_205016_eps0.001_gpu_v3_topq_eigenpro_nystrom_pcmoriginal_q360_N100000_20260421,2026-05-07T20:50:37.566139,gpu_v3_topq_eigenpro_nystrom,original,100000,0.001,360,0.1,1e-06,1.1475679999566637,0.00202351121847678,1.3204101556912065,ok,,29,9.468613738862864e-07,30,0.026491899916436523,29,0.012546299840323627,1.0579567999811843,0.00034680002136155963,0.06782050000037998,0.004632699943613261,cufinufft,NVIDIA GeForce RTX 3050 Laptop GPU,1.0577972999890335,coordinate_nystrom_s2400_q360_oversample10_low0.25,0.015114000008907169,0.015114000008907169,,0.015114000008907169,1.141238100011833,1.1458707999554463,0,1,,,,,,,,,,,,,
20260507_205016_eps0.001_gpu_v3_topq_eigenpro_nystrom_pcmc1_q360_N100000_20260421,2026-05-07T20:50:38.865408,gpu_v3_topq_eigenpro_nystrom,c1,100000,0.001,360,0.1,1e-06,1.1483036000281572,0.0021708741208395833,1.3165039056912065,ok,,29,9.997497154423561e-07,30,0.02715040009934455,29,0.01276519981911406,1.053537200030405,0.00046939996536821127,0.06900700001278892,0.004607999988365918,binned_c1,NVIDIA GeForce RTX 3050 Laptop GPU,1.053368499968201,coordinate_nystrom_s2400_q360_oversample10_low0.25,,,0.0177288000122644,0.0177288000122644,1.1407424000208266,1.1453504000091925,0,1,"binned pcm: build_binned_efgp_system provides XtXcol + rhs, then Gf=FFTN(XtXcol); no exact gpu_precompute_v1 is executed in this path.",1.758514374421581,12321.0,12320.0,0.7392,0.0,C1,0.0,0.000195500033441931,0.00019610003801062703,0.0014102000277489424,0.015094400034286082,0.00020250002853572369
