mode,top_q,precompute_method,N,eps,wall_s_total_median,wall_s_total_mean,wall_s_total_std,wall_s_total_p10,wall_s_total_p90,time_train_median,time_train_mean,time_train_std,time_train_p10,time_train_p90,time_precompute_median,time_precompute_mean,time_precompute_std,time_precompute_p10,time_precompute_p90,time_precompute_NUFFT_median,time_precompute_NUFFT_mean,time_precompute_NUFFT_std,time_precompute_NUFFT_p10,time_precompute_NUFFT_p90,time_precompute_binned_median,time_precompute_binned_mean,time_precompute_binned_std,time_precompute_binned_p10,time_precompute_binned_p90,t_original_exact_gpu_precompute_v1_s_median,t_original_exact_gpu_precompute_v1_s_mean,t_original_exact_gpu_precompute_v1_s_std,t_original_exact_gpu_precompute_v1_s_p10,t_original_exact_gpu_precompute_v1_s_p90,t_original_efgp_solver_precompute_s_median,t_original_efgp_solver_precompute_s_mean,t_original_efgp_solver_precompute_s_std,t_original_efgp_solver_precompute_s_p10,t_original_efgp_solver_precompute_s_p90,t_h2d_xy_s_median,t_h2d_xy_s_mean,t_h2d_xy_s_std,t_h2d_xy_s_p10,t_h2d_xy_s_p90,t_gpu_fused_bin_moments_s_median,t_gpu_fused_bin_moments_s_mean,t_gpu_fused_bin_moments_s_std,t_gpu_fused_bin_moments_s_p10,t_gpu_fused_bin_moments_s_p90,t_compact_occupied_s_median,t_compact_occupied_s_mean,t_compact_occupied_s_std,t_compact_occupied_s_p10,t_compact_occupied_s_p90,t_binned_cufinufft_on_centers_s_median,t_binned_cufinufft_on_centers_s_mean,t_binned_cufinufft_on_centers_s_std,t_binned_cufinufft_on_centers_s_p10,t_binned_cufinufft_on_centers_s_p90,t_rhs_D_multiply_s_median,t_rhs_D_multiply_s_mean,t_rhs_D_multiply_s_std,t_rhs_D_multiply_s_p10,t_rhs_D_multiply_s_p90,t_exact_dense_point_dual_nufft_s_median,t_exact_dense_point_dual_nufft_s_mean,t_exact_dense_point_dual_nufft_s_std,t_exact_dense_point_dual_nufft_s_p10,t_exact_dense_point_dual_nufft_s_p90,t_gpu_to_cpu_copy_s_median,t_gpu_to_cpu_copy_s_mean,t_gpu_to_cpu_copy_s_std,t_gpu_to_cpu_copy_s_p10,t_gpu_to_cpu_copy_s_p90,effective_work_ratio_median,effective_work_ratio_mean,effective_work_ratio_std,effective_work_ratio_p10,effective_work_ratio_p90,binned_used_exact_dense_point_nufft_median,binned_used_exact_dense_point_nufft_mean,binned_used_exact_dense_point_nufft_std,binned_used_exact_dense_point_nufft_p10,binned_used_exact_dense_point_nufft_p90,time_eigenspace_median,time_eigenspace_mean,time_eigenspace_std,time_eigenspace_p10,time_eigenspace_p90,time_precond_build_median,time_precond_build_mean,time_precond_build_std,time_precond_build_p10,time_precond_build_p90,time_solve_median,time_solve_mean,time_solve_std,time_solve_p10,time_solve_p90,time_predict_median,time_predict_mean,time_predict_std,time_predict_p10,time_predict_p90,cg_iters_median,cg_iters_mean,cg_iters_std,cg_iters_p10,cg_iters_p90,t_matvec_total_median,t_matvec_total_mean,t_matvec_total_std,t_matvec_total_p10,t_matvec_total_p90,t_precond_total_median,t_precond_total_mean,t_precond_total_std,t_precond_total_p10,t_precond_total_p90,rmse_test_median,rmse_test_mean,rmse_test_std,rmse_test_p10,rmse_test_p90,peak_mem_gb_median,peak_mem_gb_mean,peak_mem_gb_std,peak_mem_gb_p10,peak_mem_gb_p90,repeat_count,fail_count,logN,logT,local_alpha
gpu_v1_topq0,0,c1,100000,0.001,0.5951012999867089,0.5951012999867089,,0.5951012999867089,0.5951012999867089,0.5873128999955952,0.5873128999955952,,0.5873128999955952,0.5873128999955952,0.01846250001108274,0.01846250001108274,,0.01846250001108274,0.01846250001108274,,,,,,0.01846250001108274,0.01846250001108274,,0.01846250001108274,0.01846250001108274,,,,,,,,,,,0.00018150004325434566,0.00018150004325434566,,0.00018150004325434566,0.00018150004325434566,0.00018200004706159234,0.00018200004706159234,,0.00018200004706159234,0.00018200004706159234,0.0016052999999374151,0.0016052999999374151,,0.0016052999999374151,0.0016052999999374151,0.015370399982202798,0.015370399982202798,,0.015370399982202798,0.015370399982202798,0.00022950000129640102,0.00022950000129640102,,0.00022950000129640102,0.00022950000129640102,,,,,,,,,,,0.7392,0.7392,,0.7392,0.7392,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.5688503999845125,0.5688503999845125,,0.5688503999845125,0.5688503999845125,0.0077883999911136925,0.0077883999911136925,,0.0077883999911136925,0.0077883999911136925,334.0,334.0,,334.0,334.0,0.31535190012073144,0.31535190012073144,,0.31535190012073144,0.31535190012073144,,,,,,0.002169353591538828,0.002169353591538828,,0.002169353591538828,0.002169353591538828,0.8536132806912065,0.8536132806912065,,0.8536132806912065,0.8536132806912065,1,0,11.512925464970229,-0.5321975517781591,
gpu_v1_topq0,0,c1,300000,0.001,0.7931766000692733,0.7931766000692733,,0.7931766000692733,0.7931766000692733,0.778997200075537,0.778997200075537,,0.778997200075537,0.778997200075537,0.025294500053860247,0.025294500053860247,,0.025294500053860247,0.025294500053860247,,,,,,0.025294500053860247,0.025294500053860247,,0.025294500053860247,0.025294500053860247,,,,,,,,,,,0.001165800029411912,0.001165800029411912,,0.001165800029411912,0.001165800029411912,0.0011661999742500484,0.0011661999742500484,,0.0011661999742500484,0.0011661999742500484,0.0015971999964676797,0.0015971999964676797,,0.0015971999964676797,0.0015971999964676797,0.02131889999145642,0.02131889999145642,,0.02131889999145642,0.02131889999145642,0.0002410999732092023,0.0002410999732092023,,0.0002410999732092023,0.0002410999732092023,,,,,,,,,,,0.74486,0.74486,,0.74486,0.74486,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.7537027000216767,0.7537027000216767,,0.7537027000216767,0.7537027000216767,0.014179399993736297,0.014179399993736297,,0.014179399993736297,0.014179399993736297,439.0,439.0,,439.0,439.0,0.417781799682416,0.417781799682416,,0.417781799682416,0.417781799682416,,,,,,0.0012638293022941066,0.0012638293022941066,,0.0012638293022941066,0.0012638293022941066,0.8907226556912065,0.8907226556912065,,0.8907226556912065,0.8907226556912065,1,0,12.611537753638338,-0.24974782737261456,0.2570968187038663
gpu_v1_topq0,0,original,100000,0.001,0.5926102999947034,0.5926102999947034,,0.5926102999947034,0.5926102999947034,0.5875312999705784,0.5875312999705784,,0.5875312999705784,0.5875312999705784,0.01586079999106005,0.01586079999106005,,0.01586079999106005,0.01586079999106005,0.01586079999106005,0.01586079999106005,,0.01586079999106005,0.01586079999106005,,,,,,0.01586079999106005,0.01586079999106005,,0.01586079999106005,0.01586079999106005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.5716704999795184,0.5716704999795184,,0.5716704999795184,0.5716704999795184,0.00507900002412498,0.00507900002412498,,0.00507900002412498,0.00507900002412498,326.0,326.0,,326.0,326.0,0.31969059992115945,0.31969059992115945,,0.31969059992115945,0.31969059992115945,,,,,,0.0020221515671068626,0.0020221515671068626,,0.0020221515671068626,0.0020221515671068626,0.8516601556912065,0.8516601556912065,,0.8516601556912065,0.8516601556912065,1,0,11.512925464970229,-0.5318257578373025,
gpu_v1_topq0,0,original,300000,0.001,0.8221359999733977,0.8221359999733977,,0.8221359999733977,0.8221359999733977,0.8138116999762133,0.8138116999762133,,0.8138116999762133,0.8138116999762133,0.030996899993624538,0.030996899993624538,,0.030996899993624538,0.030996899993624538,0.030996899993624538,0.030996899993624538,,0.030996899993624538,0.030996899993624538,,,,,,0.030996899993624538,0.030996899993624538,,0.030996899993624538,0.030996899993624538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.7828147999825887,0.7828147999825887,,0.7828147999825887,0.7828147999825887,0.008324299997184426,0.008324299997184426,,0.008324299997184426,0.008324299997184426,445.0,445.0,,445.0,445.0,0.4353802009136416,0.4353802009136416,,0.4353802009136416,0.4353802009136416,,,,,,0.001237688689320482,0.001237688689320482,,0.001237688689320482,0.001237688689320482,0.8848632806912065,0.8848632806912065,,0.8848632806912065,0.8848632806912065,1,0,12.611537753638338,-0.20602626655031916,0.29655547698448087
gpu_v3_topq_eigenpro_nystrom,45,c1,100000,0.001,0.7103635999956168,0.7103635999956168,,0.7103635999956168,0.7103635999956168,0.7057295999838971,0.7057295999838971,,0.7057295999838971,0.7057295999838971,0.01691679999930784,0.01691679999930784,,0.01691679999930784,0.01691679999930784,,,,,,0.01691679999930784,0.01691679999930784,,0.01691679999930784,0.01691679999930784,,,,,,,,,,,0.00018620002083480358,0.00018620002083480358,,0.00018620002083480358,0.00018620002083480358,0.0001865000231191516,0.0001865000231191516,,0.0001865000231191516,0.0001865000231191516,0.001319300034083426,0.001319300034083426,,0.001319300034083426,0.001319300034083426,0.014264299999922514,0.014264299999922514,,0.014264299999922514,0.014264299999922514,0.0002508999896235764,0.0002508999896235764,,0.0002508999896235764,0.0002508999896235764,,,,,,,,,,,0.7392,0.7392,,0.7392,0.7392,0.0,0.0,,0.0,0.0,0.2548683999921195,0.2548683999921195,,0.2548683999921195,0.2548683999921195,0.00044169998727738857,0.00044169998727738857,,0.00044169998727738857,0.00044169998727738857,0.4335027000051923,0.4335027000051923,,0.4335027000051923,0.4335027000051923,0.004634000011719763,0.004634000011719763,,0.004634000011719763,0.004634000011719763,164.0,164.0,,164.0,164.0,0.16831269982503727,0.16831269982503727,,0.16831269982503727,0.16831269982503727,0.08554540009936318,0.08554540009936318,,0.08554540009936318,0.08554540009936318,0.002170598955064301,0.002170598955064301,,0.002170598955064301,0.002170598955064301,1.3165039056912065,1.3165039056912065,,1.3165039056912065,1.3165039056912065,1,0,11.512925464970229,-0.34852311770889166,
gpu_v3_topq_eigenpro_nystrom,45,c1,300000,0.001,0.8048332000034861,0.8048332000034861,,0.8048332000034861,0.8048332000034861,0.7964437999762595,0.7964437999762595,,0.7964437999762595,0.7964437999762595,0.03752030001487583,0.03752030001487583,,0.03752030001487583,0.03752030001487583,,,,,,0.03752030001487583,0.03752030001487583,,0.03752030001487583,0.03752030001487583,,,,,,,,,,,0.0011331000132486224,0.0011331000132486224,,0.0011331000132486224,0.0011331000132486224,0.001133600017055869,0.001133600017055869,,0.001133600017055869,0.001133600017055869,0.0016083000227808952,0.0016083000227808952,,0.0016083000227808952,0.0016083000227808952,0.033677600033115596,0.033677600033115596,,0.033677600033115596,0.033677600033115596,0.00023279996821656823,0.00023279996821656823,,0.00023279996821656823,0.00023279996821656823,,,,,,,,,,,0.74486,0.74486,,0.74486,0.74486,0.0,0.0,,0.0,0.0,0.24297239998122677,0.24297239998122677,,0.24297239998122677,0.24297239998122677,0.0003708999720402062,0.0003708999720402062,,0.0003708999720402062,0.0003708999720402062,0.5155802000081167,0.5155802000081167,,0.5155802000081167,0.5155802000081167,0.008389400027226657,0.008389400027226657,,0.008389400027226657,0.008389400027226657,203.0,203.0,,203.0,203.0,0.19979549990966916,0.19979549990966916,,0.19979549990966916,0.19979549990966916,0.10049019986763597,0.10049019986763597,,0.10049019986763597,0.10049019986763597,0.001264011289115474,0.001264011289115474,,0.001264011289115474,0.001264011289115474,1.3340820306912065,1.3340820306912065,,1.3340820306912065,1.3340820306912065,1,0,12.611537753638338,-0.22759871084551128,0.11007013858363245
gpu_v3_topq_eigenpro_nystrom,45,original,100000,0.001,0.7530219000764191,0.7530219000764191,,0.7530219000764191,0.7530219000764191,0.747421900043264,0.747421900043264,,0.747421900043264,0.747421900043264,0.02758020005421713,0.02758020005421713,,0.02758020005421713,0.02758020005421713,0.02758020005421713,0.02758020005421713,,0.02758020005421713,0.02758020005421713,,,,,,0.02758020005421713,0.02758020005421713,,0.02758020005421713,0.02758020005421713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31974070001160726,0.31974070001160726,,0.31974070001160726,0.31974070001160726,0.0005318999756127596,0.0005318999756127596,,0.0005318999756127596,0.0005318999756127596,0.3995691000018269,0.3995691000018269,,0.3995691000018269,0.3995691000018269,0.005600000033155084,0.005600000033155084,,0.005600000033155084,0.005600000033155084,150.0,150.0,,150.0,150.0,0.15656370006036013,0.15656370006036013,,0.15656370006036013,0.15656370006036013,0.0771416999050416,0.0771416999050416,,0.0771416999050416,0.0771416999050416,0.0020222481608989937,0.0020222481608989937,,0.0020222481608989937,0.0020222481608989937,1.3184570306912065,1.3184570306912065,,1.3184570306912065,1.3184570306912065,1,0,11.512925464970229,-0.29112546072334555,
gpu_v3_topq_eigenpro_nystrom,45,original,300000,0.001,0.8670482999295928,0.8670482999295928,,0.8670482999295928,0.8670482999295928,0.8575727999559604,0.8575727999559604,,0.8575727999559604,0.8575727999559604,0.06278609996661544,0.06278609996661544,,0.06278609996661544,0.06278609996661544,0.06278609996661544,0.06278609996661544,,0.06278609996661544,0.06278609996661544,,,,,,0.06278609996661544,0.06278609996661544,,0.06278609996661544,0.06278609996661544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3017374000046402,0.3017374000046402,,0.3017374000046402,0.3017374000046402,0.0003464999608695507,0.0003464999608695507,,0.0003464999608695507,0.0003464999608695507,0.49270280002383515,0.49270280002383515,,0.49270280002383515,0.49270280002383515,0.009475499973632395,0.009475499973632395,,0.009475499973632395,0.009475499973632395,198.0,198.0,,198.0,198.0,0.18999080022331327,0.18999080022331327,,0.18999080022331327,0.18999080022331327,0.0959866006160155,0.0959866006160155,,0.0959866006160155,0.0959866006160155,0.001238055095606183,0.001238055095606183,,0.001238055095606183,0.001238055095606183,1.3418945306912065,1.3418945306912065,,1.3418945306912065,1.3418945306912065,1,0,12.611537753638338,-0.15364920563784,0.12513628010858446
gpu_v3_topq_eigenpro_nystrom,90,c1,100000,0.001,0.7345657999394462,0.7345657999394462,,0.7345657999394462,0.7345657999394462,0.7287271999521181,0.7287271999521181,,0.7287271999521181,0.7287271999521181,0.019293099991045892,0.019293099991045892,,0.019293099991045892,0.019293099991045892,,,,,,0.019293099991045892,0.019293099991045892,,0.019293099991045892,0.019293099991045892,,,,,,,,,,,0.0002096000243909657,0.0002096000243909657,,0.0002096000243909657,0.0002096000243909657,0.00021010002819821239,0.00021010002819821239,,0.00021010002819821239,0.00021010002819821239,0.0017503999988548458,0.0017503999988548458,,0.0017503999988548458,0.0017503999988548458,0.01589629997033626,0.01589629997033626,,0.01589629997033626,0.01589629997033626,0.0003130999975837767,0.0003130999975837767,,0.0003130999975837767,0.0003130999975837767,,,,,,,,,,,0.7392,0.7392,,0.7392,0.7392,0.0,0.0,,0.0,0.0,0.3692276999936439,0.3692276999936439,,0.3692276999936439,0.3692276999936439,0.0005291999550536275,0.0005291999550536275,,0.0005291999550536275,0.0005291999550536275,0.33967720001237467,0.33967720001237467,,0.33967720001237467,0.33967720001237467,0.0058385999873280525,0.0058385999873280525,,0.0058385999873280525,0.0058385999873280525,98.0,98.0,,98.0,98.0,0.1337490002042614,0.1337490002042614,,0.1337490002042614,0.1337490002042614,0.06719740002881736,0.06719740002881736,,0.06719740002881736,0.06719740002881736,0.0021708934138104075,0.0021708934138104075,,0.0021708934138104075,0.0021708934138104075,1.3165039056912065,1.3165039056912065,,1.3165039056912065,1.3165039056912065,1,0,11.512925464970229,-0.31645582832197194,
gpu_v3_topq_eigenpro_nystrom,90,c1,300000,0.001,0.7327104000141844,0.7327104000141844,,0.7327104000141844,0.7327104000141844,0.7240594000322744,0.7240594000322744,,0.7240594000322744,0.7240594000322744,0.02999800001271069,0.02999800001271069,,0.02999800001271069,0.02999800001271069,,,,,,0.02999800001271069,0.02999800001271069,,0.02999800001271069,0.02999800001271069,,,,,,,,,,,0.0008722000056877732,0.0008722000056877732,,0.0008722000056877732,0.0008722000056877732,0.0008730000117793679,0.0008730000117793679,,0.0008730000117793679,0.0008730000117793679,0.0022435999708250165,0.0022435999708250165,,0.0022435999708250165,0.0022435999708250165,0.02550859999610111,0.02550859999610111,,0.02550859999610111,0.02550859999610111,0.0002614000113680959,0.0002614000113680959,,0.0002614000113680959,0.0002614000113680959,,,,,,,,,,,0.74486,0.74486,,0.74486,0.74486,0.0,0.0,,0.0,0.0,0.35674240003572777,0.35674240003572777,,0.35674240003572777,0.35674240003572777,0.0003836999530903995,0.0003836999530903995,,0.0003836999530903995,0.0003836999530903995,0.33693530003074557,0.33693530003074557,,0.33693530003074557,0.33693530003074557,0.00865099998190999,0.00865099998190999,,0.00865099998190999,0.00865099998190999,127.0,127.0,,127.0,127.0,0.13138959975913167,0.13138959975913167,,0.13138959975913167,0.13138959975913167,0.0657170998165384,0.0657170998165384,,0.0657170998165384,0.0657170998165384,0.0012624155978333813,0.0012624155978333813,,0.0012624155978333813,0.0012624155978333813,1.3321289056912065,1.3321289056912065,,1.3321289056912065,1.3321289056912065,1,0,12.611537753638338,-0.32288184571839257,-0.005849213105208515
