top_q,N,dim,kernel,eps,m,pre,eig,precond,solve,mean,total,iters,eepm,rms,rmse_ex
0,1000,1,SE,0.0001,13,0.10793619998730719,0.0,0.0,0.002711299806833267,0.0049905001651495695,0.11563799995929003,18,nan,0.29968265257921695,nan
0,100000,1,SE,0.0001,13,0.009686200181022286,0.0,0.0,0.0019608999136835337,0.004695500014349818,0.01634260010905564,14,nan,0.3030944012921744,nan
0,10000000,1,SE,0.0001,13,0.2564385000150651,0.0,0.0,0.0017464000266045332,0.12826410005800426,0.38644900009967387,19,nan,0.3035080494978366,nan
0,1000,2,SE,0.0001,16,0.010144800180569291,0.0,0.0,0.012854099972173572,0.005018899915739894,0.028017800068482757,62,nan,0.3167841624854801,nan
0,100000,2,SE,0.0001,16,0.02300759986974299,0.0,0.0,0.042010199977084994,0.006649599876254797,0.07166739972308278,192,nan,0.29667232878632704,nan
0,10000000,2,SE,0.0001,16,1.406514500034973,0.0,0.0,0.02532739983871579,0.5207558998372406,1.9525977997109294,136,nan,0.29622206498951426,nan
0,1000,3,SE,0.001,17,0.05344739998690784,0.0,0.0,0.5966119000222534,0.04075459996238351,0.6908138999715447,33,nan,0.40229047359428904,nan
0,100000,3,SE,0.001,17,0.05801849998533726,0.0,0.0,2.17088899994269,0.025289100129157305,2.2541966000571847,128,nan,0.3025103138654586,nan
0,10000000,3,SE,0.001,17,1.8533661998808384,0.0,0.0,1.3698734999634326,0.9983856999315321,4.221625399775803,84,nan,0.29995975007006925,nan
0,1000,1,Mat12,0.0001,1554,0.04001690004952252,0.0,0.0,0.0339283999055624,0.005567499902099371,0.07951279985718429,54,nan,0.33854987058382346,nan
0,100000,1,Mat12,0.0001,1555,0.012604299932718277,0.0,0.0,0.09483850002288818,0.004198600072413683,0.11164140002802014,157,nan,0.30035541675472965,nan
0,10000000,1,Mat12,0.0001,1555,0.25237619993276894,0.0,0.0,0.044586299918591976,0.13553220010362566,0.4324946999549866,64,nan,0.30308770891378367,nan
0,1000,2,Mat12,0.001,97,0.025603599846363068,0.0,0.0,0.5440262998454273,0.003710600081831217,0.5733404997736216,42,nan,0.3492305706373447,nan
0,100000,2,Mat12,0.001,97,0.0333256998565048,0.0,0.0,1.8074769000522792,0.008399700047448277,1.8492022999562323,151,nan,0.3039705556655854,nan
0,10000000,2,Mat12,0.001,97,1.4338096999563277,0.0,0.0,0.6140855001285672,0.5776540001388639,2.625549200223759,50,nan,0.29614923577564517,nan
0,1000,3,Mat12,0.005,23,0.1299003001768142,0.0,0.0,1.167475099908188,0.018133499892428517,1.3155088999774307,21,nan,0.45124098772285826,nan
0,100000,3,Mat12,0.005,23,0.1376775000244379,0.0,0.0,4.999793899944052,0.023622100008651614,5.161093499977142,92,nan,0.31846647305037673,nan
0,10000000,3,Mat12,0.005,23,2.248842300148681,0.0,0.0,1.9207575998734683,0.6800602001603693,4.849660100182518,38,nan,0.30020268476247797,nan
4,1000,1,SE,0.0001,13,0.10793619998730719,0.030565399909392,0.0014747001696377993,0.003734199795871973,0.0022164001129567623,0.14592689997516572,12,nan,0.2996819635205472,nan
4,100000,1,SE,0.0001,13,0.009686200181022286,0.0014663999900221825,0.00025979988276958466,0.0010343000758439302,0.0032111001200973988,0.015657800249755383,10,nan,0.30309296597867075,nan
4,10000000,1,SE,0.0001,13,0.2564385000150651,0.0016332999803125858,6.0999998822808266e-05,0.0008789000567048788,0.12971010012552142,0.38872180017642677,10,nan,0.30315386502980574,nan
4,1000,2,SE,0.0001,16,0.010144800180569291,0.010886700125411153,6.92000612616539e-05,0.01821060013025999,0.002595700090751052,0.04190700058825314,56,nan,0.31678002103930136,nan
4,100000,2,SE,0.0001,16,0.02300759986974299,0.008734799921512604,6.7099928855896e-05,0.051502899965271354,0.005844499915838242,0.08915689960122108,168,nan,0.2966691004857089,nan
4,10000000,2,SE,0.0001,16,1.406514500034973,0.009165100054815412,6.109988316893578e-05,0.0386994001455605,0.44268730003386736,1.8971274001523852,126,nan,0.2962258561758727,nan
4,1000,3,SE,0.001,17,0.05344739998690784,0.3692273998167366,0.00043690018355846405,0.5624569000210613,0.016731899930164218,1.0023004999384284,32,nan,0.40231338355371266,nan
4,100000,3,SE,0.001,17,0.05801849998533726,0.3802343001589179,0.0005862000398337841,2.2149147999007255,0.025299299973994493,2.679053100058809,124,nan,0.30251167773886184,nan
4,10000000,3,SE,0.001,17,1.8533661998808384,0.5463374000974,0.00042699999175965786,1.3165469001978636,0.8448081000242382,4.5614856001921,77,nan,0.29996254780388126,nan
4,1000,1,Mat12,0.0001,1554,0.04001690004952252,0.019751899875700474,8.240016177296638e-05,0.03103809989988804,0.0022470999974757433,0.09313639998435974,40,nan,0.3385476537071423,nan
